text,id,lang,created_at,edit_history_tweet_ids,conversation_id,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count,in_reply_to_user_id,username,datetime
[Post saved] 🙏🫂 @kevstrat  Top 7 include: Quick Fix🔹Grammarly Writing Assistant 🔹Using Grammarly Across 500K+ Apps &amp; Websites🔹 Inline Translations🔹Grammarly Sidebar🔹AI Detection &amp; Plagiarism Checker🔹Grammarly Authorship ✅ https://t.co/KnrEfDTdyL,1887579349760794688,en,2025-02-06T19:09:21.000Z,['1887579349760794688'],1887579349760794688,0,1,7,0,1,3926,,Grammarly,2025-02-06 19:09:21+00:00
It’s moving day! 🚚✨ https://t.co/uCwiiPGswD,1878994194565640518,en,2025-01-14T02:35:00.000Z,['1878994194565640518'],1878994194565640518,1,8,22,0,2,18719,,Grammarly,2025-01-14 02:35:00+00:00
".@coda_hq is officially part of Grammarly! We’re bringing our teams, vision, and products together to build out our AI productivity platform for agents and apps so you can do your best, most productive work. And we can’t wait. 🎉 https://t.co/VBaose3y4o",1878857435441741915,en,2025-01-13T17:31:34.000Z,['1878857435441741915'],1878857435441741915,4,7,33,2,1,13538,,Grammarly,2025-01-13 17:31:34+00:00
💚 https://t.co/w7wl0K203F,1877231415391125727,art,2025-01-09T05:50:21.000Z,['1877231415391125727'],1877231415391125727,0,0,5,0,0,4738,,Grammarly,2025-01-09 05:50:21+00:00
"ICYMI, Grammarly has agreed to acquire @Coda_hq. We'll welcome @shishirmehrotra, Coda’s CEO and co-founder, as our new CEO after the acquisition closes. On the blog, he's sharing his plans for his exciting new role and our shared future: https://t.co/h3Dq2dXQKg",1869790959535562786,en,2024-12-19T17:04:38.000Z,['1869790959535562786'],1869790959535562786,1,1,16,0,0,2823,,Grammarly,2024-12-19 17:04:38+00:00
"Grammarly announced it has agreed to acquire @coda_hq, aiming to transform into an AI productivity platform for apps and agents. We’ll welcome Coda CEO @shishirmehrotra as the new CEO of Grammarly. https://t.co/ufeXbYpmeJ https://t.co/WjUqXAKZSj",1869066214955446433,en,2024-12-17T17:04:45.000Z,['1869066214955446433'],1869066214955446433,15,11,83,9,3,17988,,Grammarly,2024-12-17 17:04:45+00:00
"Break out your crystal ball: What AI trends do you see making the most impact in 2025? 🔮 

Read the predictions on what to expect in the year ahead—and get action items to start preparing now. 👉 https://t.co/LEfolJ14dX https://t.co/3ICixdTsw2",1866922832988430544,en,2024-12-11T19:07:43.000Z,['1866922832988430544'],1866922832988430544,3,8,16,3,2,4575,,Grammarly,2024-12-11 19:07:43+00:00
"“Workers need support across their entire communication journey. That’s why we’ve seen a rapid adoption of our tool.”

Our CMO spoke with @G2dotcom about how Grammarly helps professionals communicate with confidence.👇
https://t.co/PjxyItEwQa",1864378645243961665,en,2024-12-04T18:38:02.000Z,['1864378645243961665'],1864378645243961665,5,4,14,1,1,3906,,Grammarly,2024-12-04 18:38:02+00:00
We 💚 actionable data. Our new Effective Communication Score and ROI report for enterprise customers is transforming the way organizations measure and improve communication: https://t.co/LNlJaKIViP https://t.co/EhLHpy2HfP,1863997443945185689,en,2024-12-03T17:23:16.000Z,['1863997443945185689'],1863997443945185689,1,0,10,1,2,3267,,Grammarly,2024-12-03 17:23:16+00:00
"🗞️In today's ""AI Responsibly"" newsletter: Many companies rush into AI adoption, but taking time for responsible implementation leads to success. Thoughtfully built AI tools perform better, gain trust, and yield stronger results. Read more from our CISO ⬇️ 
https://t.co/W2MTeuANuK",1859265998299316428,en,2024-11-20T16:02:12.000Z,['1859265998299316428'],1859265998299316428,0,7,15,0,0,4053,,Grammarly,2024-11-20 16:02:12+00:00
We tapped our Staff Product Manager of #ResponsibleAI to cover 👤user agency👤 in this month’s edition of our “AI Responsibly” newsletter. Dig in to learn how to foster user agency in AI deployments➡️ https://t.co/ZwRkVSaWwX https://t.co/F40wdtb2yG,1851651933007675752,en,2024-10-30T15:46:37.000Z,['1851651933007675752'],1851651933007675752,0,3,23,0,3,5667,,Grammarly,2024-10-30 15:46:37+00:00
"Our CEO @rahulrc discusses AI’s impact on workplace interactions in the latest episode of @SliceofTC, a podcast made in collaboration with HumanX. Tune in to explore Grammarly’s AI-driven approach to enhancing communication: https://t.co/znTtcXyInp https://t.co/MgVt0tInrb",1846647250862154220,en,2024-10-16T20:19:48.000Z,['1846647250862154220'],1846647250862154220,9,8,24,0,2,5998,,Grammarly,2024-10-16 20:19:48+00:00
"Grammarly’s new Writing Score API integrates our writing intelligence into your systems, providing instant feedback on documents. 

It’s part of our expanded suite of features enhancing communication standards, productivity, and security for enterprises: https://t.co/4DJNaupc2S https://t.co/lkDxZ4stK4",1846566973343240645,en,2024-10-16T15:00:48.000Z,['1846566973343240645'],1846566973343240645,4,3,17,1,1,4952,,Grammarly,2024-10-16 15:00:48+00:00
"Grammarly for Business is now available in @AWSMarketplace. 🛒

It’s easier than ever for businesses to immediately improve communication and productivity with Grammarly’s trusted AI assistant.

Learn more: https://t.co/pGoR6Kdigt
#AWSMarketplace @AWS_Partners https://t.co/WjWILJeFrW",1843671481999405432,en,2024-10-08T15:15:09.000Z,['1843671481999405432'],1843671481999405432,5,7,13,0,1,4418,,Grammarly,2024-10-08 15:15:09+00:00
Grammarly rewrites entire paragraphs of your writing so you can stay in the 〰️flow〰️ of work. Now a red sidebar will appear to the left of your writing when Grammarly identifies opportunities to enhance your paragraph. Hover over it to accept a clearer version of your text. ✔️ https://t.co/DjxBJ53Joc,1841881193110806800,en,2024-10-03T16:41:11.000Z,['1841881193110806800'],1841881193110806800,5,5,23,0,2,4704,,Grammarly,2024-10-03 16:41:11+00:00
"Introducing the Enterprise AI Security Kit—your ultimate toolkit to navigate the complexities of AI implementation. 💼🤖 From selecting the right vendors to ensuring secure deployment and team-wide adoption, we’ve got you covered.
➡️ https://t.co/10xcif7gGG https://t.co/SXFLP9ECCa",1841243883381911878,en,2024-10-01T22:28:45.000Z,['1841243883381911878'],1841243883381911878,0,1,11,1,0,4691,,Grammarly,2024-10-01 22:28:45+00:00
"We’re thrilled to welcome our new CFO and CTO! 🎉

Mark and Navam have extensive experience scaling tech organizations, and their leadership will be instrumental as people and teams everywhere rely on Grammarly as their trusted AI assistant.📈

Learn more: https://t.co/iD0lwZLH0J https://t.co/gPRMCgYO89",1838618256548204652,en,2024-09-24T16:35:26.000Z,['1838618256548204652'],1838618256548204652,0,4,17,0,0,3634,,Grammarly,2024-09-24 16:35:26+00:00
"Translation just got easier. 🌏 

Designed to simplify global work, our translation feature delivers precise translations right where you type, so you can work in 19 languages without toggling tabs or disrupting focus. 

Learn more ➡️ https://t.co/cyqiZvw0v4 https://t.co/vXAricNItk",1835827104883085669,en,2024-09-16T23:44:24.000Z,['1835827104883085669'],1835827104883085669,1,3,15,1,1,4060,,Grammarly,2024-09-16 23:44:24+00:00
"We 💚 this postcard from @G2dotcom CMO Sydney Sloan’s presentation at @SaaStrAnnual 2024. Grammarly helps bring out your best work, no matter which applications you use to get things done—and we’re proud to see our AI recognized as a leader on G2’s grid. https://t.co/21B21ZIdkB",1835777701031940291,en,2024-09-16T20:28:05.000Z,['1835777701031940291'],1835777701031940291,1,1,11,0,0,3566,,Grammarly,2024-09-16 20:28:05+00:00
"AI shouldn’t make your tech stack more complicated. 🤫

Our CEO, @rahulrc, joined @Redpoint’s Unsupervised Learning podcast to share how Grammarly integrates with your everyday tools to support clear communication.

🎙️Watch the full episode here: https://t.co/Z0NmpAhEUL https://t.co/ZjhSDbVvoH",1834294264160747993,en,2024-09-12T18:13:26.000Z,['1834294264160747993'],1834294264160747993,3,2,13,0,0,3763,,Grammarly,2024-09-12 18:13:26+00:00
Grammarly’s responsible AI framework addresses key challenges leaders face in AI adoption. Our new white paper offers guidance on implementing safe and ethical AI practices. 👉 https://t.co/tu3Kttk3Nz https://t.co/uWBOX2jIOR,1831356290758480270,en,2024-09-04T15:38:59.000Z,['1831356290758480270'],1831356290758480270,1,2,8,1,1,2976,,Grammarly,2024-09-04 15:38:59+00:00
"Hot off the press. 📰 The second issue of our ""AI Responsibly"" newsletter is here!

Dive in to gain 4 practical strategies to help you navigate the AI revolution responsibly, and get the latest AI industry and Grammarly news to help you stay ahead. 👇 https://t.co/bY78StJxtH",1828811327277773179,en,2024-08-28T15:06:12.000Z,['1828811327277773179'],1828811327277773179,0,3,7,0,2,3218,,Grammarly,2024-08-28 15:06:12+00:00
"How can schools innovate with AI while upholding academic integrity?

Join our Sept. 10 webinar to get a tour of our new AI transparency feature, Grammarly Authorship, and gain expert insights on how educators can enable responsible AI usage with students: https://t.co/rnnORA9mVO https://t.co/ee9n3eq918",1828473977674559671,en,2024-08-27T16:45:42.000Z,['1828473977674559671'],1828473977674559671,1,3,5,0,0,3216,,Grammarly,2024-08-27 16:45:42+00:00
"With all the buzz around AI, it’s important for leaders to have guidance when making AI decisions for their teams. Our CEO @rahulrc shares Grammarly's own decision-making framework in @FastCompany: https://t.co/K57NUtOK9L https://t.co/Vcf6H9HoLO",1828100379940196521,en,2024-08-26T16:01:09.000Z,['1828100379940196521'],1828100379940196521,1,1,9,0,0,2918,,Grammarly,2024-08-26 16:01:09+00:00
"At Grammarly, we strive to make work easier and more productive in every interaction across your workflow.

Hear how our customers at @Atlassian, @HackerOne, @Eventbrite, and @OneSourceV use our secure AI assistance to unblock barriers and empower employees to move work forward. https://t.co/QiB9lq8N8z",1826287487255220680,en,2024-08-21T15:57:22.000Z,['1826287487255220680'],1826287487255220680,1,1,16,0,0,2890,,Grammarly,2024-08-21 15:57:22+00:00
"🎙️ Our CISO, Suha Can, joined 'The Security Podcast of Silicon Valley' to discuss how we safeguard the data of over 30 million daily Grammarly users through our security, trust, and privacy initiatives!

Listen now: https://t.co/NI1wcGgszb",1825613715997159929,en,2024-08-19T19:20:02.000Z,['1825613715997159929'],1825613715997159929,0,1,8,0,0,3217,,Grammarly,2024-08-19 19:20:02+00:00
"AI is transforming how we work. How can your team best adapt? During our recent webinar, @Forrester Senior Analyst and guest speaker spoke about AI readiness and how to equip your team to leverage AI. Watch it here: https://t.co/FgAIYF8KCx https://t.co/0l7eXbHFS1",1824461945962922353,en,2024-08-16T15:03:19.000Z,['1824461945962922353'],1824461945962922353,3,1,16,0,1,3748,,Grammarly,2024-08-16 15:03:19+00:00
"Introducing: Grammarly Authorship! 💥

This feature automatically categorizes text sources as you write, giving you the confidence to turn in your most authentic, transparent work in today’s AI era.

Coming soon ➡️ https://t.co/P0qMqZxwaw https://t.co/pcfJ1PnZ8N",1823736532311679014,en,2024-08-14T15:00:47.000Z,['1823736532311679014'],1823736532311679014,7,11,34,3,5,16868,,Grammarly,2024-08-14 15:00:47+00:00
"From first drafts to final edits, Grammarly’s AI is—as @modmed’s CEO would say—the ideal copilot. 💫 https://t.co/fm81DRS7ti",1823355870832369783,en,2024-08-13T13:48:10.000Z,['1823355870832369783'],1823355870832369783,2,1,17,1,0,3783,,Grammarly,2024-08-13 13:48:10+00:00
How did Grammarly help you at work this week? We’re all ears. 👂,1821931977638838503,en,2024-08-09T15:30:07.000Z,['1821931977638838503'],1821931977638838503,0,3,9,0,0,3464,,Grammarly,2024-08-09 15:30:07+00:00
"While deploying AI is a technical effort, its true impact comes from the people engaging with it. Our recent webinar guest speaker, @Forrester Senior Analyst Rowan Curran, shares how to evaluate your team's AI readiness: https://t.co/FgAIYF8KCx https://t.co/uZ1lFZgP5B",1821246958519890379,en,2024-08-07T18:08:06.000Z,['1821246958519890379'],1821246958519890379,1,2,12,0,1,3500,,Grammarly,2024-08-07 18:08:06+00:00
"We’re honored to be #14 on @Forbes’ 2024 #Cloud100 list as a leader in AI! ☁️ 

Our 6x recognition on this list underscores our ongoing innovation to drive productivity and impact through AI. See the full list: https://t.co/TxVcOTq6sy https://t.co/ay1iZbGBQE",1820868687458374077,en,2024-08-06T17:04:59.000Z,['1820868687458374077'],1820868687458374077,5,0,17,0,0,3894,,Grammarly,2024-08-06 17:04:59+00:00
"He said it. 👀 

Take a look at @g2dotcom’s Summer 2024 Enterprise Grid Report, where we’re named a leader in the Enterprise AI Writing Assistant category: https://t.co/UR8mbuYw0V https://t.co/k0DDjHwijE",1819061306843881810,en,2024-08-01T17:23:06.000Z,['1819061306843881810'],1819061306843881810,0,2,9,0,0,3493,,Grammarly,2024-08-01 17:23:06+00:00
"📰 We’re so excited to launch our newsletter “AI Responsibly.” Each month, we’ll share practical tips, news, and insights to help you navigate the complex world of responsible AI for your business.

Check out our first issue, and subscribe for more! 👇
https://t.co/48k6V8owhJ",1818664630585340027,en,2024-07-31T15:06:51.000Z,['1818664630585340027'],1818664630585340027,4,7,17,0,4,14168,,Grammarly,2024-07-31 15:06:51+00:00
@G2dotcom @G2dotcom's Grid for Enterprise AI Writing Assistants: https://t.co/BmecSiBM8j,1817973049091834201,en,2024-07-29T17:18:45.000Z,['1817973049091834201'],1817964075847999693,1,0,5,0,1,2507,47191725,Grammarly,2024-07-29 17:18:45+00:00
"We’re named a leader in @G2dotcom’s newest Enterprise Grid Report!

In its latest article, G2 explores why more businesses are using AI to improve their communication, and features our CMO’s perspective on Grammarly’s vision for the AI-enabled future. 👉 https://t.co/0Me91pAuvf https://t.co/DsDayPMZv9",1817964075847999693,en,2024-07-29T16:43:06.000Z,['1817964075847999693'],1817964075847999693,1,2,11,0,0,4138,,Grammarly,2024-07-29 16:43:06+00:00
"Trying to identify the right #genAI solution for your team? We’ve got you covered. 

Our new guide helps you:

❇️ Gain clarity on how to use gen AI
❇️ Build the best case to bring it to your team
❇️ Select the right solution for your needs 

👉  https://t.co/yaFKtrOAVM https://t.co/I5vSwQLnvR",1815794091357053038,en,2024-07-23T17:00:21.000Z,['1815794091357053038'],1815794091357053038,1,3,6,0,0,3227,,Grammarly,2024-07-23 17:00:21+00:00
"As this article puts it, “Grammarly is by no means new to the AI party. Its functionality was grounded in AI long before its ascendence.” We couldn’t have said it better ourselves. 

Read about our enterprise #GenAI product offerings in @SiliconANGLE: https://t.co/g7brW7iCMI",1815461312266133773,en,2024-07-22T18:58:01.000Z,['1815461312266133773'],1815461312266133773,3,3,12,0,0,3715,,Grammarly,2024-07-22 18:58:01+00:00
"While we always celebrate innovations in AI, today, on #AIAppreciationDay, we're especially energized by the latest strides in responsible AI to enhance human potential and make work more enjoyable. 😃

We want to know: How have you used AI to improve your daily lives? 🦾",1813337698402463807,en,2024-07-16T22:19:32.000Z,['1813337698402463807'],1813337698402463807,1,0,6,1,1,3611,,Grammarly,2024-07-16 22:19:32+00:00
"With #genAI changing the workplace, what does that mean for institutions? Our webinar with @McKinsey covers the strategies educators can use to ensure graduates have the skills and competencies needed for success in an AI-oriented future: https://t.co/BsdCDnMJj3 https://t.co/HvrSyJti5a",1813279693157626159,en,2024-07-16T18:29:02.000Z,['1813279693157626159'],1813279693157626159,0,1,10,0,0,3285,,Grammarly,2024-07-16 18:29:02+00:00
"The use of gen AI at work is growing—but are employees equipped to confidently and effectively use these new tools? Join our upcoming webinar with @forrester to learn new strategies to ensure you and your team are AI-ready. ⚡

Save your seat: https://t.co/PWIurSKD3K",1812879944181055525,en,2024-07-15T16:00:35.000Z,['1812879944181055525'],1812879944181055525,0,0,8,0,1,3104,,Grammarly,2024-07-15 16:00:35+00:00
"🔐 Security and trust are top of mind for us at Grammarly, and we’re lucky to be guided by our impressive and innovative CISO, Suha Can, who’s been recognized as one of @AuditBoard’s #25CISOsToWatch. Congrats, Suha! https://t.co/wtPwHwo782",1811499452768702672,en,2024-07-11T20:35:00.000Z,['1811499452768702672'],1811499452768702672,0,2,8,0,0,5146,,Grammarly,2024-07-11 20:35:00+00:00
"Today’s reminder that your trusty AI communication partner is available directly in @Figma for faster workflows. The team at @eventbrite loves it. You will, too. 💚 

Try it out: https://t.co/D4M4cm6t6L https://t.co/mOwkOIdh91",1811437130427646057,en,2024-07-11T16:27:21.000Z,['1811437130427646057'],1811437130427646057,1,2,11,0,0,2979,,Grammarly,2024-07-11 16:27:21+00:00
"3,000+ educational institutions globally use Grammarly for Education to empower students and faculty with equitable writing support. 

Hear how @USC, @Penn, and @UT_Dallas use our AI communication assistance to prepare their students for career success. 🎓 https://t.co/LE3YaZ7hVN",1811080745227567137,en,2024-07-10T16:51:12.000Z,['1811080745227567137'],1811080745227567137,3,3,11,1,0,3552,,Grammarly,2024-07-10 16:51:12+00:00
"Good thing monumental documents of the present and future have us, @ajjacobs. 😉 https://t.co/T4wAK4Ar51",1810852581729784304,en,2024-07-10T01:44:34.000Z,['1810852581729784304'],1810852581729784304,3,1,13,1,0,5486,,Grammarly,2024-07-10 01:44:34+00:00
"Introducing the Translate app action—Grammarly’s new translation feature that empowers global businesses and institutions to communicate accurately and efficiently. 🌎

Available for enterprise &amp; education customers; general availability arrives this fall. https://t.co/XCUoOf1H59",1810724833002471669,en,2024-07-09T17:16:56.000Z,['1810724833002471669'],1810724833002471669,4,0,14,4,0,3600,,Grammarly,2024-07-09 17:16:56+00:00
"Ever worry about coming off the wrong way after hitting send? The fear of miscommunication at work is real. 

Learn how to keep stress down 📉 and productivity up 📈 with our report on gen AI adoption strategies and solutions: https://t.co/sOidUbnM4H https://t.co/yEZNffi40v",1808548280147603862,en,2024-07-03T17:08:05.000Z,['1808548280147603862'],1808548280147603862,3,1,11,2,1,3673,,Grammarly,2024-07-03 17:08:05+00:00
"We’re in good company on @BuiltIn’s list of top #AI tools!

Our AI communication assistance makes it easy for people to work effectively wherever they type, and we’re proud to continue shaping the future of workplace communication. 🙌 https://t.co/kl926hkdhV",1808182349793747013,en,2024-07-02T16:54:01.000Z,['1808182349793747013'],1808182349793747013,1,0,6,1,0,3119,,Grammarly,2024-07-02 16:54:01+00:00
________ are a professional's best friend. 💎,1807801006148767757,en,2024-07-01T15:38:41.000Z,['1807801006148767757'],1807801006148767757,3,1,6,0,0,3315,,Grammarly,2024-07-01 15:38:41+00:00
"Austin, you were the perfect host for our first community event!

We had a fantastic time connecting with customers and building our community. Our Head of Demand Generation Content, David Banks, also led a great discussion with @Eventbrite on scaling content with AI. ✨ https://t.co/cHZG0GGXCp",1806762830458159555,en,2024-06-28T18:53:21.000Z,['1806762830458159555'],1806762830458159555,1,0,14,0,0,3701,,Grammarly,2024-06-28 18:53:21+00:00
"What’s that? 👂 The Grammarly plugin for @Figma is here! 🎉

Produce high-quality, on-brand creative with writing that shines—directly in your go-to design app. Get started today ➡️ https://t.co/D4M4cm6t6L https://t.co/AWMKJYncVq",1806341891337642206,en,2024-06-27T15:00:41.000Z,['1806341891337642206'],1806341891337642206,11,4,34,3,0,4234,,Grammarly,2024-06-27 15:00:41+00:00
"Choosing the right type of business communication for your message involves considering your audience, the information you’re sharing, the communication channel, and your desired outcome. 

We outlined the pros and cons you should know. ⬇️  https://t.co/hkoe2zCbWO",1806011048501170269,en,2024-06-26T17:06:02.000Z,['1806011048501170269'],1806011048501170269,3,0,9,0,1,2899,,Grammarly,2024-06-26 17:06:02+00:00
"Safe and seamless AI communication assistance for the entire org? Sign us up! 🙋

Our new enterprise features make that easier than ever, including:

🔑 Bring your own key (BYOK)
⏰ Session timeout
👤 Custom admin roles
🔐 Group-level security controls
https://t.co/DeHp3LpLHi",1805617521459970485,en,2024-06-25T15:02:18.000Z,['1805617521459970485'],1805617521459970485,9,9,25,0,4,18933,,Grammarly,2024-06-25 15:02:18+00:00
"Most of us have experimented with #genAI tools at work and reaped the benefits—like increased productivity. 📈

But to experience those benefits in full, we need AI literacy across teams. Get our adoption framework to transform your team’s work with AI: https://t.co/jquwzFbj1b https://t.co/Fi19Ht6pC7",1805278739258855444,en,2024-06-24T16:36:06.000Z,['1805278739258855444'],1805278739258855444,2,1,12,0,1,3424,,Grammarly,2024-06-24 16:36:06+00:00
"When it comes to tabs, there are only two types of people. Which one are you?",1804207744720998609,en,2024-06-21T17:40:21.000Z,['1804207744720998609'],1804207744720998609,3,4,12,0,0,3445,,Grammarly,2024-06-21 17:40:21+00:00
"Pride Month celebrations kicked off at our Grammarly hubs! 🏳️‍🌈 Thank you to our Pride Circle for organizing a month of learning and helping us build a more inclusive workplace. We’re excited to continue the festivities together!

#PrideMonth #Pride2024 https://t.co/UTQRCQ7SiC",1803110221197324527,en,2024-06-18T16:59:11.000Z,['1803110221197324527'],1803110221197324527,1,1,9,0,0,2856,,Grammarly,2024-06-18 16:59:11+00:00
Today’s workout: switching tabs quickly enough to count as cardio. 🏃‍♀️,1803091814007583125,en,2024-06-18T15:46:02.000Z,['1803091814007583125'],1803091814007583125,2,0,16,1,0,4256,,Grammarly,2024-06-18 15:46:02+00:00
"The future of work is communication, and communication is what we do best. 

Our CEO, @rahulrc, shares his vision for Grammarly’s future and how we win at enabling people and businesses everywhere to drive work forward. https://t.co/6IUfV8fGYR",1802722828103328205,en,2024-06-17T15:19:49.000Z,['1802722828103328205'],1802722828103328205,2,1,9,0,2,17217,,Grammarly,2024-06-17 15:19:49+00:00
"Next time you're put on the spot during a meeting, use these tips to keep cool and sound confident. 😎 https://t.co/hi0XOXdzYq",1801673530049781941,en,2024-06-14T17:50:17.000Z,['1801673530049781941'],1801673530049781941,2,1,20,1,6,3994,,Grammarly,2024-06-14 17:50:17+00:00
"We had a blast at @LondonTechWeek! 🇬🇧 

Our Head of Global Channel Sales, Ty Rottare, spoke on responsible #generativeAI and we got to see 30,000 attendees walk through the Grammarly-branded entrance. ✨ Cheers to the international tech community; see you next year! #LTW24 https://t.co/F89yBh6GcW",1801285500054937816,en,2024-06-13T16:08:24.000Z,['1801285500054937816'],1801285500054937816,0,0,12,0,1,3539,,Grammarly,2024-06-13 16:08:24+00:00
"Gen AI is the new language of business and it’s essential your team speaks it. 🗣️

Enter ➡️ AI literacy—the most important skill for employees to harness in the age of #genAI. Get our new guide and adoption framework to transform how you get work done: https://t.co/jquwzFbj1b https://t.co/wDNz20kGVi",1800961833743917205,en,2024-06-12T18:42:16.000Z,['1800961833743917205'],1800961833743917205,1,6,15,2,0,4023,,Grammarly,2024-06-12 18:42:16+00:00
G2’s May State of Software report: https://t.co/lJC26tzyzQ,1800634409332457867,en,2024-06-11T21:01:12.000Z,['1800634409332457867'],1800634307595083897,0,0,4,0,0,2825,47191725,Grammarly,2024-06-11 21:01:12+00:00
"Grammarly leads the pack as #1 in AI products by @G2dotcom's Momentum score in their May State of Software report. 🥇

It's great to see our investment in bringing trusted AI writing assistance to the enterprise recognized as a leader in the #AI industry! Full report is below. https://t.co/LtJ4zSXpDJ",1800634307595083897,en,2024-06-11T21:00:47.000Z,['1800634307595083897'],1800634307595083897,7,5,28,0,11,19085,,Grammarly,2024-06-11 21:00:47+00:00
"Find what you need; stay in your flow. In Grammarly, your favorite work apps are just a few clicks away—without clicking away from your work. 🙌 https://t.co/Lce9FUlFpX",1800195024673488940,en,2024-06-10T15:55:14.000Z,['1800195024673488940'],1800195024673488940,0,10,6,0,2,13794,,Grammarly,2024-06-10 15:55:14+00:00
"That’s a wrap on our time at the @Gartner® Marketing Symposium/Xpo™!

From our session with @Iterable on balancing growth and risk in the era of #genAI to connecting with marketing leaders on how Grammarly can be every company’s AI writing partner, we had an incredible time. 🙌 https://t.co/Lqs6jjkbC4",1798802189567008883,en,2024-06-06T19:40:36.000Z,['1798802189567008883'],1798802189567008883,0,2,11,0,1,9111,,Grammarly,2024-06-06 19:40:36+00:00
We know a tool that can help. 😉 https://t.co/ORHXr1zi9L,1798771105743905168,en,2024-06-06T17:37:05.000Z,['1798771105743905168'],1798771105743905168,0,1,9,0,0,7160,,Grammarly,2024-06-06 17:37:05+00:00
"With answers this good, we had to do a Part 2 of Bring Your Kid to Work Day! 🎒 https://t.co/iArCpns6nr",1798035858987336133,en,2024-06-04T16:55:29.000Z,['1798035858987336133'],1798035858987336133,0,2,15,0,2,5405,,Grammarly,2024-06-04 16:55:29+00:00
How much coffee is too much coffee for 9:30 a.m. on a Monday? 👀,1797666808725381310,en,2024-06-03T16:29:00.000Z,['1797666808725381310'],1797666808725381310,2,6,20,4,0,8461,,Grammarly,2024-06-03 16:29:00+00:00
"Our CEO @rahulrc speaks on the future of AI tools and agents to transform human workflows on @lightspeedvp's ""Generative Now"" podcast. 👇 https://t.co/9PB4gHGJJ7",1796577313368465564,en,2024-05-31T16:19:44.000Z,['1796577313368465564'],1796577313368465564,1,0,16,0,1,7846,,Grammarly,2024-05-31 16:19:44+00:00
