id,lang,created_at,conversation_id,edit_history_tweet_ids,text,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count,username
2043431468584870131,en,2026-04-12T20:50:01.000Z,2043431468584870131,['2043431468584870131'],Sowell is awesome and always right https://t.co/0CYsh0HN7j,21972,3269,139439,411,7758,9545652,elonmusk
2043429392865730570,en,2026-04-12T20:41:46.000Z,2043429392865730570,['2043429392865730570'],Smooth https://t.co/zJdymUNkcm,3840,1885,44326,115,1416,10925441,elonmusk
2043424885951828377,en,2026-04-12T20:23:52.000Z,2043424885951828377,['2043424885951828377'],True https://t.co/buduKo6f1s,17079,2257,116617,331,4365,51963500,elonmusk
2043424536927072561,en,2026-04-12T20:22:29.000Z,2043424536927072561,['2043424536927072561'],Starlink gives you fast Internet anywhere on Earth https://t.co/1mHrMhnoJE,4828,8115,52673,844,929,22112167,elonmusk
2043424224350785725,en,2026-04-12T20:21:14.000Z,2043424224350785725,['2043424224350785725'],Tesla Cybertruck https://t.co/9CHLDFUZfM,3134,1154,34587,65,682,7156463,elonmusk
2043420601730375921,en,2026-04-12T20:06:51.000Z,2043420601730375921,['2043420601730375921'],Cybertruck is an APC from the future https://t.co/EYk4yzgM6C,3271,7692,26832,3733,1497,17840157,elonmusk
2043420251661197405,en,2026-04-12T20:05:27.000Z,2043420251661197405,['2043420251661197405'],South Africa is doing Apartheid 2.0 https://t.co/JTSnrrZYSH,8514,4065,83625,635,1898,74926721,elonmusk
2043420056311455960,en,2026-04-12T20:04:40.000Z,2043420056311455960,['2043420056311455960'],Engineering is real magic https://t.co/aSALzL2oqJ,34334,9734,415600,1531,20533,67570806,elonmusk
2043417349450280960,en,2026-04-12T19:53:55.000Z,2043417349450280960,['2043417349450280960'],Worth it https://t.co/5PaWFJ1JYq,1390,1643,8003,75,264,2484769,elonmusk
2043417270811332685,en,2026-04-12T19:53:36.000Z,2043417270811332685,['2043417270811332685'],Tesla self-driving handles Dutch roundabouts well https://t.co/vc4SagfNlQ,1481,840,17783,50,309,15049072,elonmusk
2043417038098739566,en,2026-04-12T19:52:41.000Z,2043417038098739566,['2043417038098739566'],Boring away https://t.co/rBxwzQ7RW8,8107,2634,138958,153,1936,14187058,elonmusk
2043412019978829911,qst,2026-04-12T19:32:44.000Z,2043412019978829911,['2043412019978829911'],Yes https://t.co/R7vyjm9XDZ,1676,2573,19143,264,1849,11592674,elonmusk
2043393789373665422,en,2026-04-12T18:20:18.000Z,2043393789373665422,['2043393789373665422'],Freedom of speech is the bedrock of democracy https://t.co/iX2BCGVrsH,34725,13838,158764,1813,3203,9751595,elonmusk
2043392203314344083,en,2026-04-12T18:14:00.000Z,2043392203314344083,['2043392203314344083'],That’s my goal https://t.co/BTe3ffJXOX,15402,8872,137999,759,2316,12941457,elonmusk
2043391604103540983,en,2026-04-12T18:11:37.000Z,2043391604103540983,['2043391604103540983'],True https://t.co/6pdQ3j3ZY1,3072,941,23333,74,694,31242199,elonmusk
2043389722937184328,en,2026-04-12T18:04:08.000Z,2043389722937184328,['2043389722937184328'],Bernie Sanders’s hypocrisy explained by his own posts 😂 https://t.co/jJyNpAUH8l,22002,3878,177010,489,11324,27379620,elonmusk
2043389108790440184,en,2026-04-12T18:01:42.000Z,2043389108790440184,['2043389108790440184'],"Racist laws in South Africa are evil and the politicians that push these are shameful, disgusting people https://t.co/Rwo63XqoHW",18243,8207,110792,1088,2721,9111283,elonmusk
2043383088248713541,en,2026-04-12T17:37:47.000Z,2043383088248713541,['2043383088248713541'],It has been such an honor to work with so many amazingly talented people https://t.co/BmXHBMYIwt,4900,1642,48874,83,5247,9122895,elonmusk
2043382549511373020,en,2026-04-12T17:35:38.000Z,2043382549511373020,['2043382549511373020'],True https://t.co/b0cNAywqww,7429,1274,64841,101,1139,51469052,elonmusk
2043379546947522792,en,2026-04-12T17:23:42.000Z,2043379546947522792,['2043379546947522792'],True https://t.co/0BE7QalZQg,5892,1407,39758,132,3498,5483243,elonmusk
2043379428273897517,en,2026-04-12T17:23:14.000Z,2043379428273897517,['2043379428273897517'],Good https://t.co/kGuVd9evLz,63517,6589,391289,928,5650,14350643,elonmusk
2043379009460052144,en,2026-04-12T17:21:34.000Z,2043379009460052144,['2043379009460052144'],First FSD in Europe https://t.co/IhzD1cMKfX,1891,1156,25067,82,482,25478232,elonmusk
2043378630261461446,en,2026-04-12T17:20:04.000Z,2043378630261461446,['2043378630261461446'],"True, use 𝕏 Chat/DMs instead! https://t.co/R3QP9vuyFS",2694,2106,23016,254,1761,12437965,elonmusk
2043293725804421596,en,2026-04-12T11:42:41.000Z,2043293725804421596,['2043293725804421596'],Grok groks https://t.co/07POC9udXF,29476,6384,161835,1212,7296,12961341,elonmusk
2043292140974006435,qst,2026-04-12T11:36:23.000Z,2043292140974006435,['2043292140974006435'],Yes https://t.co/hxyAUJvrh2,8380,2026,92692,226,5279,10030897,elonmusk
2043291964943253785,qst,2026-04-12T11:35:41.000Z,2043291964943253785,['2043291964943253785'],𝕏 https://t.co/VOfKLjwnjL,1977,1713,15232,154,410,8454085,elonmusk
2043291848920469979,en,2026-04-12T11:35:13.000Z,2043291848920469979,['2043291848920469979'],"This is great. 

At least those judges who release violent criminals who go on to hurt more people will be publicly shamed! https://t.co/KvAq9DOOGc",45507,4016,200898,1025,9769,8487797,elonmusk
2043291066087207102,qst,2026-04-12T11:32:07.000Z,2043291066087207102,['2043291066087207102'],Yes https://t.co/NTwTOe8Q79,5072,2542,65042,291,1501,92462641,elonmusk
2043291015273132161,en,2026-04-12T11:31:55.000Z,2043291015273132161,['2043291015273132161'],It’s definitely not fine https://t.co/ztI1hWNVAl,16613,1971,118766,217,3093,14140674,elonmusk
2043290320264368158,en,2026-04-12T11:29:09.000Z,2043290320264368158,['2043290320264368158'],Great movie https://t.co/BfKI1LuuxZ,12578,2984,154320,316,6665,25611214,elonmusk
2043289317913842041,en,2026-04-12T11:25:10.000Z,2043289317913842041,['2043289317913842041'],This is insane https://t.co/dprIDJ9CkO,17798,2516,129584,232,5525,24075673,elonmusk
2043287908090880094,art,2026-04-12T11:19:34.000Z,2043287908090880094,['2043287908090880094'],💯 https://t.co/Uej4rUIY4E,9430,2377,40290,233,1154,3417027,elonmusk
2043287740360556856,qst,2026-04-12T11:18:54.000Z,2043287740360556856,['2043287740360556856'],Wow https://t.co/IqvKhTlYfR,12677,1491,49942,209,2423,6780093,elonmusk
2043287537675010370,qst,2026-04-12T11:18:06.000Z,2043287537675010370,['2043287537675010370'],Yes https://t.co/U6SxNV25ir,13185,3984,81724,526,10437,18118063,elonmusk
2043286073548353776,en,2026-04-12T11:12:17.000Z,2043286073548353776,['2043286073548353776'],GM advertising on this platform https://t.co/uoEg0TLlhR,425,442,1658,11,47,102815,elonmusk
2043284845762400575,en,2026-04-12T11:07:24.000Z,2043284845762400575,['2043284845762400575'],“They are smart … for humans” – future AI https://t.co/miM0UgCaJj,7274,3767,70913,235,1952,8460965,elonmusk
2043281889902105013,en,2026-04-12T10:55:39.000Z,2043281889902105013,['2043281889902105013'],Restore Britain would allow free public speech without imprisonment https://t.co/Bz9yXsLU8V,13489,2915,96742,312,1318,14292471,elonmusk
2043280495866524043,en,2026-04-12T10:50:07.000Z,2043280495866524043,['2043280495866524043'],"As should all countries. 

Bravo. https://t.co/utSE6S3UNK",16499,2435,144414,302,2143,21380037,elonmusk
2043280270238101890,en,2026-04-12T10:49:13.000Z,2043280270238101890,['2043280270238101890'],"South Africa won’t allow Starlink to be licensed, even though I was BORN THERE, simply because I am not Black!

We were offered many times the opportunity to bribe our way to a license by pretending that a Black guy runs Starlink SA, but I have refused to do so on principle. https://t.co/m6G1ZQcC1C",57648,25141,335602,3984,12590,27751857,elonmusk
2043278403592421869,en,2026-04-12T10:41:48.000Z,2043278403592421869,['2043278403592421869'],Starlink has done more than any NGO to lift people out of poverty by connecting them with a means of education and a market for their good &amp; services via the Internet https://t.co/R74u72hDqP,15324,3212,90610,473,2071,6174404,elonmusk
2043276344549839294,qst,2026-04-12T10:33:37.000Z,2043276344549839294,['2043276344549839294'],Wow https://t.co/m4qThjgdIK,13032,1579,70417,196,2320,48818762,elonmusk
2043276162487759115,en,2026-04-12T10:32:54.000Z,2043276162487759115,['2043276162487759115'],"The vaccine dosage was obviously too high and done too many times.

I had the original Wuhan virus before there was any vaccine and it was much like any other cold/flu. Bad, but not terrible. 

But my second vaccine shot almost sent me to the hospital. Felt like I was dying. https://t.co/rFuUpzBkKH",50681,16490,266079,2997,29202,52747941,elonmusk
2043274855014084794,en,2026-04-12T10:27:42.000Z,2043274855014084794,['2043274855014084794'],Precisely https://t.co/i7SJFLiJFw,3468,937,35899,57,629,15585325,elonmusk
2043274481666511164,en,2026-04-12T10:26:13.000Z,2043274481666511164,['2043274481666511164'],"The Biden administration actively flew illegals into America with no vetting of their violent criminal past into America and paid for their flights via NGOs.

This is a war crime. Mayorkas and his buddies orchestrated this and should be on trial for their diabolical deeds. https://t.co/LZVpe692dr",59843,7436,236957,1490,6345,9484015,elonmusk
2043269623873954127,en,2026-04-12T10:06:55.000Z,2043269623873954127,['2043269623873954127'],Versace ads on 𝕏 https://t.co/jz87QvWVs0,414,431,1411,15,43,88996,elonmusk
2043225145356263772,en,2026-04-12T07:10:10.000Z,2043225145356263772,['2043225145356263772'],Starship https://t.co/IXZN5XqYDk,25979,10867,457653,1387,7721,29161986,elonmusk
2043152663693668601,en,2026-04-12T02:22:09.000Z,2043152663693668601,['2043152663693668601'],True https://t.co/Jt0fHztNNj,9498,2928,93453,204,3875,16100815,elonmusk
2043152426627371119,en,2026-04-12T02:21:13.000Z,2043152426627371119,['2043152426627371119'],Starlink is alien-level technology https://t.co/EJpU2m1nOp,6121,2934,54409,274,5133,10930665,elonmusk
2043141724344824003,en,2026-04-12T01:38:41.000Z,2043141724344824003,['2043141724344824003'],Starlink Internet is awesome https://t.co/suKjqXlmm1,4007,3053,47574,205,819,26929688,elonmusk
2043134688890605888,en,2026-04-12T01:10:44.000Z,2043134688890605888,['2043134688890605888'],Tesla Semi feels like a sports car to drive https://t.co/an2KiEh5wG,4201,1845,36169,103,878,8180587,elonmusk
2043123445492543506,en,2026-04-12T00:26:03.000Z,2043123445492543506,['2043123445492543506'],Starship V3 with Raptor 3 https://t.co/HSM8UlR5rV,13983,4248,200290,378,8211,29311109,elonmusk
2043073924146303418,art,2026-04-11T21:09:16.000Z,2043073924146303418,['2043073924146303418'],😑 https://t.co/KY9IfBWw6f,11703,5393,143401,518,6254,25821229,elonmusk
2043045655430730211,en,2026-04-11T19:16:56.000Z,2043045655430730211,['2043045655430730211'],"Cybertruck is so awesome. 

Until you’ve tried it out, you have no idea, because there’s nothing like it. 

Best product Tesla has ever made to date. https://t.co/ps0YoslC4W",5760,8748,65707,553,1446,26386649,elonmusk
2043045231655030821,en,2026-04-11T19:15:15.000Z,2043045231655030821,['2043045231655030821'],🚀 for all mankind 🚀 https://t.co/riHsNMQqcP https://t.co/WqHkj0GH51,9614,2827,109283,221,4430,14081684,elonmusk
2043029143709978971,en,2026-04-11T18:11:20.000Z,2043029143709978971,['2043029143709978971'],True https://t.co/b9xFhmwzkj,22220,4710,183898,467,10013,25472493,elonmusk
2042962981307441271,en,2026-04-11T13:48:25.000Z,2042962981307441271,['2042962981307441271'],Grok saved the cat https://t.co/4xFIbRhiJz,6678,3260,57719,321,1866,12305147,elonmusk
2042962634866331966,en,2026-04-11T13:47:03.000Z,2042962634866331966,['2042962634866331966'],"Given the extremely high rate of recidivism, this is important for community safety https://t.co/wKYs1vqbc0",30734,7045,189886,923,3774,32593599,elonmusk
2042961026468188209,en,2026-04-11T13:40:39.000Z,2042961026468188209,['2042961026468188209'],Falcon has landed https://t.co/7Lt1sfMs1H,24812,9151,361403,1071,8469,73346047,elonmusk
2042771312792473723,en,2026-04-11T01:06:48.000Z,2042771312792473723,['2042771312792473723'],🇺🇸🇺🇸 Welcome home! 🇺🇸🇺🇸 https://t.co/umHIWqm2sO,52233,9958,602940,1355,10703,67955827,elonmusk
2042770839633039635,en,2026-04-11T01:04:55.000Z,2042770839633039635,['2042770839633039635'],Grok can be quite funny 😂 https://t.co/kopVI70H32,2422,3036,23437,246,1096,19218864,elonmusk
2042736664708272528,en,2026-04-10T22:49:07.000Z,2042736664708272528,['2042736664708272528'],"Tesla is down to the last few hundred Model S &amp; X cars in inventory. 

Poignant end of an era. https://t.co/2ZtIL8Nzmd",4140,3250,51771,176,1386,29281197,elonmusk
2042733822761160920,en,2026-04-10T22:37:50.000Z,2042733822761160920,['2042733822761160920'],True https://t.co/q3a7Zv5Yht,29785,10480,168288,1059,4561,16271386,elonmusk
2042732021236273511,en,2026-04-10T22:30:40.000Z,2042732021236273511,['2042732021236273511'],The Sun is ~everything https://t.co/o6QLLibiaY,21575,8253,192147,941,7224,23555360,elonmusk
2042731584651169889,en,2026-04-10T22:28:56.000Z,2042731584651169889,['2042731584651169889'],RDW was extremely rigorous in their review https://t.co/H08x1qS9Y5,4444,1611,33302,164,1246,8645523,elonmusk
2042724887320760724,en,2026-04-10T22:02:19.000Z,2042724887320760724,['2042724887320760724'],"First (supervised) FSD approval in Europe!

Congratulations to the Tesla team and thank you to the regulatory authorities in the Netherlands for all the hard work required to make this happen. https://t.co/8hidEOPSxm",10028,3557,77250,585,2432,31282566,elonmusk
2042675104006672527,en,2026-04-10T18:44:30.000Z,2042675104006672527,['2042675104006672527'],Starlink provides an Internet connection in flight that is on par with ground Internet speed &amp; latency https://t.co/OyzWLLyyM8,8663,3234,114123,239,5204,30086866,elonmusk
2042672213074297206,art,2026-04-10T18:33:01.000Z,2042672213074297206,['2042672213074297206'],🔫🛡️ https://t.co/VT1DWhF9Jt,8723,2405,65960,268,3708,20071227,elonmusk
2042671335835566346,en,2026-04-10T18:29:32.000Z,2042671335835566346,['2042671335835566346'],Neuralink enables those who have lost the ability to speak to speak again https://t.co/Oib1dnctW2,24230,5862,155742,1026,7306,24656735,elonmusk
2042638498289864964,qst,2026-04-10T16:19:03.000Z,2042638498289864964,['2042638498289864964'],Yup https://t.co/WBpDa4LQjY,7606,2533,56171,153,1214,29847486,elonmusk
2042638214528405968,en,2026-04-10T16:17:55.000Z,2042638214528405968,['2042638214528405968'],Grok Imagine is fun https://t.co/8IyNjeNFWz,3207,2332,22896,121,645,8989037,elonmusk
2042637427978965172,art,2026-04-10T16:14:47.000Z,2042637427978965172,['2042637427978965172'],💯 https://t.co/67FWEXf8cr,2016,904,21242,55,1108,82753198,elonmusk
2042636279482061058,en,2026-04-10T16:10:14.000Z,2042636279482061058,['2042636279482061058'],Figures https://t.co/xv4zsLhHux,12177,2928,145795,287,5517,37590060,elonmusk
2042611328020554236,tr,2026-04-10T14:31:05.000Z,2042611328020554236,['2042611328020554236'],Tesla Semi https://t.co/U8yQUYHVJS,10019,4087,78271,276,2815,15238168,elonmusk
2042489137887133807,en,2026-04-10T06:25:32.000Z,2042489137887133807,['2042489137887133807'],Download the Tesla Robotaxi app https://t.co/x7eVGBWJ1R,3587,2602,24511,143,919,8492779,elonmusk
2042488382438482407,en,2026-04-10T06:22:32.000Z,2042488382438482407,['2042488382438482407'],"Relatively smart
for a human, but
not by AI standards https://t.co/UQF4EKaPWP",11794,4951,162579,1153,7274,63243708,elonmusk
2042487754534305883,art,2026-04-10T06:20:02.000Z,2042487754534305883,['2042487754534305883'],🌍 🌎 🌏 https://t.co/TLDMZ5k2B4,15352,4434,178280,1834,4704,54584791,elonmusk
2042484654004191388,en,2026-04-10T06:07:43.000Z,2042484654004191388,['2042484654004191388'],True https://t.co/pxSPjEMehH,23059,6231,168350,510,2682,55546621,elonmusk
2042415868358103434,en,2026-04-10T01:34:23.000Z,2042415868358103434,['2042415868358103434'],Yeah https://t.co/jT4dPZbpqx,4444,1667,45743,69,1408,24974101,elonmusk
2042348111809691858,en,2026-04-09T21:05:09.000Z,2042348111809691858,['2042348111809691858'],Tesla driving itself around LA https://t.co/NyM36R6J7a,31098,12376,376933,2183,26934,118788265,elonmusk
2042335198097129926,en,2026-04-09T20:13:50.000Z,2042335198097129926,['2042335198097129926'],Accurate https://t.co/FtTVeEHSvI,15819,3247,93093,291,8024,26180521,elonmusk
2042299684182769672,en,2026-04-09T17:52:43.000Z,2042299684182769672,['2042299684182769672'],Grok Law https://t.co/Bh0rkJnr8i,4877,2759,31830,199,2545,8424777,elonmusk
2042290799384412636,en,2026-04-09T17:17:25.000Z,2042290799384412636,['2042290799384412636'],"Use 𝕏 Chat for messaging and voice/video calls.

Comes with this great benefit of actual privacy. https://t.co/Ts55gVXqkD",7672,4960,41034,614,3053,8096216,elonmusk
2042290524565225572,en,2026-04-09T17:16:19.000Z,2042290524565225572,['2042290524565225572'],Can’t trust WhatsApp https://t.co/Ts55gVXqkD,33255,9766,168949,1487,15907,30728024,elonmusk
2042287889166532819,en,2026-04-09T17:05:51.000Z,2042287889166532819,['2042287889166532819'],"We need to focus on finishing Colossus 2 and ensuring it is extremely stable, then will build the water recycling plant https://t.co/CHFUu50SGX",4430,2169,46978,146,1457,27843830,elonmusk
