edit_history_tweet_ids,lang,created_at,conversation_id,text,id,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count,article.title,in_reply_to_user_id,username
['2042015974019178775'],en,2026-04-08T23:05:21.000Z,2042015974019178775,"Droppping a album for yall 🎵 … kinda lol 

Which of these hit hardest ?

How was your day - let’s get to know each other https://t.co/8Vq74a0qIl",2042015974019178775,21,37,144,3,24,16339,,,garyvee
['2041859041144586433'],en,2026-04-08T12:41:45.000Z,2041859041144586433,"Th questions on my stream the other morning had me “going” .. they asked how do they get “discovered” ??? .. well I promise it’s not by asking about it, or talking about it .. the world 🌎 is just filled with debaters and doubters and yet is all about the doers .. be a doer .. be https://t.co/ejb9lcYS8P",2041859041144586433,36,52,143,4,16,10116,,,garyvee
['2041634755297321427'],en,2026-04-07T21:50:32.000Z,2041634755297321427,Less and less time??? It’s because so many of us have lost the ability to be disciplined &amp; accountable &amp; choosing to see optimism and practicality .. you’re in control my friends .. this question got me heated lol 😂 lost my mind 🤯I just want this happiness for you so bad but https://t.co/UXVmlr2vtP,2041634755297321427,47,73,353,11,90,28720,,,garyvee
['2041552419394633957'],en,2026-04-07T16:23:21.000Z,2041552419394633957,Mikes cover is insane https://t.co/1bvV7n6JAF,2041552419394633957,13,36,165,0,2,10097,,,garyvee
['2041552300263735418'],en,2026-04-07T16:22:53.000Z,2041552300263735418,Here is the link https://t.co/pqKMNsIlWB,2041552300263735418,9,7,62,1,1,12499,,,garyvee
['2041552259268649057'],en,2026-04-07T16:22:43.000Z,2041552259268649057,Holders - who loves the dragon 🐉 https://t.co/vfW41c42uG,2041552259268649057,5,21,67,2,1,13289,,,garyvee
['2041497217534415100'],en,2026-04-07T12:44:00.000Z,2041497217534415100,"People worry about their own stuff, they may pause for a second and make a comment about yours .. but it’s for a second  .. they’re in their own world and their own shit .. and that should liberate you ❤️ https://t.co/8WYLq33Gez",2041497217534415100,52,76,329,8,26,16406,,,garyvee
['2041291735347708309'],en,2026-04-06T23:07:29.000Z,2041291735347708309,the live shopping 🛒 📱 revolution continued today with the big announcement from Meta .. This consumer trend has already happened and has been going on for years not months and everyone should take this post seriously and start to do their 20 30 40 hours  of homework of how to https://t.co/1hc6Jize8l,2041291735347708309,14,32,114,3,27,11517,,,garyvee
['2041192935765549115'],zxx,2026-04-06T16:34:54.000Z,2041192935765549115,https://t.co/4DVRJIHJaW,2041192935765549115,33,24,180,3,42,21017,Glass Half-What?,,garyvee
['2041133332805664809'],en,2026-04-06T12:38:03.000Z,2041133332805664809,"Wanna have a great day and week and life ???? Tune it all out .. especially the good validation. .. it makes you addicted to it and makes you vulnerable to it

PS : I’m live right now on TikTok - go to @garyvee there right now https://t.co/Ftt0hJLu0l",2041133332805664809,30,48,175,4,30,17913,,,garyvee
['2040923436214792449'],en,2026-04-05T22:44:00.000Z,2040923436214792449,You might have to put in a lot of work to research what’s going on with live shopping 🛒 📱 .. what’s going on on TikTok and whatnot and district and eBay and fanatics live is really exciting - pls do 10 hours of research to unlock the opportunity.. and if you’ve been already https://t.co/X4GFUAaMnK,2040923436214792449,27,38,193,4,69,32454,,,garyvee
['2040920423894839753'],qst,2026-04-05T22:32:02.000Z,2040920423894839753,Fun https://t.co/tr4ykSZGBL,2040920423894839753,1,16,56,0,1,17523,,,garyvee
['2040914811349823924'],en,2026-04-05T22:09:44.000Z,2040914811349823924,"https://t.co/Iv0Uk9EPVA

Lmk when u read this here - https://t.co/Iv0Uk9EPVA

And what u thought of the story https://t.co/UfbKFpwDYN",2040914811349823924,3,17,52,0,2,9501,,,garyvee
['2040911729912160529'],en,2026-04-05T21:57:29.000Z,2040911729912160529,Which rookie  card would u rather have ? https://t.co/MGG3n2nAtJ,2040911729912160529,8,124,173,0,11,25698,,,garyvee
['2040875537875210676'],in,2026-04-05T19:33:40.000Z,2040875537875210676,Wowowowo https://t.co/tN9NSwQzk3,2040875537875210676,3,21,83,0,1,17870,,,garyvee
['2040794430882410620'],en,2026-04-05T14:11:23.000Z,2040794430882410620,Some Sunday morning ☀️ ponderings that I hope help some of you ❤️ https://t.co/gJE1HgkdUr,2040794430882410620,15,44,143,4,17,12200,,,garyvee
['2040557086531072195'],en,2026-04-04T22:28:15.000Z,2040556940997071027,Random cards in the valut https://t.co/euvbU51ngu,2040557086531072195,1,10,53,0,1,9780,,5768872,garyvee
['2040556969816375556'],en,2026-04-04T22:27:47.000Z,2040556969816375556,"Wait to the end of this video and screen shoot the image with the wording .. save it , crop it and make it your screen saver for a week .. you need to get this truth in your mind .. losing is a good thing, period ! https://t.co/MXq5eoRpQU",2040556969816375556,18,32,153,5,53,18883,,,garyvee
['2040556940997071027'],zxx,2026-04-04T22:27:41.000Z,2040556940997071027,https://t.co/EU63wQdpJE,2040556940997071027,14,64,187,2,24,39186,,,garyvee
['2040525591770796339'],en,2026-04-04T20:23:06.000Z,2040525591770796339,Hope this helps https://t.co/uzazIC8iwH,2040525591770796339,25,36,227,2,228,77745,,,garyvee
['2040523215278334409'],en,2026-04-04T20:13:40.000Z,2040523215278334409,Want a fun read ??? Maybe grab the kiddo .. read along - free reads of our comics - https://t.co/CjQ9P9TARx https://t.co/UFEafxzJcF,2040523215278334409,9,16,81,0,1,9625,,,garyvee
['2040520256301441252'],en,2026-04-04T20:01:54.000Z,2040520256301441252,Wish this on many of you … you can do “it” https://t.co/arFkqXRkoq,2040520256301441252,34,66,311,6,38,20966,,,garyvee
['2040476834630873492'],en,2026-04-04T17:09:22.000Z,2040476834630873492,NFTs are a forever collectible :) obviously the 21/22 confusion slowed down the onboarding and the ui/ux is still not there- but many working on Their projects everyday and many collecting everyday and that will grow in the next decade :) https://t.co/qQUbP6iXnB,2040476834630873492,105,245,1001,37,73,96042,,,garyvee
['2040428654006595802'],en,2026-04-04T13:57:55.000Z,2040428654006595802,"the judgment you deploy is the exposer of your heaviness and audacity .. it’s hurting you, not those you judge https://t.co/aGN2pqdeUY",2040428654006595802,35,61,207,1,24,14562,,,garyvee
['2040199349989240900'],en,2026-04-03T22:46:44.000Z,2040199349989240900,Don’t come into my office unless you’re ready for this heat … https://t.co/uJvphz9ZKl,2040199349989240900,20,61,207,1,7,15843,,,garyvee
['2040140870326923717'],en,2026-04-03T18:54:22.000Z,2040140870326923717,"On a previous #TeawithGaryVee I was asked ""I'm an electrical engineering graduate. I want to move into the electrical designing field, but I have a fear that if I keep changing jobs that it will make a bad reputation on my CV. Is it okay to change a job again if it doesn't suit https://t.co/owhvvIh7zR",2040140870326923717,11,27,115,3,16,19905,,,garyvee
['2040045471234691398'],en,2026-04-03T12:35:17.000Z,2040045471234691398,"Good people matter - today .. give some flowers 🌺 to someone who brings you joy, happiness, lifts you up, is there for you, it’s just good people https://t.co/uu9p8D8W3q",2040045471234691398,30,56,179,10,7,13573,,,garyvee
['2039727483893711245'],en,2026-04-02T15:31:43.000Z,2039727483893711245,"On a previous #TeawithGaryVee I was asked ""I'm 31, still living at home with my parents, not making all that much money, even though I have a good job. Stuck in a dead-end relationship, too. How do I turn my life around?""

if you have a question for me, drop it here https://t.co/TBCFyK7eDB",2039727483893711245,20,34,231,0,157,51050,,,garyvee
['2039686039732695165'],en,2026-04-02T12:47:02.000Z,2039686039732695165,"zoom in for the most important message of the day, week, month, year …OF YOUR LIFE ❤️ https://t.co/xk7LRZ5yow",2039686039732695165,28,64,198,2,10,12443,,,garyvee
['2039668692095541414'],en,2026-04-02T11:38:06.000Z,2039668692095541414,❤️❤️❤️❤️☀️wishing u so much happiness today ❤️❤️❤️☀️,2039668692095541414,46,183,565,7,11,20555,,,garyvee
['2039477563047792728'],en,2026-04-01T22:58:37.000Z,2039477563047792728,"Community matters .. I wish health on all of you and my belief is the more people you have around you the more happiness is possible. Best friends matter 
Friends matter
Lightweight friends matter
Acquaintances matter
Having a community matters ❤️❤️❤️❤️

Limiting or cutting out https://t.co/SZMvXiVc9q",2039477563047792728,27,48,215,2,10,12966,,,garyvee
['2039475645734957531'],zxx,2026-04-01T22:51:00.000Z,2039475645734957531,:) https://t.co/eeS1eo2MYV,2039475645734957531,8,34,121,2,0,9033,,,garyvee
['2039441349238235641'],zxx,2026-04-01T20:34:43.000Z,2039441349238235641,https://t.co/O63rxoJQ96,2039441349238235641,51,35,445,9,566,127156,Why You’re Stuck and How to Get Out ,,garyvee
['2039428769346121805'],en,2026-04-01T19:44:44.000Z,2039428769346121805,Tons of info here on the new framework https://t.co/al933l2oUn,2039428769346121805,8,10,53,0,4,10609,,,garyvee
['2039375420764688855'],en,2026-04-01T16:12:44.000Z,2039375420764688855,Hope this read can help some of you with marketing your “Xyz” https://t.co/U2ZqOjBPR5,2039375420764688855,19,28,207,0,196,49527,,,garyvee
['2039356349704716366'],en,2026-04-01T14:56:57.000Z,2039356349704716366,Hanging here!!! https://t.co/11jn7U8SHd,2039356349704716366,4,18,42,1,1,5162,,,garyvee
['2039347119979458903'],en,2026-04-01T14:20:17.000Z,2039347119979458903,"For the many
 that we’re asking in the NFT world here’s the info https://t.co/JFivJhoECD",2039347119979458903,12,21,90,0,3,11417,,,garyvee
['2039325796980957598'],en,2026-04-01T12:55:33.000Z,2039325796980957598,"Actually I apologize to absolutely none of the cynics in the world 🌎 your own internal pain that you deploy against the many in the world that are effectible by it is something my empathetic to, given your hurt … but I’m not going to stand by and just let it “go”! The  world https://t.co/BhxpMfyxHx",2039325796980957598,22,73,255,2,21,17916,,,garyvee
['2039139832350330922'],en,2026-04-01T00:36:36.000Z,2039139832350330922,Let’s goooo https://t.co/jY4bjMkMw6,2039139832350330922,3,26,96,0,0,15532,,,garyvee
['2039114309901464024'],en,2026-03-31T22:55:11.000Z,2039114309901464024,https://t.co/qhdD2uZvpj … on in 4 min,2039114309901464024,5,12,42,0,1,6762,,,garyvee
['2039097576545198082'],en,2026-03-31T21:48:41.000Z,2039097576545198082,"Even I watch this and think this is ai 🤖 … there’s many reasons I’m passion about live social shopping 🛒 mainly because it’s a huge opportunity for all of you entrepreneurs, creators and micro influencers .. but another is how much I’ve been watching this space over the last https://t.co/DLNf3wpOPM",2039097576545198082,24,32,138,1,38,16526,,,garyvee
['2039037717720268880'],en,2026-03-31T17:50:50.000Z,2039037717720268880,excited for tonight !! xoxo ! https://t.co/tlicp9dmSO,2039037717720268880,13,36,107,2,1,12475,,,garyvee
['2038960511841124847'],en,2026-03-31T12:44:02.000Z,2038960511841124847,They don’t know you …. https://t.co/F2IKGXlpQB,2038960511841124847,51,60,265,9,33,13785,,,garyvee
['2038783549931688279'],en,2026-03-31T01:00:51.000Z,2038783549931688279,Big show tomorrow https://t.co/0ZvUI28eom https://t.co/uyUZ0UCRfy,2038783549931688279,6,28,84,1,3,17999,,,garyvee
['2038781540918808989'],en,2026-03-31T00:52:52.000Z,2038781540918808989,“Analog and access” 2 huge winners in the upcoming ai 🤖 revolution … super excited for the entrepreneurs and founders who create these businesses and excited for humans to find the balance that works for them … https://t.co/wnwmDy70Hv,2038781540918808989,8,42,108,2,23,15773,,,garyvee
['2038698024634061163'],de,2026-03-30T19:21:00.000Z,2038698024634061163,Listen https://t.co/7RPuojYHV9,2038698024634061163,7,22,57,2,3,9543,,,garyvee
['2038660725351059811'],en,2026-03-30T16:52:48.000Z,2038660725351059811,"On a previous #TeawithGaryVee I was asked ""How do I differentiate myself in a flooded social media platform?""

if you have a question for me, drop it here https://t.co/Z96WkBZkB1 so my team can add it to the next Rapid Fire Q&amp;A and follow me on https://t.co/y2nEbZ0D6f https://t.co/RDVMeTyL3c",2038660725351059811,14,29,87,2,11,9037,,,garyvee
['2038653006044901528'],en,2026-03-30T16:22:07.000Z,2038653006044901528,Come say hi in here https://t.co/ToS7tgWz63 we are all hanging,2038653006044901528,6,16,54,0,0,6898,,,garyvee
['2038652054705418334'],en,2026-03-30T16:18:20.000Z,2038652054705418334,"https://t.co/WtWB0oNhml

Pls RSVP https://t.co/6HxsKnd8v9",2038652054705418334,12,19,64,3,1,25358,,,garyvee
['2038598763393032505'],en,2026-03-30T12:46:35.000Z,2038598763393032505,You’re capable of solving your hurt … but it starts with accountability.. once you let go of that “venom” and realize you’re in control of how you see “it” .. love can get a lot better 🩷🩷🩷  I wish this very much for you !!! https://t.co/VUruery0HF,2038598763393032505,27,49,147,3,14,12418,,,garyvee
['2038454235335962835'],en,2026-03-30T03:12:17.000Z,2038454235335962835,Big break  https://t.co/FcMHSONgJ1,2038454235335962835,7,14,43,0,1,9462,,,garyvee
['2038412037986902070'],en,2026-03-30T00:24:36.000Z,2038412037986902070,A little Sunday night 🌙 rant on what we value in society and how you’re in control of what “you” value ❤️❤️❤️❤️ https://t.co/xSqA3aMplT,2038412037986902070,26,41,153,2,31,14211,,,garyvee
['2038285276863463620'],zxx,2026-03-29T16:00:54.000Z,2038285276863463620,https://t.co/f8pT7OVN0O,2038285276863463620,286,143,1833,83,2427,363332,Social Media is Dead. Interest Media is Here.,,garyvee
['2038272453151973540'],en,2026-03-29T15:09:56.000Z,2038272453151973540,Hope this helps someone level up their marketing this morning !!! Pls share with someone who needs it https://t.co/Hnny3PcSF3,2038272453151973540,29,51,268,7,103,23878,,,garyvee
['2038019434661474425'],en,2026-03-28T22:24:32.000Z,2038019434661474425,We are hanging here  https://t.co/fGsVFhXCZX,2038019434661474425,6,24,45,0,0,9193,,,garyvee
['2037944853573599296'],en,2026-03-28T17:28:10.000Z,2037944853573599296,If you’re a newbie to @veefriends and want to learn .. slowly.. and calmly today  and meet some great new friends - bookmark today’s show that’s live in 2 hours   https://t.co/Q4M6nJEVnC,2037944853573599296,12,18,74,1,4,8567,,,garyvee
['2037943493100712279'],en,2026-03-28T17:22:46.000Z,2037943493100712279,Who was on last nights 🌕 show ? On whatnot ?,2037943493100712279,1,44,78,1,0,11536,,,garyvee
['2037939202130575563'],en,2026-03-28T17:05:43.000Z,2037939202130575563,"Ohhhhh ….
My …. Gosh https://t.co/FwTW2LZxgX",2037939202130575563,2,17,104,1,2,16859,,,garyvee
['2037935901787984203'],en,2026-03-28T16:52:36.000Z,2037935901787984203,"OG @veefriends card collectors - interesting to see the rise of series 2 cards as we mature , huh? https://t.co/Tmdxqu1SwP",2037935901787984203,5,34,111,4,1,11542,,,garyvee
['2037933005071605960'],en,2026-03-28T16:41:06.000Z,2037933005071605960,Curious … who collects patient panda 🐼 https://t.co/qHnJ1PzmVJ,2037933005071605960,5,46,92,0,4,16578,,,garyvee
['2037931700605386998'],en,2026-03-28T16:35:55.000Z,2037931700605386998,This is a post for the parents who are lucky enough to have birthed a winner and maybe confused just a tad on how to handle a little competitive winner :) .. don’t dim her or his light 🕯️… competition dna 🧬 is a gift ..and they will calibrate it over time .. its not “just a https://t.co/96GHd9kkec,2037931700605386998,10,28,143,0,28,26442,,,garyvee
['2037679314263482800'],en,2026-03-27T23:53:01.000Z,2037679314263482800,https://t.co/qhdD2uZvpj - see u in 8 min https://t.co/TpYCrSD7xi,2037679314263482800,16,19,81,1,0,9296,,,garyvee
['2037654848200442301'],en,2026-03-27T22:15:48.000Z,2037654848200442301,"A few things in this video .. #1 why did the team *beep* the fuck lol ..#2  it’s never a good idea to be something you’re not, don’t let delusion be disguised as optimism or hope or trying .. #3 this is some flowers 🌺 for the real entrepreneurs fighting every day !!!! https://t.co/R5rIdslS17",2037654848200442301,23,47,157,3,18,12859,,,garyvee
['2037631724218200575'],en,2026-03-27T20:43:55.000Z,2037631724218200575,Can’t stop listening to this 🎵 https://t.co/CRdJRc5Mg9 https://t.co/tg1uaAOOqj,2037631724218200575,8,14,43,0,3,7862,,,garyvee
['2037594026254160300'],en,2026-03-27T18:14:07.000Z,2037594026254160300,Big show tonight https://t.co/YNneQPpmNI,2037594026254160300,10,14,73,1,2,12147,,,garyvee
['2037579893672694272'],en,2026-03-27T17:17:57.000Z,2037579893672694272,Pls bookmark this show … I’m hosting this show live tonight !!! https://t.co/EF3wxWn5Ie,2037579893672694272,11,21,63,1,10,6038,,,garyvee
['2037500020635697400'],zxx,2026-03-27T12:00:34.000Z,2037500006593151334,https://t.co/pVEQ64KvVK,2037500020635697400,4,6,61,1,3,6418,,5768872,garyvee
['2037500006593151334'],en,2026-03-27T12:00:31.000Z,2037500006593151334,"Some morning comics to remind you some hard to see truths! 

Which one of these “hit” the most for you ??? 🎯 https://t.co/8nEOarXH0B",2037500006593151334,20,42,153,2,15,14502,,,garyvee
['2037369652179874261'],en,2026-03-27T03:22:32.000Z,2037369652179874261,Read if u have a second https://t.co/apordum2at,2037369652179874261,16,23,102,1,12,20430,,,garyvee
['2037351787439521871'],en,2026-03-27T02:11:32.000Z,2037351787439521871,Come say hi here  https://t.co/tP2dLgAlNt,2037351787439521871,4,9,42,0,1,8260,,,garyvee
['2037296496735907844'],en,2026-03-26T22:31:50.000Z,2037296496735907844,Love this card https://t.co/IrbM5uc0mZ,2037296496735907844,13,33,172,1,3,11273,,,garyvee
['2037251083882360837'],en,2026-03-26T19:31:23.000Z,2037251083882360837,"On a previous #TeawithGaryVee I was asked ""I just wanted some advice on scaling the unscalable""

If you have a question for me, drop it here https://t.co/Z96WkBZkB1 so my team can add it to the next Rapid Fire Q&amp;A and follow me on https://t.co/y2nEbZ0D6f https://t.co/3N1IVmer7T",2037251083882360837,15,25,74,0,6,9100,,,garyvee
['2037240105723645998'],en,2026-03-26T18:47:45.000Z,2037240105723645998,As first appearances go .. this is a Dog amongst puppies 🐶 https://t.co/7coDDIMlwG,2037240105723645998,9,15,88,0,0,12092,,,garyvee
['2037145876733284843'],en,2026-03-26T12:33:20.000Z,2037145876733284843,Stop turning everything that didn’t work out into something super negative … no one on this earth is undefeated .. the question I have this morning ☀️ is Whatya gonna take away from those missteps and mistakes and tough blows ??? https://t.co/Jes99aVHcd,2037145876733284843,44,84,329,10,29,13480,,,garyvee
['2036971214829183086'],en,2026-03-26T00:59:17.000Z,2036971214829183086,Focus on you .. and cheer for others … it makes life much easier ❤️❤️❤️ https://t.co/HyjeKb30Ut,2036971214829183086,52,60,356,4,36,21553,,,garyvee
['2036915963505836247'],en,2026-03-25T21:19:44.000Z,2036915963505836247,Hangers https://t.co/GMLd22tbc9,2036915963505836247,13,56,253,3,5,34558,,,garyvee
['2036858446042022358'],en,2026-03-25T17:31:11.000Z,2036858446042022358,"On a previous #TeawithGaryVee I was asked ""I'm thinking about quitting my job to go all-in on my growing side hustle.""

If you have a question for me, drop it here https://t.co/Z96WkBZkB1 so my team can add it to the next Rapid Fire Q&amp;A and follow me on https://t.co/y2nEbZ0D6f https://t.co/PtMc1Rq7R1",2036858446042022358,14,32,115,1,12,10648,,,garyvee
['2036788475295658016'],en,2026-03-25T12:53:08.000Z,2036788475295658016,"The content and access loop 🔂 all of you could be executing to help you make content, then connect with your audience and then use that connection to make more content … listen carefully to the e steps that help you create a content engine while creating depth with your https://t.co/WJBnKIc372",2036788475295658016,49,46,258,1,197,20297,,,garyvee
['2036592687973912685'],en,2026-03-24T23:55:09.000Z,2036592687973912685,https://t.co/3MeaxY1xf5 &lt;- lmk what you got as a result pls,2036592687973912685,21,57,100,0,3,10351,,,garyvee
['2036561339532124360'],en,2026-03-24T21:50:35.000Z,2036561339532124360,"Your insecurities and fear dictate you wanting to control things … because you don't want to lose to yourself or in front of others, instead of being self-aware and humble on who you actually are, and finding ways to create joy and success.

This is a simple perspective https://t.co/IVoonAnQ5s",2036561339532124360,17,46,149,0,23,15674,,,garyvee
['2036546238104084939'],en,2026-03-24T20:50:35.000Z,2036546238104084939,"On a previous #TeawithGaryVee I was asked ""What do I do if I feel stuck financially, professionally, and unsure where to go in my life as a 30-year-old? I work remote and feel like I've lost my curiosity in life, drive, and building relationships. I can't envision where I want to https://t.co/GXoatiBFeR",2036546238104084939,43,39,596,5,474,90663,,,garyvee
['2036519521008189761'],zxx,2026-03-24T19:04:25.000Z,2036519521008189761,https://t.co/gem51vBVxq,2036519521008189761,24,25,145,2,45,17908,The 400 Trillion to One Mindset,,garyvee
['2036424426829279646'],zxx,2026-03-24T12:46:32.000Z,2036424253873029536,https://t.co/Y1cU6LFYja,2036424426829279646,8,4,48,0,7,6449,,5768872,garyvee
['2036424354020442236'],zxx,2026-03-24T12:46:15.000Z,2036424253873029536,https://t.co/bVt9cVwXDQ,2036424354020442236,6,4,56,0,7,12398,,5768872,garyvee
['2036424253873029536'],en,2026-03-24T12:45:51.000Z,2036424253873029536,You have so many opportunities .. you just have to believe you still have time to do them … it’s not lost on any of you that I struggle when people decide their life is “over” or they “blew it” or they “wasted their chance” … please my friends Sen this post to someone that https://t.co/uLRni4XE62,2036424253873029536,29,56,248,1,34,20724,,,garyvee
['2036203621029646704'],en,2026-03-23T22:09:08.000Z,2036203621029646704,Life is full of opportunities….. and they all die when you allow fear to destroy them! Please attack your passions and truths .. https://t.co/eFcf3yLbQw,2036203621029646704,64,75,352,7,33,15388,,,garyvee
['2036170149154164893'],en,2026-03-23T19:56:08.000Z,2036170149154164893,"Do you even.. sandbox .. bro 

#aijokes",2036170149154164893,10,66,129,1,1,15888,,,garyvee
['2036086350772883827'],en,2026-03-23T14:23:09.000Z,2036086350772883827,"On a previous #TeawithGaryVee I was asked ""How do you know when it's the right time to hire?""

If you have a question for me, drop it here https://t.co/Z96WkBZkB1 so my team can add it to the next Rapid Fire Q&amp;A and follow me on https://t.co/y2nEbZ0D6f https://t.co/p3pzczzbL2",2036086350772883827,15,37,82,1,9,10956,,,garyvee
['2036061825255547283'],en,2026-03-23T12:45:41.000Z,2036061825255547283,"Positivity is a requirement, hope matters, joy matters, love matters .. you can’t win without it .. that said delusion is always dangerous and almost always leads to a “loss” .. but let’s stop coming up with new words which  only leads to confusing a generation.
I’ll always fight https://t.co/QROsknVuvL",2036061825255547283,40,74,228,2,29,13611,,,garyvee
['2035863257001681013'],en,2026-03-22T23:36:39.000Z,2035863257001681013,This is a late night 🌙 post to remind those who think money is gonna solve the hurt inside - money is amazing for many practical things in life &amp; creates opportunities however .. if your soul is hurting .. you’ll need another plan ❤️❤️❤️❤️❤️❤️❤️ https://t.co/Yg3APS48YD,2035863257001681013,34,62,218,3,22,22993,,,garyvee
