text,lang,conversation_id,edit_history_tweet_ids,created_at,id,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count,username
"""Much higher gasoline prices, the lower stock market, and volatile news headlines are biting down on consumer sentiment,"" said Nationwide economist Oren Klachkin. https://t.co/9nxarYkPbo",en,2042666902204436697,['2042666902204436697'],2026-04-10T18:11:55.000Z,2042666902204436697,6,1,9,0,0,4365,BusinessInsider
"The data operations center, a small task force of specialists, is fielding problems with data management and overload from across the Army. https://t.co/CaZs0OTbdJ",en,2042660692197515296,['2042660692197515296'],2026-04-10T17:47:14.000Z,2042660692197515296,4,0,5,0,0,4033,BusinessInsider
"Digital play is emerging as a new kind of “third place,” turning familiar games into shared experiences that foster ongoing interaction. @PAPAYA. #ad https://t.co/b5ctPJM4En",en,2042660593270735292,['2042660593270735292'],2026-04-10T17:46:50.000Z,2042660593270735292,0,0,1,0,0,3544,BusinessInsider
"Flexible work has made it harder for employees to disconnect, but an uncertain market has also intensified their work, one professor told Business Insider. https://t.co/Z0ZcJrNhFC",en,2042651838692876790,['2042651838692876790'],2026-04-10T17:12:03.000Z,2042651838692876790,0,0,4,0,1,3979,BusinessInsider
David Heinemeier Hansson said that senior developers are best suited to seize this agentic AI moment. https://t.co/3vUF57mM17,en,2042648121256140996,['2042648121256140996'],2026-04-10T16:57:17.000Z,2042648121256140996,0,0,0,1,1,3861,BusinessInsider
JPMorgan's ex-quant lead warns there may be a crash in tech stocks from the post-ceasefire rally gains https://t.co/NTw0KT0boU,en,2042644227889250571,['2042644227889250571'],2026-04-10T16:41:49.000Z,2042644227889250571,3,1,14,0,5,4430,BusinessInsider
"""I didn't feel like my reports were ready to take on much of the work I had been doing. I needed to train them before I could fully hand things off, and in the meantime, I was still doing much of that work myself."" https://t.co/bHXqerdXPI",en,2042639279520690293,['2042639279520690293'],2026-04-10T16:22:09.000Z,2042639279520690293,0,1,1,1,1,3969,BusinessInsider
"""Since moving here, I've loved showing off my new home to family and friends and helping them see the potential of a city that gets so much negativity."" https://t.co/xgKgjHVb6y",en,2042635479296708700,['2042635479296708700'],2026-04-10T16:07:03.000Z,2042635479296708700,0,0,3,0,0,3967,BusinessInsider
Volodymyr Zelenskyy said said that Ukrainian personnel downed Shahed drones in multiple countries in the Middle East. https://t.co/eGu2TEhDPY,en,2042631756818374883,['2042631756818374883'],2026-04-10T15:52:15.000Z,2042631756818374883,3,1,10,0,0,4550,BusinessInsider
The next-highest month-over-month increase was back in 2009. https://t.co/Vqjagw8Jai,en,2042629254274257022,['2042629254274257022'],2026-04-10T15:42:19.000Z,2042629254274257022,0,0,2,0,0,3737,BusinessInsider
"Mo Gawdat, former Google X exec and AI safety advocate, shares bold predictions on AI's unstoppable rise, surpassing human intelligence, and societal shifts already underway. https://t.co/fdZiA6v7th",en,2042619119019683933,['2042619119019683933'],2026-04-10T15:02:02.000Z,2042619119019683933,3,1,7,0,1,4029,BusinessInsider
YouTube Premium is the latest streaming service to hike prices this year. https://t.co/HDFuWtWQm4,en,2042614051331547547,['2042614051331547547'],2026-04-10T14:41:54.000Z,2042614051331547547,1,1,0,0,0,4477,BusinessInsider
"Agents can handle a range of functions, including gathering information, processing paperwork, taking meeting minutes, and pulling research. https://t.co/QZcuqN6gMD",en,2042612049432256932,['2042612049432256932'],2026-04-10T14:33:57.000Z,2042612049432256932,0,0,3,0,0,3771,BusinessInsider
"The days of the Fed swooping in to save the US economy could be a thing of the past, one Wall Street legend says. https://t.co/sXQsJzHc9G",en,2042608981231743263,['2042608981231743263'],2026-04-10T14:21:45.000Z,2042608981231743263,3,0,9,0,2,4698,BusinessInsider
"""The expectations were clear from the beginning, and because the kids signed it themselves, it felt less like punishment and more like an agreement."" https://t.co/n9R8UXkAqC",en,2042604018963263967,['2042604018963263967'],2026-04-10T14:02:02.000Z,2042604018963263967,1,0,0,0,1,3952,BusinessInsider
"In many ways, Russia's air force is now ""a significantly more capable potential threat for Western air forces than it was in 2022,"" one airpower expert told BI. https://t.co/1hiRX9daFv",en,2042583825260143099,['2042583825260143099'],2026-04-10T12:41:47.000Z,2042583825260143099,3,3,10,0,2,4909,BusinessInsider
Economists expected inflation to rise to 3.4% from 2.4%. https://t.co/nLjaG1tkkh,en,2042582660132831538,['2042582660132831538'],2026-04-10T12:37:10.000Z,2042582660132831538,0,0,1,0,1,3934,BusinessInsider
"After Gen Z and entrepreneurs fell in love with Hulken, the brand is now expanding into travel. Just don't call it luggage. https://t.co/AEx4W1oeCS",en,2042562533676945772,['2042562533676945772'],2026-04-10T11:17:11.000Z,2042562533676945772,0,0,1,0,2,5025,BusinessInsider
"OpenAI's chief scientist outlined OpenAI's internal goal of building an ""AI research intern"" by September 2026 at a company livestream last October. https://t.co/vkj9B1vSwD",en,2042552403153543566,['2042552403153543566'],2026-04-10T10:36:56.000Z,2042552403153543566,1,1,6,1,2,4710,BusinessInsider
United Airlines CEO Scott Kirby said he has well-liked pilots make sure job candidates are people they'd actually want to hang out with. https://t.co/vaj3R8o9l0,en,2042544955818750392,['2042544955818750392'],2026-04-10T10:07:20.000Z,2042544955818750392,0,1,2,0,1,5256,BusinessInsider
"EY Americas' talent chief said the Big Four firm is testing ""more flexible, individualized career paths, including agile promotions."" https://t.co/UqlnsiNsMz",en,2042543619207311863,['2042543619207311863'],2026-04-10T10:02:02.000Z,2042543619207311863,0,0,0,0,2,4272,BusinessInsider
Walmart is one of several major employers to curtail use of the H-1B work visa program after changes that have made it more expensive and complicated. https://t.co/B70m2Zup3P,en,2042542325558026248,['2042542325558026248'],2026-04-10T09:56:53.000Z,2042542325558026248,3,0,6,0,2,4967,BusinessInsider
Everyday investors just proved they prefer stocks of companies they interact with on a daily basis. https://t.co/EBCrIWM10l,en,2042541120144503194,['2042541120144503194'],2026-04-10T09:52:06.000Z,2042541120144503194,1,1,6,0,1,4334,BusinessInsider
"While H-1B visa petitions are down in finance, some firms are filing more applications than they have in years. https://t.co/qfLaKonyCC",en,2042537316401463442,['2042537316401463442'],2026-04-10T09:36:59.000Z,2042537316401463442,1,0,2,0,1,4036,BusinessInsider
"First-quarter earnings season is set to kick off next week, and Deutsche Bank says it's going to be a doozy. https://t.co/2IS7U1aG9h",en,2042536037012918624,['2042536037012918624'],2026-04-10T09:31:54.000Z,2042536037012918624,1,0,2,0,0,3948,BusinessInsider
Meta's AI app has surged into the top-10 of the US Apple App Store rankings. https://t.co/k3F0dirwEi,en,2042534823164584103,['2042534823164584103'],2026-04-10T09:27:04.000Z,2042534823164584103,2,0,4,0,1,4146,BusinessInsider
"Pegasus, a boarding school in China, says it was founded with the 'blessing and support' of the state. https://t.co/uWhV2Ux7Hc",en,2042532283739992490,['2042532283739992490'],2026-04-10T09:16:59.000Z,2042532283739992490,2,0,3,0,0,4468,BusinessInsider
"US EV market is a bloodbath. Sales were down 27% Q1. Tesla still dominates with 54% market share. Everyone's struggling, except Toyota grew from a small base. https://t.co/SyH57JKQzb",en,2042528634909421639,['2042528634909421639'],2026-04-10T09:02:29.000Z,2042528634909421639,6,0,20,0,3,4905,BusinessInsider
"Coatue Management's cofounder likes the idea of analyzing meetings to flag worrying behavior, though he acknowledged it would likely hurt morale. https://t.co/2ATpVYlY0X",en,2042525962680619174,['2042525962680619174'],2026-04-10T08:51:52.000Z,2042525962680619174,0,1,0,0,0,3430,BusinessInsider
"Your drink used to just be a drink. Now it wants to fix your gut, your sleep, and your mood. https://t.co/meiKh9xENf",en,2042516041448735225,['2042516041448735225'],2026-04-10T08:12:27.000Z,2042516041448735225,1,0,1,0,1,3750,BusinessInsider
"Oaktree Capital cofounder Howard Marks praises Andrew Ross Sorkin's ""1929: Inside the Greatest Crash in Wall Street History — and How It Shattered a Nation."" https://t.co/lkkHAQMsH4",en,2042475663152595229,['2042475663152595229'],2026-04-10T05:32:00.000Z,2042475663152595229,11,0,32,0,13,13797,BusinessInsider
"""I got fired, which is a good thing. And I didn't know what I was going to do. It was the first time in so many years."" https://t.co/OmoRhfjYCh",en,2042468054152389096,['2042468054152389096'],2026-04-10T05:01:45.000Z,2042468054152389096,0,0,10,0,4,5944,BusinessInsider
"Kalashnikov Concern said it plans to mass-produce the 30-round cartridges, which are meant to be fired by its AK-12 and split into fragments. https://t.co/rNPDZpjkx1",en,2042463101103059419,['2042463101103059419'],2026-04-10T04:42:05.000Z,2042463101103059419,2,1,16,0,1,5820,BusinessInsider
"Andrew Pritchard was arrested multiple times for drug smuggling. After he went to prison, everything changed. When he was released, he founded the AP Foundation, which helps kids stay out of crime. https://t.co/rD9caM75nY",en,2042362473559261368,['2042362473559261368'],2026-04-09T22:02:13.000Z,2042362473559261368,1,0,3,0,0,6149,BusinessInsider
"Target Hospitality surges in April after securing a $550 million contract with a top cloud giant to house 4,000 workers for a Texas data center project. https://t.co/O6FhCScIkS",en,2042343509517049946,['2042343509517049946'],2026-04-09T20:46:52.000Z,2042343509517049946,0,0,3,0,0,5546,BusinessInsider
"CBS News is hiring Joshua Hoyos, formerly the New York bureau chief at ABC News, as editorial director for its free livestream news service. https://t.co/pyhx3AIEqH",en,2042342332654072098,['2042342332654072098'],2026-04-09T20:42:11.000Z,2042342332654072098,9,0,22,0,15,12149,BusinessInsider
TikTok star Khaby Lame's $975 million deal is facing trouble as brokerages restrict trading in the stock tied to it. https://t.co/YAAH2uYbYI,en,2042341092830368132,['2042341092830368132'],2026-04-09T20:37:16.000Z,2042341092830368132,2,0,2,0,3,6205,BusinessInsider
All eyes are on tomorrow's inflation report as rising prices test the Fed's next move. https://t.co/ZgTdGn0An5,en,2042338459176645112,['2042338459176645112'],2026-04-09T20:26:48.000Z,2042338459176645112,1,0,5,0,0,5080,BusinessInsider
Andrew Pritchard was arrested for smuggling $130 million dollars worth of cocaine through the Caribbean to Europe using shipping containers. https://t.co/o2deYfbLJe,en,2042332311274893596,['2042332311274893596'],2026-04-09T20:02:22.000Z,2042332311274893596,1,0,8,0,2,5277,BusinessInsider
The move will leave Volkswagen with no more 2026 EVs heading to American dealerships. https://t.co/GWxmBwH9HW,en,2042328428473454953,['2042328428473454953'],2026-04-09T19:46:56.000Z,2042328428473454953,1,1,7,1,1,6039,BusinessInsider
"I could have moved somewhere more laid-back, warmer, and with lower taxes, but I love New York. I feel better and more alive than ever. https://t.co/3uGhggOLwZ",en,2042320860384489834,['2042320860384489834'],2026-04-09T19:16:52.000Z,2042320860384489834,2,6,18,0,2,8549,BusinessInsider
"America's postal service is temporarily halting payments to its employees' pensions to free up cash, citing financial troubles approaching. https://t.co/rOwBaiDam8",en,2042317064954618008,['2042317064954618008'],2026-04-09T19:01:47.000Z,2042317064954618008,10,3,9,0,0,5636,BusinessInsider
"""When I parted ways with Amazon, I was under the impression that I would just roll into a new job. In the past, it felt like all I had to do was apply for a role, and I'd get it. However, I underestimated the job market."" https://t.co/8qDDOKlyQV",en,2042315947462066276,['2042315947462066276'],2026-04-09T18:57:20.000Z,2042315947462066276,1,0,4,0,1,5329,BusinessInsider
The US Selective Service registration process is changing to automatic enrollment. The agency says the move aims to streamline registration. https://t.co/ZGHfYCyLR8,en,2042314664277606552,['2042314664277606552'],2026-04-09T18:52:14.000Z,2042314664277606552,1,0,5,0,2,5415,BusinessInsider
"""I get a lot of questions from young folks who ask me if law school's worth it,"" California Attorney General Rob Bonta told Business Insider. ""I still tell every person to ask me, 'Yes, it's worth it.'"" https://t.co/nye6GW2rmV",en,2042301958329929789,['2042301958329929789'],2026-04-09T18:01:45.000Z,2042301958329929789,0,0,5,0,0,4560,BusinessInsider
Meta's latest AI announcement has Wall Street excited. Here's why. https://t.co/4Jnx9lagCC,en,2042300729340150131,['2042300729340150131'],2026-04-09T17:56:52.000Z,2042300729340150131,2,0,2,0,0,4201,BusinessInsider
Amazon CEO Andy Jassy's total compensation was $2.1 million last year — up roughly 30% from 2024. https://t.co/SUJ1k0nkEF,en,2042296988738224452,['2042296988738224452'],2026-04-09T17:42:00.000Z,2042296988738224452,1,1,18,0,0,7002,BusinessInsider
"Investors might be better off staying away from the stock market until the summer, according to Wall Street's ""professor of stocks."" https://t.co/LLEhnU35ke",en,2042291916444774537,['2042291916444774537'],2026-04-09T17:21:51.000Z,2042291916444774537,3,0,8,0,0,4751,BusinessInsider
"Mo Gawdat argues the biggest AI danger isn't intelligence itself, but what humans do with it. https://t.co/CZvIHJKKov",en,2042288152287568264,['2042288152287568264'],2026-04-09T17:06:54.000Z,2042288152287568264,1,0,1,0,0,4188,BusinessInsider
"Andrew Left calls Amazon the biggest threat to Nvidia's chip dominance, eyeing a trillion-dollar business forming inside the company. https://t.co/ebGCHPvJag",en,2042284515121369193,['2042284515121369193'],2026-04-09T16:52:26.000Z,2042284515121369193,0,0,6,0,3,4436,BusinessInsider
"The CEO said Tesla only has ""a few hundred"" units left of its flagship cars. It comes amid a move toward robotics and self-driving cars. https://t.co/3Tu1tZsY5y",en,2042280747306799263,['2042280747306799263'],2026-04-09T16:37:28.000Z,2042280747306799263,8,0,14,0,0,5993,BusinessInsider
"Retail investors have evolved since Liberation Day with JPMorgan saying retail trading has seen a ""major departure"" from typical patterns. https://t.co/omRyFYP3K3",en,2042276910575558780,['2042276910575558780'],2026-04-09T16:22:13.000Z,2042276910575558780,0,1,3,1,0,4162,BusinessInsider
"""You need to move fast, have teammates that act like true owners, and be scrappy."" https://t.co/RMHTYYsNyy",en,2042271789741473918,['2042271789741473918'],2026-04-09T16:01:52.000Z,2042271789741473918,1,1,6,0,0,4077,BusinessInsider
"""From the outside, a year where my income dropped below $12,000 might look like failure. But for me, it became the year I stopped measuring resilience by how much I could endure — and started defining it by whether my life was something my body could ac... https://t.co/NWQTnwE172",en,2042261807209882022,['2042261807209882022'],2026-04-09T15:22:12.000Z,2042261807209882022,2,0,2,0,0,4318,BusinessInsider
"The agency filed a lien against the boxer, who is embarking on a lucrative comeback. https://t.co/KzUZtIpVrT",en,2042259239293370840,['2042259239293370840'],2026-04-09T15:12:00.000Z,2042259239293370840,7,3,18,7,8,8914,BusinessInsider
I knew that it needed a lot of work — including a new roof — but I saw the potential. https://t.co/SV37CKLoUJ,en,2042258011083657402,['2042258011083657402'],2026-04-09T15:07:07.000Z,2042258011083657402,1,0,1,0,0,3749,BusinessInsider
"The AI chip race is heating up, with Andy Jassy taking a shot at Nvidia in his annual letter to shareholders. https://t.co/0rAOaaJEOH",en,2042256847248281668,['2042256847248281668'],2026-04-09T15:02:30.000Z,2042256847248281668,1,1,5,0,0,3955,BusinessInsider
"I recently tried Red Lobster's new Lobsterfest menu, which ends later this month. https://t.co/yo2mV8C32w",en,2042249231335837913,['2042249231335837913'],2026-04-09T14:32:14.000Z,2042249231335837913,0,0,2,1,1,4677,BusinessInsider
"""Even if the current ceasefire gives way to normalized shipping traffic out of the Middle East, backlogged transport and damage to Gulf energy infrastructure will not allow prices to return to normal right away,"" Stephen Kates, a financial analyst at Ba... https://t.co/acZ0cz5Gnb",en,2042247947019059537,['2042247947019059537'],2026-04-09T14:27:08.000Z,2042247947019059537,2,0,6,0,1,3879,BusinessInsider
"President Trump has left an increasingly visible mark on Washington, DC, from department name changes to colorful, 30-foot-tall banners of his portrait. https://t.co/sWUbVR7h8p",en,2042235300018036837,['2042235300018036837'],2026-04-09T13:36:53.000Z,2042235300018036837,2,1,7,0,0,4927,BusinessInsider
"In 1975, a half gallon of milk cost $0.79. https://t.co/NxiKmCxHfD",en,2042229094650187783,['2042229094650187783'],2026-04-09T13:12:13.000Z,2042229094650187783,2,0,6,0,0,4984,BusinessInsider
"""The yearlong program passed in the blink of an eye, and before I knew it, it was all over."" https://t.co/zTOm6jJN6z",en,2042227850753757301,['2042227850753757301'],2026-04-09T13:07:17.000Z,2042227850753757301,2,0,3,0,0,4162,BusinessInsider
She's figured out several ways to add a protein boost to her meals. https://t.co/Bxkt1ElokO,en,2042220241241997699,['2042220241241997699'],2026-04-09T12:37:02.000Z,2042220241241997699,1,0,7,0,1,5055,BusinessInsider
"Amazon ends support for Kindles released before 2012, leaving users unable to add new titles. Fans of the vintage models face tough decisions about future reading. https://t.co/ttw8wIx6Rr",en,2042216533510721562,['2042216533510721562'],2026-04-09T12:22:18.000Z,2042216533510721562,1,0,7,1,1,5137,BusinessInsider
Mark Zuckerberg and Bernard Arnault grew about $13 billion and $10 billion richer each on Wednesday. https://t.co/tm9syJ0upE,en,2042210110970200126,['2042210110970200126'],2026-04-09T11:56:47.000Z,2042210110970200126,5,0,21,0,2,5563,BusinessInsider
"""I still make some of those mistakes, unfortunately,"" JPMorgan CEO Jamie Dimon said. https://t.co/1xK5XNsm0l",en,2042192524282843599,['2042192524282843599'],2026-04-09T10:46:54.000Z,2042192524282843599,1,1,9,0,0,5633,BusinessInsider
"Sony Mordechai, the founder of Imperia Caviar, told Business Insider he built the business to make one of his favorite foods more accessible. https://t.co/z5xJ3xFcAj",en,2042186269921313186,['2042186269921313186'],2026-04-09T10:22:03.000Z,2042186269921313186,1,0,1,0,2,4670,BusinessInsider
"Regulatory filings show that Citadel, Millennium, Point72, Balyasny, and more have fewer investing staffers based in Miami than the year prior. https://t.co/MdpXjGkBmS",en,2042181303752098121,['2042181303752098121'],2026-04-09T10:02:19.000Z,2042181303752098121,2,0,3,0,0,4779,BusinessInsider
3 lessons investors learned from the market's latest TACO bonanza https://t.co/G9MHMksNuz,en,2042178679346749527,['2042178679346749527'],2026-04-09T09:51:53.000Z,2042178679346749527,2,0,6,0,1,4246,BusinessInsider
"Requests for legal assistance related to foreclosures have spiked to their highest since 2020, LegalShield said. https://t.co/yVnvH6chfv",en,2042176204766056934,['2042176204766056934'],2026-04-09T09:42:03.000Z,2042176204766056934,6,2,14,0,2,4553,BusinessInsider
"Drones are key in the Arctic, where NATO is strengthening its presence. But the cold wreaks havoc with batteries and parts, and hiding is hard. https://t.co/7Hn4wZqsD7",en,2042174886026658212,['2042174886026658212'],2026-04-09T09:36:49.000Z,2042174886026658212,12,0,39,0,4,5376,BusinessInsider
"Each January, Ashley Jernigan begins organizing and cleaning every corner of her home so it's ready in time for the Masters Tournament. https://t.co/oIY3j0oBIJ",en,2042173699646751045,['2042173699646751045'],2026-04-09T09:32:06.000Z,2042173699646751045,0,0,1,0,1,4353,BusinessInsider
Khaby Lame's deal to go public has hit a snag as brokerages are restricting or blocking trading in the stock behind it. https://t.co/y3iW1d78tq,en,2042167397402976376,['2042167397402976376'],2026-04-09T09:07:03.000Z,2042167397402976376,0,1,5,0,2,4890,BusinessInsider
"OpenBuilder, a Y Combinator startup, sets its sights on Lovable and Replit with a fixed pricing model and $2.2M in seed funding, challenging traditional coding platforms. https://t.co/E9HEyNsZDD",en,2042166174608155050,['2042166174608155050'],2026-04-09T09:02:12.000Z,2042166174608155050,0,1,1,0,1,3789,BusinessInsider
I tried the $950 blood test Silicon Valley thinks can revolutionize cancer screening. The science—and my results—tell a murkier story. https://t.co/fn3aFOLVYO,en,2042152334520734101,['2042152334520734101'],2026-04-09T08:07:12.000Z,2042152334520734101,1,0,4,0,5,5013,BusinessInsider
"""As difficult as it is to see what's going on with the conflict in the Middle East, I'm not sure that our premium customers are feeling affected by that,"" Delta CEO Ed Bastian said. https://t.co/je7ea0l7Yx",en,2042135977104208384,['2042135977104208384'],2026-04-09T07:02:12.000Z,2042135977104208384,2,2,4,0,0,4155,BusinessInsider
"Some high-level employees are ditching their posts at large outfits to take on the blurrier title of ""member of technical staff"" at frontier AI labs. https://t.co/uAVjtXiVk8",en,2042119715133198612,['2042119715133198612'],2026-04-09T05:57:35.000Z,2042119715133198612,2,1,19,0,1,4943,BusinessInsider
"""A lot of it was assembling together all the ingredients we already had and then kind of pushing with relentless sort of focus and pace,"" Hassabis said. ""Acting almost like a startup, really, to get back to the frontier and be ahead in many areas."" https://t.co/LNq7R5Y6mL",en,2042110704195448842,['2042110704195448842'],2026-04-09T05:21:47.000Z,2042110704195448842,2,0,8,0,0,4526,BusinessInsider
"""Transit conditions, toll arrangements, and the legal framework for passage remain undefined. The strait has not reopened — it is in a supervised pause,"" maritime intelligence firm Windward wrote. https://t.co/hnZvsW0x5R",en,2042106945956466809,['2042106945956466809'],2026-04-09T05:06:51.000Z,2042106945956466809,6,0,11,0,2,5075,BusinessInsider
"""That's who we are,"" she said. ""Why change it? And if it's not broken, why fix it?"" https://t.co/VGelGZMXrJ",en,2042048000751435866,['2042048000751435866'],2026-04-09T01:12:37.000Z,2042048000751435866,1,0,2,0,1,6030,BusinessInsider
"A SpaceX executive said xAI is ""clearly behind"" competition, in a memo sent to staff. https://t.co/jiozkgIt9R",en,2042015190619726065,['2042015190619726065'],2026-04-08T23:02:14.000Z,2042015190619726065,43,28,199,20,18,25777,BusinessInsider
"""Big Short"" investor Michael Burry thinks Anthropic is outpacing competition from Palantir, citing strength of its enterprise AI business. https://t.co/9hGLPZkYnH",en,2041968550609297684,['2041968550609297684'],2026-04-08T19:56:55.000Z,2041968550609297684,2,5,15,2,3,6649,BusinessInsider
"Investors cheered the ceasefire on Wednesday, but markets aren't yet in the clear, UBS warns. https://t.co/5LCsUPHbke",en,2041956032478318718,['2041956032478318718'],2026-04-08T19:07:10.000Z,2041956032478318718,1,0,6,0,0,5426,BusinessInsider
"Some engineers are ""tokenmaxxing,"" or spending as many AI tokens as possible. But are leaderboards tracking token use the answer? https://t.co/iUpWpp2PJI",en,2041954770575929388,['2041954770575929388'],2026-04-08T19:02:09.000Z,2041954770575929388,0,0,3,0,1,5051,BusinessInsider
"I learned that I actually enjoy working alone more than working with a team, and that I work better when there aren't strict time constraints than under pressure. https://t.co/0OJjgA98KE",en,2041952204643352585,['2041952204643352585'],2026-04-08T18:51:57.000Z,2041952204643352585,1,0,7,0,1,5592,BusinessInsider
New York City Mayor Zohran Mamdani announced a settlement with a food delivery platform over fees charged to local restaurants. https://t.co/uHkmcXXU8z,en,2041943441114910782,['2041943441114910782'],2026-04-08T18:17:08.000Z,2041943441114910782,1,0,10,1,0,6126,BusinessInsider
Markets are pricing in higher odds of rate cuts by the end of the year following the ceasefire deal. https://t.co/UopY8G7uf0,en,2041939674629874174,['2041939674629874174'],2026-04-08T18:02:10.000Z,2041939674629874174,1,0,6,0,1,4535,BusinessInsider
Anthropic's Claude Mythos raises cybersecurity concerns with its ability to find and exploit vulnerabilities. Here's what cyber experts think. https://t.co/EFXXpVj4Q5,en,2041933339876086225,['2041933339876086225'],2026-04-08T17:37:00.000Z,2041933339876086225,8,1,12,0,2,6140,BusinessInsider
"Bad software loans could spark a default wave in a corner of the private debt market, the CEO of Marathon Asset Management said. https://t.co/NkB21muKTY",en,2041927027570147580,['2041927027570147580'],2026-04-08T17:11:55.000Z,2041927027570147580,1,0,0,0,0,5152,BusinessInsider
"Jeff Shell is leaving Paramount after an odd lawsuit, leaving Paramount CEO David Ellison without one of his top advisors. https://t.co/0eSfZCykAo",en,2041925847444078926,['2041925847444078926'],2026-04-08T17:07:13.000Z,2041925847444078926,0,0,2,0,1,5928,BusinessInsider
