edit_history_tweet_ids,text,conversation_id,lang,id,created_at,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count,in_reply_to_user_id,username
['2001388928687813057'],"Just got done watching one of Grant, George and Wesley’s Major Cut episodes. Remind me to never play at Oakmont CC guys! OMG!! 😱 . I would be a +100! 🤣🤣🤣🤣🤣🤦🏾‍♂️",2001388928687813057,en,2001388928687813057,2025-12-17T20:27:59.000Z,345,552,14852,124,210,3261968,,KingJames
['1995208950996971650'],Helluva read and pass 12! Keep going! ⌚️,1995208950996971650,en,1995208950996971650,2025-11-30T19:10:57.000Z,1186,670,17201,89,183,1323969,,KingJames
['1994850586341380540'],TATE TATE TATE!!!!!!!!!!,1994850586341380540,ro,1994850586341380540,2025-11-29T19:26:56.000Z,810,423,14371,144,256,2653247,,KingJames
['1994840133779206338'],Yessir B Innis! The Captain 🫡 TD,1994840133779206338,en,1994840133779206338,2025-11-29T18:45:24.000Z,430,197,7829,17,54,547971,,KingJames
['1994839254472810904'],So DAMN PROUD of my guy Luke Montgomery!!! Keep going kid! #51 🌰🙏🏾🤎🫡,1994839254472810904,en,1994839254472810904,2025-11-29T18:41:55.000Z,535,194,13554,31,117,4033525,,KingJames
['1994831816688279961'],TD 4!!!! Happy Bday too Young 🤴🏾🙌🏾,1994831816688279961,en,1994831816688279961,2025-11-29T18:12:21.000Z,699,271,12880,27,108,764273,,KingJames
['1994103642736194008'],"Turkey on the table, football on TV, and all the action on @draftkings_sportsbook!! Let’s make this Thanksgiving a W! 🦃🏈👑 #DKPartner https://t.co/DAxPJbiGi5 https://t.co/lBz4ErLwjZ",1994103642736194008,en,1994103642736194008,2025-11-27T17:58:51.000Z,256,413,3532,78,90,423909,,KingJames
['1989858583387975948'],Must be the shoes Bo Jackson! lol. Well probably the O-Line and your vision. #GoBuckeyes🌰,1989858583387975948,en,1989858583387975948,2025-11-16T00:50:30.000Z,287,253,6252,27,61,601393,,KingJames
['1989782195008078093'],That A&amp;M cop needs to suspended! That was premeditated and corny AF!! 🤦🏾‍♂️. He went out his way to start some shit. Do better man,1989782195008078093,en,1989782195008078093,2025-11-15T19:46:58.000Z,5415,4033,70301,536,1356,5731395,,KingJames
['1989776748301750610'],No way it wasn’t! Had to do 2 episodes! https://t.co/nXARlLFu9o,1989776748301750610,en,1989776748301750610,2025-11-15T19:25:19.000Z,273,229,4895,23,174,835164,,KingJames
['1989727279656972351'],Another 1! Dj Khalid voice! Too good ⛳️,1989386553802854506,en,1989727279656972351,2025-11-15T16:08:45.000Z,42,44,576,7,14,290055,23083404,KingJames
['1989386553802854506'],Helluva put Nelly! ⛳️,1989386553802854506,en,1989386553802854506,2025-11-14T17:34:50.000Z,161,358,6127,71,77,1669453,,KingJames
['1988978364447948842'],I love watching YouTube golf ⛳️ videos!! Random I know. lol. SO COOL!,1988978364447948842,en,1988978364447948842,2025-11-13T14:32:50.000Z,5674,2508,91136,2117,3229,27426176,,KingJames
['1988657529929495017'],Appreciate the helping hand my brother! 🤣🤣🤣🤣🤣. 🙏🏾🫡 https://t.co/36yly6lEFP,1988657529929495017,en,1988657529929495017,2025-11-12T17:17:57.000Z,1584,356,64361,37,1628,3971788,,KingJames
['1988036219083923835'],RIP LEGEND!!!!! 🕊️🕊️🕊️🤎. You'll be missed! Always was an honor to see you throughout the years https://t.co/Pfb7xTJCHo,1988036219083923835,en,1988036219083923835,2025-11-11T00:09:05.000Z,727,258,15939,13,223,1146181,,KingJames
['1987738631990378660'],CONGRATULATIONS @Keenan13Allen on the record bro!! 🔥🔥🔥🫡,1987738631990378660,en,1987738631990378660,2025-11-10T04:26:34.000Z,1048,230,10846,65,137,620583,,KingJames
['1985404667023814952'],You wouldn’t want to miss this one!! 🧑🏽‍🍳 Curry in the building! 🙌🏾🙌🏾🙌🏾 https://t.co/vDleutkpSy,1985404667023814952,en,1985404667023814952,2025-11-03T17:52:14.000Z,2379,472,39816,101,1763,2294454,,KingJames
['1984838827450806734'],CONGRATULATIONS @Dodgers !!!!👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾,1984838827450806734,en,1984838827450806734,2025-11-02T04:23:47.000Z,4756,879,54400,456,801,9987922,,KingJames
['1984838609204363671'],The 2 best words in sports. GAME SEVEN!!!! Wow what a game!!!,1984838609204363671,en,1984838609204363671,2025-11-02T04:22:55.000Z,3096,657,44742,157,595,1636851,,KingJames
['1984821804603769152'],WOW!!!!!!,1984821804603769152,und,1984821804603769152,2025-11-02T03:16:09.000Z,1326,354,28620,111,370,1909200,,KingJames
"['1984693891870883851', '1984694074872561954']",MAN WHAT JEREMIAH SMITH!!!!!!! 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣!!  INSANE TALENT.,1984694074872561954,en,1984694074872561954,2025-11-01T18:48:35.000Z,1074,294,15389,100,202,1669707,,KingJames
['1983958990997582054'],Happy Spooky Halloween!! 👻🎃🦇 This is a bucket list item for me for real!!! I used to read alllll the Goosebumps books in middle school and now to have my own spooky book coming for my favorite time of year is giving me goosebumps! 🙏🏾👑🧡 https://t.co/9u6kzZAnSj,1983958990997582054,en,1983958990997582054,2025-10-30T18:07:38.000Z,135,207,1330,21,43,335018,,KingJames
['1983747591746809965'],A-MUTHAFUCKIN-R!!!!!!!!!!!!!,1983747591746809965,en,1983747591746809965,2025-10-30T04:07:36.000Z,10351,1142,80279,335,826,3559779,,KingJames
['1983530226547326983'],Can’t wait!!! 🎃👻🦇👑 https://t.co/7GGwMV3vG3,1983530226547326983,en,1983530226547326983,2025-10-29T13:43:52.000Z,249,346,4204,26,86,796884,,KingJames
['1982654039319023940'],Damn that’s crazy we almost had back to back 50 balls. Damnit Don! 🤣🤣🤣🤣🤣🤣! Sick back court! 🙌🏾🙌🏾🙌🏾,1982654039319023940,en,1982654039319023940,2025-10-27T03:42:13.000Z,4253,795,70994,388,872,3644968,,KingJames
['1982652885033992471'],50 piece 🐔 nugget!!!!! That boy AR TOOOO TOUGH!!,1982652885033992471,en,1982652885033992471,2025-10-27T03:37:38.000Z,9500,1022,97399,386,1070,3709407,,KingJames
['1982252833589092816'],MIA X MVP so far!! She soooooo 🥶,1982252833589092816,en,1982252833589092816,2025-10-26T01:07:58.000Z,1134,321,9252,137,194,1225266,,KingJames
['1978654378509877693'],GV going crazy right now!!! Sheesh 🔥🔥🔥🔥🔥🔥🔥🔥🔥,1978654378509877693,en,1978654378509877693,2025-10-16T02:49:00.000Z,2364,804,30348,792,1609,11106994,,KingJames
['1978617754082226556'],Love to see this. Hot take culture so tired. @mindthegamepod https://t.co/5XdmEgfVEo,1978617754082226556,en,1978617754082226556,2025-10-16T00:23:28.000Z,1639,362,23056,78,1274,1843664,,KingJames
"['1977890215781134787', '1977890555653652662']",Bijan so COLD!!!!!!!!! 🥶,1977890555653652662,ht,1977890555653652662,2025-10-14T00:13:50.000Z,2261,331,16336,215,224,2028979,,KingJames
['1976122463668121826'],FACTS!!!!!!!!! 🔥🔥🔥🔥🔥🔥🔥 https://t.co/20VqDQ5SxB,1976122463668121826,en,1976122463668121826,2025-10-09T03:08:04.000Z,1173,406,19893,75,261,2609748,,KingJames
['1975576075561541637'],😉😜👑 https://t.co/NGqV2C0dSy,1975576075561541637,art,1975576075561541637,2025-10-07T14:56:55.000Z,5407,6160,80599,4229,2864,16313443,,KingJames
['1975258187046789292'],The decision of all decisions. October 7th. 12pm EST. 🫡👑 #TheSecondDecision https://t.co/1uop8sIU25,1975258187046789292,en,1975258187046789292,2025-10-06T17:53:44.000Z,18089,9223,177958,21949,10781,83514289,,KingJames
['1973129276565463432'],‼️‼️‼️‼️‼️‼️ https://t.co/k1IP8MH4bT,1973129276565463432,und,1973129276565463432,2025-09-30T20:54:13.000Z,3076,861,92560,159,1368,6809873,,KingJames
['1972829772611977586'],Wow Justin Fields! What a play,1972829772611977586,en,1972829772611977586,2025-09-30T01:04:05.000Z,351,244,5280,53,64,907333,,KingJames
['1972775429846262196'],👀👀👀👀 https://t.co/OLWRmISuUK,1972775429846262196,art,1972775429846262196,2025-09-29T21:28:09.000Z,233,196,3333,9,131,1042765,,KingJames
['1967262610006659150'],🔥🔥🔥🔥🔥🔥🔥😤😤😤💪🏾 https://t.co/TlG15h420s,1967262610006659150,art,1967262610006659150,2025-09-14T16:22:10.000Z,625,322,7675,14,305,1230163,,KingJames
['1964525547524149274'],NFL Sundays are BACK!!! 🏈 👑🔥 @KevinHart4real you better lock in 🤣. Get in on the action with @DKSportsbook! #DKPartner https://t.co/DAxPJbiGi5,1964525547524149274,en,1964525547524149274,2025-09-07T03:06:04.000Z,297,295,1144,17,18,831823,,KingJames
['1963950870170882206'],"There’s too many talented individuals out there that aren’t getting the chance to show their GREATNESS, despite having the skills. Let's change that. @indeed @uninterrupted @LJFamFoundation are coming together to help spark real opportunity. 👑❤️🙏🏾 #ad
https://t.co/OVmrIc19eb",1963950870170882206,en,1963950870170882206,2025-09-05T13:02:30.000Z,262,341,2601,23,71,986192,,KingJames
['1963923906894668118'],"Was up early thinking 🤔!! 23 years in the league... the ups, the downs and everything we accomplished along the way. What if I never got that first opportunity to show what I could do?!?! 🤷🏾‍♂️👑 #ad",1963923906894668118,en,1963923906894668118,2025-09-05T11:15:22.000Z,3444,2930,89866,883,1989,6698539,,KingJames
['1962324161566773645'],🐐 sighting!!! TOOOOOO 🔥🔥🔥🔥🔥🔥🔥 https://t.co/fa2spz7j7B,1962324161566773645,en,1962324161566773645,2025-09-01T01:18:32.000Z,1201,356,15132,92,361,2627442,,KingJames
['1959734070990295263'],Congrats and 🫡 @TommyFleetwood1!!! That first one feeling  is something else! Especially after dealing with adversity and shortcomings. Too 🔥🔥🔥🔥🔥🏆,1959734070990295263,en,1959734070990295263,2025-08-24T21:46:27.000Z,980,453,23079,73,108,2067849,,KingJames
['1959726859320779056'],Up 3 with 2 to play for all the marbles,1959726859320779056,en,1959726859320779056,2025-08-24T21:17:47.000Z,213,352,6180,58,57,1327469,,KingJames
['1959712390314148226'],Damn! And just like that into the water,1959712390314148226,en,1959712390314148226,2025-08-24T20:20:18.000Z,177,234,5706,47,66,1186640,,KingJames
['1959711384733897207'],Scottie on the creep again!! Man o man,1959711384733897207,en,1959711384733897207,2025-08-24T20:16:18.000Z,120,213,3810,27,51,1035776,,KingJames
['1959709686049144908'],*Today,1959679745458946050,en,1959709686049144908,2025-08-24T20:09:33.000Z,80,187,3890,33,29,756781,23083404,KingJames
['1959679745458946050'],What a start so far by Fleetwood! Feels like to day is the day,1959679745458946050,en,1959679745458946050,2025-08-24T18:10:35.000Z,298,421,10770,200,145,4863351,,KingJames
['1958563860035907804'],🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🙌🏾🙌🏾🙌🏾🙌🏾🙌🏾🙌🏾👏🏾👏🏾👏🏾👏🏾👏🏾 https://t.co/IIO5uk6da2,1958563860035907804,art,1958563860035907804,2025-08-21T16:16:27.000Z,10254,743,189048,185,2020,7423635,,KingJames
['1957200315201061267'],Crazy ZONE he’s in currently!,1957199883972034664,en,1957200315201061267,2025-08-17T21:58:12.000Z,62,86,2241,29,21,853883,23083404,KingJames
['1957199883972034664'],Scheffler so damn COLD out there!! 🏌️‍♂️🫡,1957199883972034664,en,1957199883972034664,2025-08-17T21:56:30.000Z,604,349,14186,82,106,2059404,,KingJames
['1954346012358607074'],WUNNA!!!! Man o man! You don’t miss 🫡 @1GunnaGunna 🔥🔥🔥🔥🔥 “The Last Wun”,1954346012358607074,en,1954346012358607074,2025-08-10T00:56:13.000Z,4831,1292,44628,602,851,3395576,,KingJames
['1953977687149789453'],And I don’t wanna hear that “It’s only preseason”  bs. Cause if he was out there not going in y’all would be on his ass about it! So give credit and grace lames. 🤷🏾‍♂️,1953977687149789453,en,1953977687149789453,2025-08-09T00:32:38.000Z,12100,2944,111792,1044,2302,6081347,,KingJames
['1953976995026542769'],That young 🤴🏾 looking good out there! @ShedeurSanders Keep going UP!!! HEAD down on the grind and HEAD high to the most high 🙌🏾🫡,1953976995026542769,en,1953976995026542769,2025-08-09T00:29:53.000Z,6613,1101,55877,311,833,4069108,,KingJames
['1948559206564372651'],🔥🔥🔥🔥🔥🔥 https://t.co/IUr4J6FaPZ https://t.co/EMQ2yTdvra,1948559206564372651,qme,1948559206564372651,2025-07-25T01:41:31.000Z,602,748,10577,70,500,2243979,,KingJames
['1947294600416104825'],STOP FKN PLAYING WITH ME!!!! 😤😤😤😤😤😤😤😤 https://t.co/h1REzqhrss,1947294600416104825,en,1947294600416104825,2025-07-21T13:56:26.000Z,7519,2286,107897,561,5446,8990090,,KingJames
['1946642410681094488'],👀 LFG!!!!! 😤😤😤😤 https://t.co/MsyTdVTsU6,1946642410681094488,und,1946642410681094488,2025-07-19T18:44:52.000Z,4718,1140,87601,706,2075,6148631,,KingJames
['1944791316812247340'],YESSIR!!! Congratulations to my brother B.Weems!! Super proud of u man 🙌🏾🙌🏾🙌🏾🙌🏾🙌🏾🙌🏾🙌🏾🙏🏾🤎 https://t.co/QDD6aZgBwn,1944791316812247340,en,1944791316812247340,2025-07-14T16:09:17.000Z,654,945,16349,558,322,5100680,,KingJames
"['1943280137371263114', '1943280563927789872']","¡Benito! Estoy en el aeropuerto de Los Ángeles ahora mismo, ¡voy a verte! Me enteré de lo que tienes planeado para mañana por la noche. 👀. LFG! 🔥🔥🔥🫡",1943280563927789872,es,1943280563927789872,2025-07-10T12:06:05.000Z,5303,1824,94109,1971,2744,10465962,,KingJames
['1942626719170732540'],I do my own stunts. 🤷🏾‍♂️ And my own shopping. 😉 Prime Day starts TODAY!!!  @amazon #ad https://t.co/rqaZzYd8JD,1942626719170732540,en,1942626719170732540,2025-07-08T16:47:56.000Z,457,487,5218,64,204,707537,,KingJames
['1940714903616344270'],My prayers goes out to his loved ones during this time! May you all be guided and protected! YNWA JOTA!! 🙏🏾🙏🏾🙏🏾❤️ https://t.co/B3tYVJJxkA,1940714903616344270,en,1940714903616344270,2025-07-03T10:11:04.000Z,21161,907,340581,144,3283,15517276,,KingJames
['1940545953330876876'],😤😤😤😤😤😤 THE BUTCHER COMING 🥷. Summer 25 is here!! 🫡 https://t.co/pLMYHP6FM0,1940545953330876876,en,1940545953330876876,2025-07-02T22:59:43.000Z,986,474,12156,111,620,2615275,,KingJames
['1940109146847842709'],Can y’all feel it!? 🤣🤣🤣 Prime Day July 8-11 @amazon #ad https://t.co/4fxu3QBW3Q,1940109146847842709,en,1940109146847842709,2025-07-01T18:04:00.000Z,451,585,6478,132,324,1059950,,KingJames
['1936944290736807993'],FUCK!!!!!!!! 🤦🏾‍♂️🙏🏾,1936944290736807993,en,1936944290736807993,2025-06-23T00:28:00.000Z,24650,4324,363046,2037,7097,30516349,,KingJames
['1934963512347939017'],What’s next!? Prime Day 😎👑🔥 July 8-11 @amazon #ad https://t.co/HeEadg5QD9,1934963512347939017,en,1934963512347939017,2025-06-17T13:17:05.000Z,1671,818,18180,519,1000,3426696,,KingJames
['1933996414947758317'],The CC EFFECT!! WELCOME BACK! You were missed!,1933996414947758317,en,1933996414947758317,2025-06-14T21:14:11.000Z,5606,1153,77315,846,1178,7518343,,KingJames
['1933888869973331968'],I’ve been asking myself the same question… 🤔👑 #ad https://t.co/ieSG62C7cA,1933888869973331968,en,1933888869973331968,2025-06-14T14:06:51.000Z,3805,2527,55079,2477,2877,6153559,,KingJames
['1932258735516487814'],🫡 @iamjamiefoxx BET “ULTIMATE ICON”!! Love my brother and CONGRATULATIONS!!!! 🙏🏾🤎💪🏾,1932258735516487814,en,1932258735516487814,2025-06-10T02:09:16.000Z,819,317,11913,10,134,1131300,,KingJames
['1931476189908234388'],I SECOND THAT!!! Congratulations my fellow flag bearer @CocoGauff 👏🏾👏🏾👏🏾👏🏾🤎 https://t.co/DAWugITVZy,1931476189908234388,en,1931476189908234388,2025-06-07T22:19:43.000Z,2994,622,57889,78,510,5124310,,KingJames
['1927110053661671571'],OMG!!!! WTH. My deepest thoughts and prayers goes out to everyone affected that attended @LFC Premiere League trophy parade today!  Such a senseless act! 🤦🏾‍♂️. #YNWA 💔,1927110053661671571,en,1927110053661671571,2025-05-26T21:10:15.000Z,4307,864,72440,143,1028,5358129,,KingJames
['1926092874283700339'],ALL NBA at 40!! Low key crazy to me right now!  Sitting here watching the playoffs just thinking about it. Blessed beyond I can even imagine.👑🙏🏾,1926092874283700339,en,1926092874283700339,2025-05-24T01:48:20.000Z,8213,3055,118987,1015,1458,8556317,,KingJames
['1925683023241969935'],🔥🔥🔥🔥So goood!!!!! Thank you for the great insight and mind of the game we all love @swish41 🙏🏾🫡 https://t.co/20myEw3orv,1925683023241969935,en,1925683023241969935,2025-05-22T22:39:44.000Z,1137,289,17271,14,963,2324524,,KingJames
['1924187214923383182'],"Best 2 words in SPORTS… 

GAME 7!!!!!!",1924187214923383182,en,1924187214923383182,2025-05-18T19:35:56.000Z,4460,1974,71477,469,696,5012549,,KingJames
['1923851699057459690'],TRIPLE DUB CC!! Great way to kick off the season! 👏🏾👏🏾👏🏾👏🏾,1923851699057459690,en,1923851699057459690,2025-05-17T21:22:43.000Z,6068,1300,85419,1379,1357,13701910,,KingJames
['1922445606808911939'],Hali fkn hooping!!!! Where the lames who said he was overrated??!! Quiet as hell. That boy NICE and even more someone everyone would love to play with! 🧠 🏀 @mindthegamepod,1922445606808911939,en,1922445606808911939,2025-05-14T00:15:24.000Z,5284,2186,61291,1300,1071,6642329,,KingJames
