created_at,text,lang,conversation_id,id,edit_history_tweet_ids,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count,in_reply_to_user_id,username
2026-04-01T13:49:04.000Z,"At @Blockworks' Digital Asset Summit last week, Nasdaq’s Global Head of Digital Assets Strategy Matt Savarese discussed Nasdaq's issuer-first approach to tokenized equities: preserving company control, investor transparency, and governance while unlocking continuous trading. https://t.co/JjWLCeK2ev",en,2039339265918706046,2039339265918706046,['2039339265918706046'],3,0,5,0,0,1475,,Nasdaq
2026-03-31T12:00:00.000Z,"Bladex is transforming its treasury with Nasdaq Calypso—unlocking new hedging capabilities, enabling local currency financing, and driving long-term growth. Eduardo Vivone, EVP of Treasury &amp; Capital Markets at Bladex, shares more: https://t.co/cBUDedavQu https://t.co/0mKcoD2uGP",en,2038949428946468882,2038949428946468882,['2038949428946468882'],2,2,5,0,0,1518,,Nasdaq
2026-03-30T19:04:48.000Z,"""We are creating a permanent commitment to the state and capital markets are finding a new center of gravity."" 

At the Alamo, Nasdaq launched Nasdaq Texas: a dual listings venue connecting Texas companies directly to global capital markets.

From energy to infrastructure to https://t.co/fc6hAmpExa",en,2038693946952450090,2038693946952450090,['2038693946952450090'],70,36,695,7,106,4243696,,Nasdaq
2026-03-28T14:00:00.000Z,"Tokenized deposits are the missing link for modernized banking.

Leaders from Holistic Capital, @AnimocaBrands, @OstiumLabs, and Performance Trust Capital Partners join  TradeTalks to discuss how digital asset market structure could evolve as institutional capital continues to https://t.co/yFG22azpig",en,2037892466943066560,2037892466943066560,['2037892466943066560'],1,6,15,3,2,13281,,Nasdaq
2026-03-27T15:25:29.000Z,"AI is reshaping markets the way the printing press reshaped information and electronic trading reshaped access.

We’re entering a new era for market architecture, integrity, and collective intelligence.

@Nasdaq President Tal Cohen shares his full reflections from @NVIDIA GTC",en,2037551590089851206,2037551590089851206,['2037551590089851206'],0,2,2,0,0,1377,,Nasdaq
2026-03-27T14:47:14.000Z,"Financial crime surged to $4.4T in 2025, driven by AI-enabled scams, fraud, &amp; money laundering. Nasdaq Verafin’s 2026 report explores how advanced technology &amp; cross-sector collaboration are reshaping the global response. Read more: https://t.co/1Gyeza7CIJ https://t.co/01ozFqERgC",en,2037541963474354501,2037541963474354501,['2037541963474354501'],5,1,7,0,1,1568,,Nasdaq
2026-03-26T20:12:13.000Z,"Markets worldwide are exploring 23/5 and 24/7 trading operations—democratizing access to markets and enhancing liquidity for investors globally. 

Nasdaq’s new white paper explores how marketplace technology enables this transformation. 

Stay ahead on what’s to come: https://t.co/7yQOxfDpch",en,2037261358756942050,2037261358756942050,['2037261358756942050'],6,6,9,0,0,2269,,Nasdaq
2026-03-26T17:27:31.000Z,"From expansive oil fields to booming tech corridors, Texas is where innovation and perseverance meet. 

Discover how Nasdaq Texas supports the companies shaping the next era of growth, innovation, and capital formation: https://t.co/9NzL83PnmM https://t.co/CnuzPPC6qR",en,2037219912511262736,2037219912511262736,"['2037218572569555299', '2037219912511262736']",0,2,8,1,0,1797,,Nasdaq
2026-03-26T14:55:49.000Z,"Cross‑sector coordination and responsible AI are critical to stopping scams at the source. 

At the @UNODC and @INTERPOL_HQ Global Fraud Summit, Nasdaq Verafin EVP Stephanie Champion reinforced the need for global collaboration as fraud losses reach $579.4B. 

We look forward to https://t.co/lgl6YxCwst",en,2037181734119264462,2037181734119264462,['2037181734119264462'],1,1,4,0,0,1265,,Nasdaq
2026-03-25T17:36:46.000Z,"Digital asset market structure is at a pivotal moment.

Leaders from @GSR_io, @Injective, @EisnerAmper, and @Cybrid_xyz join TradeTalks to discuss why the industry is at a key inflection point in terms of innovation, technological developments, and policy response: https://t.co/V6e4Ay1kMT",en,2036859852434067725,2036859852434067725,['2036859852434067725'],4,4,9,0,1,1767,,Nasdaq
2026-03-23T11:32:29.000Z,"Nasdaq and @Talostrading are integrating their platforms to enable institutions to manage tokenized and traditional collateral in one environment—advancing real-time mobility, unified risk management, and regulatory-grade infrastructure for always-on markets.

Learn more: https://t.co/WYEzi3oZ7y",en,2036043402060398811,2036043402060398811,['2036043402060398811'],6,6,24,2,4,6811,,Nasdaq
2026-03-22T22:44:51.000Z,"AI in private equity is moving beyond the ""speed"" phase.

Leaders from Southfield Capital, BlueflameAI, Alloy Partners, Legacy Capital, and BayPine join TradeTalks to discuss what true AI adoption looks like for the modern investment bank: https://t.co/e7lf9QVWhW https://t.co/nMW4ykGgP2",en,2035850218785100227,2035850218785100227,['2035850218785100227'],1,0,6,1,0,2734,,Nasdaq
2026-03-20T18:24:46.000Z,"@SECGov @Payward Modern markets require modern infrastructure. 

Read more about Nasdaq leadership's perspective on how digital assets are driving a new era of innovation for securities markets 👉 https://t.co/vXyKwN201P",en,2035059978143232069,2035059991602704660,['2035059991602704660'],1,0,7,0,2,1295,17033995,Nasdaq
2026-03-20T18:24:45.000Z,"@SECGov @Payward ""We want to give issuers the choice—do they want their securities tokenized? ... We think this is the future of markets."" 

— Adena Friedman, Nasdaq Chair and CEO",en,2035059978143232069,2035059989417459787,['2035059989417459787'],1,1,5,0,1,1190,17033995,Nasdaq
2026-03-20T18:24:45.000Z,"@SECGov @Payward ""Tokenization has the potential to unlock the benefits of an always-on financial ecosystem. This issuer-sponsored approach is designed to empower public companies and enhance global accessibility to U.S. equity markets."" 

— Tal Cohen, Nasdaq President",en,2035059978143232069,2035059987249025054,['2035059987249025054'],0,1,4,0,1,585,17033995,Nasdaq
2026-03-20T18:24:44.000Z,"@SECGov @Payward Nasdaq's issuer-first approach puts public companies at the center: 

→ More control over shares in tokenized form → Modernized proxy voting and corporate actions → Bridge between permissioned + permissionless environments",en,2035059978143232069,2035059985495802311,['2035059985495802311'],0,1,3,0,1,215,17033995,Nasdaq
2026-03-20T18:24:44.000Z,"@SECGov Nasdaq is building tokenization infrastructure through industry partnerships: 

→ More control over shares in tokenized form → Modernized proxy voting and corporate actions → Bridge between permissioned + permissionless environments → @Payward (Kraken): Equities",en,2035059978143232069,2035059983839097033,['2035059983839097033'],1,2,5,1,1,323,17033995,Nasdaq
2026-03-20T18:24:43.000Z,"@SECGov Nasdaq's equity token design will maintain what defines U.S. equity markets: 

✓ Price discovery ✓ Consolidated liquidity ✓ Investor experience 

A regulated bridge between on-chain records and off-chain identity.",en,2035059978143232069,2035059982018736511,['2035059982018736511'],0,2,4,0,1,490,17033995,Nasdaq
2026-03-20T18:24:43.000Z,"@SECGov Nasdaq's new equity token design will ensure a token transfer represents a transfer of the underlying security itself—preserving full legal and regulatory equivalence. 

Blockchain records will be integrated directly into the issuer's official share registry.",en,2035059978143232069,2035059980185784667,['2035059980185784667'],1,2,6,0,1,622,17033995,Nasdaq
2026-03-20T18:24:43.000Z,"Nasdaq is building the foundation for always-on markets. 

→ New equity token design announced at FIA Boca—designed to enhance global accessibility to U.S. equity markets 

→ @SECGov has also approved Nasdaq's proposal to enable the trading of tokenized securities — affirming",en,2035059978143232069,2035059978143232069,['2035059978143232069'],17,3,60,4,12,5004,,Nasdaq
2026-03-20T16:02:31.000Z,"Strong corporate fundamentals are providing the primary support for the global market.

Leaders from Nasdaq, @IBKR and @BOKFinancial join TradeTalks to discuss show investors are assessing the economy and the market: https://t.co/JNWMtUqrFw https://t.co/Hc8oe56fky",en,2035024195667525692,2035024195667525692,['2035024195667525692'],2,0,6,1,1,1428,,Nasdaq
2026-03-18T19:16:51.000Z,"""Right now we have the attention of the world.""

Women's sports is entering a new era where growth isn't just cultural, it's economic. In this special edition of The Winning Formula, athletes and industry leaders unpack the momentum behind the increasing valuations, brand https://t.co/RtGK0c4JSZ",en,2034348324543771057,2034348324543771057,['2034348324543771057'],2,6,16,0,0,2046,,Nasdaq
2026-03-17T14:20:45.000Z,"Effective board governance requires prioritizing oversight of macroeconomic shifts, market dynamics, and global policy.

Leaders from Nasdaq’s Government Relations, Market Intelligence, and Economics teams join TradeTalks to break down the evolving landscape for directors: https://t.co/Qy4jGAvZJR",en,2033911420471918911,2033911420471918911,['2033911420471918911'],3,2,9,1,0,1713,,Nasdaq
2026-03-16T20:27:49.000Z,"Congratulations to @MercedesAMGF1 on a consecutive victory weekend, and Kimi Antonelli on your first F1 win! 

In Shanghai on Sunday, Kimi Antonelli earned his first F1 win as the second‑youngest Grand Prix winner in the sport’s history, and @georgerussell63 secured a strong P2 https://t.co/gQ7p4z4QUG",en,2033641408863641905,2033641408863641905,['2033641408863641905'],2,0,17,0,1,1777,,Nasdaq
2026-03-16T19:22:49.000Z,"Nasdaq Chair and CEO Adena Friedman has been named to the @barronsonline 100 Most Influential Women in U.S. Finance list.
 
This recognition highlights Adena’s leadership in advancing Nasdaq’s role as a leading technology platform powering the world’s economies.  
 
See the full https://t.co/4cIpNSpmGq",en,2033625050507526460,2033625050507526460,['2033625050507526460'],2,3,15,0,1,3729,,Nasdaq
2026-03-15T20:11:53.000Z,"The ETF wrapper is making digital assets more accessible for investors.

Leaders from @BlackRock, @21shares, and @OspreyFunds join Nasdaq TradeTalks to discuss the shift toward digital asset fundamentals.

Watch the full episode here: https://t.co/pSlOksLd1F https://t.co/r1xfPsBsVD",en,2033275008798068765,2033275008798068765,['2033275008798068765'],4,8,22,0,1,4566,,Nasdaq
2026-03-13T15:28:27.000Z,"If AI is going to drive broad economic growth, it must be accessible, practical, and built through institutions designed for scale.

Leaders from @Microsoft, @MDCollege, @mcccd, and Shimizu North America join Nasdaq TradeTalks to discuss one critical hurdle: American workforce https://t.co/Bwvfxf6yNK",en,2032478906121343365,2032478906121343365,['2032478906121343365'],5,2,11,1,1,2268,,Nasdaq
2026-03-12T18:16:04.000Z,"Nasdaq is partnering with Seturion, Boerse Stuttgart Group's pan-European settlement platform for tokenized assets, to transform Europe's fragmented capital markets infrastructure. 

""We see this partnership as creating a central digitized platform for post-trade to really drive https://t.co/QD2gDhVfyE",en,2032158700857602479,2032158700857602479,['2032158700857602479'],5,9,31,2,3,11244,,Nasdaq
2026-03-11T13:06:59.000Z,"Financial crime has entered a new era – driven by AI-powered threats, industrialized fraud, and criminal networks operating at global scale.  

Nasdaq Verafin’s 2026 Global Financial Crime Report finds illicit financial activity has surged by $1 trillion since 2023, reaching an https://t.co/Lrdp9kqb9x",en,2031718530882699267,2031718530882699267,['2031718530882699267'],9,13,29,4,8,10404,,Nasdaq
2026-03-10T20:39:46.000Z,"AI is turning logistics into a true competitive advantage.

From smarter carrier selection to delivery optimization, we’re seeing a massive shift in how global supply chains operate. Industry leaders from @Shippo, @Locus_sh, @mySemiCab, and @CockroachDB join Jill Malandrino on https://t.co/9S7ILDB9ln",en,2031470089434775865,2031470089434775865,['2031470089434775865'],1,2,13,1,0,2764,,Nasdaq
2026-03-06T18:53:06.000Z,"A historic backdrop for a historic moment: Nasdaq officially launched Nasdaq Texas at the Alamo, joined by Texas state leaders and the first companies to dual‑list on the new venue.  
 
The move reflects Texas’s rising influence as a hub for innovation, investment, and economic https://t.co/RpWcpC5g2v",en,2029993692530979198,2029993692530979198,"['2029991898065068366', '2029992809420255504', '2029993692530979198']",9,3,36,3,3,5250,,Nasdaq
2026-03-04T18:26:57.000Z,"Taxes, the economy, and the impact of AI are where investors are focused.

Michael Normyle, US Economist at Nasdaq, Max Cabasso, Managing Director, on the Nasdaq Market Intelligence Desk, and Chris Englebert, Founding Partner &amp; CIO of Englebert Financial Advisers, join Jill https://t.co/aZTiaBXFbV",en,2029262336062545961,2029262336062545961,['2029262336062545961'],2,1,11,0,1,2988,,Nasdaq
2026-03-03T15:00:01.000Z,"In 2026, the shift to tokenized collateral is accelerating, with 52% of firms expected to adopt digital representations of traditional assets. 

This acceleration towards tokenization is driven by the need for real-time collateral mobility.

Explore more insights from global https://t.co/LHHMKRtp5B",en,2028847872272195702,2028847872272195702,['2028847872272195702'],9,13,33,4,6,5521,,Nasdaq
2026-02-27T18:47:23.000Z,"The traditional markers of growth are being reshaped by a stark K-shaped divide.

Michael Normyle, US Economist at Nasdaq, Chris Dearborn, Managing Director on the Nasdaq Market Intelligence Desk, Justin Grooms, President of @bolt, and Kevin Mahn, President &amp; Chief Investment https://t.co/EpDYNi694w",en,2027455539823677454,2027455539823677454,['2027455539823677454'],6,8,14,1,0,5599,,Nasdaq
2026-02-27T14:57:33.000Z,"Nasdaq hosted its 2026 Investor Day, showcasing our dynamic growth trajectory and our evolution from an exchange operator to a technology powerhouse powering the global financial system. 
 
Following the event, Ato Garrett, SVP and Investor Relations Officer, sat down with the https://t.co/uak7c9R1im",en,2027397698303758746,2027397698303758746,['2027397698303758746'],2,2,6,0,1,2655,,Nasdaq
2026-02-26T15:22:04.000Z,"“We’re seeing a lot of opportunity on the horizon, and we’re extremely well-positioned to play offense.” 

At Nasdaq's Investor Day, Chair &amp; CEO Adena Friedman and CFO Sarah Youngwood, along with members of the executive leadership team, outlined how Nasdaq’s platform, financial https://t.co/TuxX0fhiqw",en,2027041481509269527,2027041481509269527,['2027041481509269527'],9,11,24,0,3,12661,,Nasdaq
2026-02-25T16:43:25.000Z,"Our financial strength and disciplined execution enable us to deliver sustained, long-term shareholder value.  
 
Read more about the breadth and depth of our transformation, featuring highlights from Nasdaq’s 2026 Investor Day: https://t.co/L5rFpGQOi1 https://t.co/C3AXbyWvAF",en,2026699500333547862,2026699566997745921,['2026699566997745921'],0,0,3,0,0,1124,17033995,Nasdaq
2026-02-25T16:43:22.000Z,"Outperforming the “Rule-of-40”: With 12% organic net revenue growth and a 58% EBITDA margin, Nasdaq delivered a Rule-of-40 score of 70% in 2025 – well above our peer averages.  

For the complete Nasdaq Investor Day presentation, including all reconciliations of U.S. GAAP to https://t.co/knNOytTPP0",en,2026699500333547862,2026699553836089827,['2026699553836089827'],2,3,6,0,0,2390,17033995,Nasdaq
2026-02-25T16:43:19.000Z,"Nasdaq has become more scalable and financially resilient. 
 
Since 2020: 
• Solutions revenue exceeded $4.0B (16% CAGR) 
• Free cash flow grew to $2.2B (17% CAGR) 
• Non-GAAP diluted EPS increased to $3.48 (11% CAGR) 

For the complete Nasdaq Investor Day presentation, https://t.co/wWXjkqHdF1",en,2026699500333547862,2026699542876373144,['2026699542876373144'],0,1,1,0,0,148,17033995,Nasdaq
2026-02-25T16:43:15.000Z,"In 2020, Nasdaq generated $2.9B in net revenue. In 2025, that grew to $5.2B, with Financial Technology expanding to 35% of total net revenue. https://t.co/74oEM361xf",en,2026699500333547862,2026699525889442059,['2026699525889442059'],0,1,2,0,0,376,17033995,Nasdaq
2026-02-25T16:43:12.000Z,"Our leadership is underpinned by our powerful platform of deeply integrated solutions that harness our embedded client community, gold-standard data, and our engineering excellence. https://t.co/xHhvmEKLdI",en,2026699500333547862,2026699513327501709,['2026699513327501709'],0,1,3,0,0,438,17033995,Nasdaq
2026-02-25T16:43:09.000Z,"Nasdaq’s transformation has positioned us today as the trusted fabric of the global financial system. We architect modern markets around the globe, power the innovation economy, and build trust in the system.  
 
Explore the breadth and depth of our transformation, featuring https://t.co/tbpkRKzM9w",en,2026699500333547862,2026699500333547862,['2026699500333547862'],5,2,11,2,0,2537,,Nasdaq
2026-02-24T14:00:29.000Z,"Texas is setting the pace for U.S. economic momentum. During a recent Nasdaq fireside chat, @SECGov Chairman @SECPaulSAtkins, alongside Texas-based business leaders, discussed the vital role public markets play in fueling the state’s diversified economy and long-term growth. https://t.co/8Eoou90RKt",en,2026296176560013604,2026296176560013604,['2026296176560013604'],7,10,26,1,0,6268,,Nasdaq
2026-02-23T21:54:33.000Z,"""Diamondback is the poster child for the shale revolution.""

In Nasdaq's latest episode of ""Built In: Texas,"" discover how @Diamondback_EP $FANG grew to be a powerhouse in the Permian Basin.

Learn more: https://t.co/CiXVsGInIu https://t.co/siKLXFt7uw",en,2026053088839102860,2026053088839102860,['2026053088839102860'],7,1,15,0,1,3053,,Nasdaq
2026-02-20T18:33:34.000Z,"Software is graduating from a simple tool to the operating system of the global economy. We aren't just seeing an efficiency boost—we’re entering the Intelligence Supercycle, where every industry is being rebuilt around AI.

Chris Dearborn, Managing Director on the Nasdaq Market https://t.co/YDaEODDT0o",en,2024915346235215896,2024915346235215896,['2024915346235215896'],3,2,7,2,1,3784,,Nasdaq
2026-02-19T16:35:26.000Z,"Nasdaq recently welcomed the Saudi Tadawul Group (@tadawul_group) and leading voices from both the U.S. and Saudi capital markets ecosystem for CMF Select New York 2026.

Issuers, investors, policymakers, and regulators explored how AI, data, and infrastructure are reshaping the https://t.co/8zhWusNoWd",en,2024523230833189108,2024523230833189108,['2024523230833189108'],2,5,6,1,3,2472,,Nasdaq
2026-02-17T15:13:00.000Z,"Economic opportunity is built through access: access to markets, access to capital, and access to the ability to build sustainable wealth.  

Hear how founders, investors, and leaders from Nasdaq’s Economic Opportunity Summit define what economic opportunity means to them, and https://t.co/KYn5YnZGAQ",en,2023777709747269880,2023777709747269880,['2023777709747269880'],5,1,13,0,2,3041,,Nasdaq
2026-02-13T23:31:32.000Z,The Nasdaq Tower lights up today for @NASA's SpaceX Crew-12 Mission—the latest Commercial Crew rotation to the International Space Station (@Space_Station) to advance research and technology for future Moon and Mars missions. https://t.co/zF7GUWQmOz,en,2022453619694428202,2022453619694428202,"['2022450279484895324', '2022453619694428202']",226,99,1327,26,59,270464,,Nasdaq
2026-02-13T18:21:05.000Z,"There are several cross currents simultaneously influencing market sentiment.

Dr. Russell Rhoads, Associate Clinical Professor of Finance at Indiana University’s Kelley School of Business (@KelleyIndy), @phil_mackintosh, Chief Economist at Nasdaq, Max Cabasso, Managing Director https://t.co/8NkbufG8fI",en,2022375488371491232,2022375488371491232,['2022375488371491232'],3,2,12,0,2,2624,,Nasdaq
2026-02-12T17:00:00.000Z,"""In the locker room as the elder statesmen, I've always been about financial literacy.""

In this episode of Nasdaq's The Winning Formula, NBA Champion @TThompson talks about the importance of financial literacy, being a Web3 ambassador and how the NBA has evolved over the past https://t.co/ZU0CcFHSRd",en,2021992698408804636,2021992698408804636,['2021992698408804636'],2,1,6,0,0,2231,,Nasdaq
2026-02-11T18:10:00.000Z,"2026 is shaping up to be a transformative IPO year. Powered by resilient markets, a deep liquidity pool and a rising wave of tech‑driven innovators preparing to go public, Nasdaq continues to be the home for the innovation economy.  

Nasdaq President Nelson Griggs joined",en,2021647925235925416,2021647925235925416,['2021647925235925416'],7,4,15,1,0,3264,,Nasdaq
2026-02-10T14:52:26.000Z,"Introducing Nasdaq Private Capital™ Indexes, a new suite of benchmarks bringing greater transparency, representativeness, and robustness to private markets. 

The indexes are built for institutional investors and consultants to benchmark performance and navigate private capital https://t.co/I0VzI7xK3r",en,2021235817163669804,2021235817163669804,['2021235817163669804'],4,5,14,0,5,3545,,Nasdaq
2026-02-09T22:02:07.000Z,"WD (@wd_corporation) is building the next generation of scalable storage for the AI era.

WD CEO Irving Tan, CFO Kris Sennesael, and CHRO Katie Watson joined Jill Malandrino on Nasdaq TradeTalks to discuss the company’s brand evolution, breakthrough infrastructure, and how WD is https://t.co/fuUiuIYHvA",en,2020981565572939941,2020981565572939941,['2020981565572939941'],5,3,8,0,3,3453,,Nasdaq
2026-02-09T14:00:00.000Z,"Nasdaq’s latest survey shows that 71% of financial institution leaders still consider their organizations AI “newbies” or “explorers,” slowed by uncertainty around ROI and technology choices. 

Strengthening strategy and infrastructure will be key to unlocking AI’s potential. https://t.co/Hg3t2bjXvM",en,2020860235666063588,2020860235666063588,['2020860235666063588'],1,0,5,1,0,1802,,Nasdaq
2026-02-06T14:50:58.000Z,"Japan Exchange Group's Osaka Exchange (OSE) has selected @Nasdaq's advanced Eqlipse Trading and Market Surveillance technology platforms for its next-generation derivatives infrastructure. 

This strategic technology partnership represents a significant step forward in OSE's https://t.co/2DsM46zThM",en,2019785897093345431,2019785897093345431,['2019785897093345431'],3,2,7,1,0,2014,,Nasdaq
2026-02-05T21:22:35.000Z,2x Masters Champion @BubbaWatson joins Nasdaq's The Winning Formula to reflect on the parallel lessons between golf and business — and what's fueling his next chapter: https://t.co/EZ0SVOOmXI https://t.co/fCPqSD8MjQ,en,2019522061421449577,2019522061421449577,['2019522061421449577'],1,1,4,0,0,2014,,Nasdaq
2026-02-04T16:30:46.000Z,"With the Winter Olympics and Paralympics just a few days away, @TeamUSA shares moments, milestones, and mindset that shaped their path to the global stage. 

Their journey to the Games is shaped by a winning formula: a deep love for their sport, confidence rooted in self-belief, https://t.co/Beg73WaqVt",en,2019086238582530497,2019086238582530497,['2019086238582530497'],1,3,1,0,0,1856,,Nasdaq
2026-02-03T14:16:13.000Z,"Business leaders are prioritizing AI to drive efficiency and innovation, but maturity isn’t keeping pace with investment. The organizations that build to scale will define the next wave of growth.  
 
Discover insights on what top business leaders think of AI revealed in Nasdaq’s https://t.co/thcd6ZPfOf",en,2018689988754292983,2018689988754292983,['2018689988754292983'],5,4,5,1,0,1963,,Nasdaq
2026-01-30T16:39:07.000Z,"Nasdaq reported ""outstanding"" fourth quarter and full year 2025 results, exceeding $5 billion in annual net revenue and $4 billion in annual Solutions revenue for the first time ever. 
  
🔗 Read the fourth quarter and full year 2025 earnings recap here: https://t.co/QcFXY4o9DK https://t.co/2EP1WFzQNH",en,2017276400588161273,2017276400588161273,['2017276400588161273'],6,7,26,2,0,8496,,Nasdaq
2026-01-29T20:53:36.000Z,"Today, @Nasdaq reported fourth quarter and full year 2025 results. 
 
Learn more: https://t.co/A48Uy1fxqp https://t.co/rBEIfy5e5H",en,2016978052815716573,2016978052815716573,['2016978052815716573'],16,3,12,0,2,3577,,Nasdaq
2026-01-28T19:16:08.000Z,"Nasdaq convened global leaders and partners at #WEF26 to examine the priorities shaping today's global landscape.
 
At Nasdaq Basecamp, the spotlight was on AI — including its power to modernize and the infrastructure required to scale it responsibly.
 
Thank you for joining us: https://t.co/p3dBjroFuw",en,2016591139810214113,2016591139810214113,['2016591139810214113'],6,12,27,1,2,8328,,Nasdaq
2026-01-26T20:30:48.000Z,"The global economy enters 2026 with stable growth and AI-driven innovation accelerating investment—creating what may be one of the most transformative IPO environments to date. 

🔗 More from #WEF26 in #Davos in the @Nasdaq Newsroom: https://t.co/piL2oJzQ6x https://t.co/kZd3WpLFzY",en,2015885154888098227,2015885154888098227,['2015885154888098227'],4,6,17,0,2,4257,,Nasdaq
2026-01-26T17:22:04.000Z,"In a world moving faster than ever, leadership must keep pace. 

During @Nasdaq’s 2026 Executive Leadership Reception in #Davos, Toto Wolff, Team Principal and CEO of @MercedesAMGF1, and @SquawkCNBC’s @BeckyQuick explored high-performance leadership, resilient teams, and how https://t.co/IPX5uyyig7",en,2015837658350600599,2015837658350600599,['2015837658350600599'],18,8,26,0,8,4291,,Nasdaq
2026-01-26T16:00:28.000Z,"From the high‑consequence world of free solo climbing to the years of preparation behind every ascent, professional rock climber @AlexHonnold approaches his craft with discipline, intention, and a deep respect for the process. 

When he sat down with Nasdaq ahead of his historic https://t.co/wgGWKKUHOL",en,2015817120521556388,2015817120521556388,['2015817120521556388'],7,5,32,1,5,5173,,Nasdaq
2026-01-23T21:38:04.000Z,"AI isn't a sprint. It's a marathon powered by long-term vision, strong capital markets, and enterprise-wide transformation.

During a discussion with @semafor at #WEF26, Nasdaq Chair and CEO Adena Friedman breaks down why public markets will be essential to scaling the next era",en,2014814915719057851,2014814915719057851,['2014814915719057851'],4,5,16,0,1,3763,,Nasdaq
2026-01-22T14:07:53.000Z,"Nasdaq Chair and CEO Adena Friedman joins @business at #WEF26 in #Davos to discuss how AI is transforming markets, regulation, and the future of global finance. 

Watch here: https://t.co/iLNfIF2K0y",en,2014339235797442966,2014339235797442966,['2014339235797442966'],17,14,13,0,3,3651,,Nasdaq
