text,id,edit_history_tweet_ids,lang,created_at,conversation_id,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count,username,in_reply_to_user_id
"Muitos parabéns, Mãe! Obrigado por tudo o que és e por estares sempre ao meu lado. Amo-te muito ❤️ https://t.co/QaIlP5clQQ",2006330944375153020,['2006330944375153020'],pt,2025-12-31T11:45:47.000Z,2006330944375153020,24770,8554,607905,933,5799,27830441,Cristiano,
We are on the right path and we know what we need to do in 2026! 🟡🔵 https://t.co/ch2hfQM7fP,2006102658818470091,['2006102658818470091'],en,2025-12-30T20:38:40.000Z,2006102658818470091,19221,6288,300531,884,2936,22931959,Cristiano,
"Game-changers stop time. They are timeless.

Congratulations @DjokerNole for having in your hands a so deserved first ever Globe Sports Award. https://t.co/g6YBwgonPN",2005679272246341792,['2005679272246341792'],en,2025-12-29T16:36:16.000Z,2005679272246341792,22019,6401,246322,651,7064,10157642,Cristiano,
"A special moment to end the year on. I carry on with the same passion, commitment and hunger as always to reach my goals. 

Thank you to everyone who has supported me this year! https://t.co/7PSzr1FwNP",2005348394508956078,['2005348394508956078'],en,2025-12-28T18:41:29.000Z,2005348394508956078,32110,9885,401608,1896,6407,65870313,Cristiano,
Hard work is the way to success! https://t.co/lJZRRud3pz,2004967353130647961,['2004967353130647961'],en,2025-12-27T17:27:22.000Z,2004967353130647961,37523,12140,574368,2010,5820,33155588,Cristiano,
Ready for more ⚽️😁 https://t.co/eZxJRi4iju,2004618370688450869,"['2004618298630308122', '2004618370688450869']",en,2025-12-26T18:20:38.000Z,2004618370688450869,19360,6817,391582,814,3039,14372186,Cristiano,
"Finishing up 2025 strong and locked in for next year💪🏼

#Ad https://t.co/JyI6Zfmr5w",2004605092302127384,['2004605092302127384'],en,2025-12-26T17:27:52.000Z,2004605092302127384,5191,3916,60249,109,1835,13196009,Cristiano,
"Esperança que se renova, amor que abraça, família que apoia e luz que guia. Feliz Natal 🎄 ❤️ ✨ https://t.co/Gfg8FZbBke",2004146656821002483,['2004146656821002483'],pt,2025-12-25T11:06:12.000Z,2004146656821002483,28256,6116,469786,938,6493,14661218,Cristiano,
"Fuel your confidence. CR7 Energy - feel the drive in every moment.⚡️

#CR7Fragances #CR7Energy #Ad https://t.co/2J7MWuFjIH",2003164885006319732,['2003164885006319732'],en,2025-12-22T18:05:00.000Z,2003164885006319732,16028,7252,258868,1049,4514,28463400,Cristiano,
👏🏼👏🏼👏🏼 https://t.co/FKTARJRPof,2002726115643998243,['2002726115643998243'],art,2025-12-21T13:01:29.000Z,2002726115643998243,15635,8494,336765,644,4167,55273874,Cristiano,
After sauna 🧘‍♂️😅 https://t.co/Cx9iBWoPla,2001951571354206562,['2001951571354206562'],en,2025-12-19T09:43:43.000Z,2001951571354206562,42630,27614,937771,13337,21241,129227522,Cristiano,
"Then and now, the skill never fades. 😉
10 years of #CR7Underwear. #Ad https://t.co/G7hnIRN1r8",2001714719325839692,['2001714719325839692'],en,2025-12-18T18:02:33.000Z,2001714719325839692,19093,8242,384007,1393,8639,32928334,Cristiano,
One step at a time 👍🏼 https://t.co/E2DugRfueE,2001338766712279166,['2001338766712279166'],en,2025-12-17T17:08:39.000Z,2001338766712279166,23264,11342,485327,858,4134,19890512,Cristiano,
✌🏽 https://t.co/5eRutg7lsF,2000149578088329662,['2000149578088329662'],qme,2025-12-14T10:23:15.000Z,2000149578088329662,33260,14271,762284,1452,6392,36404153,Cristiano,
"Wherever you play, these bands keep you ready for every moment. Are you home or away? 👀👇🏼

#Ad https://t.co/TIX6uqHml5",1999550086628466788,['1999550086628466788'],en,2025-12-12T18:41:05.000Z,1999550086628466788,9860,4508,121090,361,3076,21719053,Cristiano,
"Madrid. December 13. 
@wowfcmma goes LIVE on UR at 1PM EST. 

A new way to experience action sports - immersive, bold, built for the next generation.

Innovation never stops.

Subscribe now: https://t.co/GHP2RWsPcJ https://t.co/ZTuUWIIMAb",1999477787300889002,['1999477787300889002'],en,2025-12-12T13:53:47.000Z,1999477787300889002,6077,3774,58598,153,1551,2158967,Cristiano,
"The year ends. The game evolves. And we evolve with it. We move forward @binance! #ForeverForward 🔥⏩ 
#Ad https://t.co/VuduZDaU1i",1998046513097035803,['1998046513097035803'],en,2025-12-08T15:06:25.000Z,1998046513097035803,9633,4567,97743,332,2196,3938989,Cristiano,
🦾 https://t.co/9NLidA1s5J,1997283140373815633,['1997283140373815633'],qme,2025-12-06T12:33:03.000Z,1997283140373815633,20436,7293,382241,842,4976,40926748,Cristiano,
Winners never stop learning. Never stop asking. @perplexity_ai #Ad https://t.co/oDAQcUdSbZ,1996708784769737006,['1996708784769737006'],en,2025-12-04T22:30:46.000Z,1996708784769737006,8656,4138,98810,2349,4433,9323430,Cristiano,
"Curiosity is a requirement for greatness. You win when you keep asking new questions every day. That’s why I am proud to announce my investment in Perplexity.

Perplexity is powering the world’s curiosity, and together we will inspire everyone to ask more ambitious questions. https://t.co/gyBgQ3r8yh",1996626923720462425,"['1996626045315825738', '1996626923720462425']",en,2025-12-04T17:05:28.000Z,1996626923720462425,11611,4270,142970,945,5379,20097204,Cristiano,
A new era of fighting is coming 🦾 https://t.co/5ZxEiVFbzr,1995102625096679497,['1995102625096679497'],en,2025-11-30T12:08:27.000Z,1995102625096679497,12687,4772,163272,642,5075,9726320,Cristiano,
"I’m always pushing to feel my best. @WHOOP helps me do that. 💪🏼

Make this the season you invest in better health with the best WHOOP offer of the year.
https://t.co/U4pNxhTjxD

#Ad https://t.co/OBhACNGa9j",1994332436860191088,['1994332436860191088'],en,2025-11-28T09:08:00.000Z,1994332436860191088,11444,6074,160933,411,3754,20155159,Cristiano,
"I’m excited to share some big news: I will become a shareholder of @wowfcmma! We share values I truly believe in - discipline, respect, resilience, and the constant pursuit of excellence.

WOW FC is building something unique and powerful, and I’m proud to join this project to https://t.co/mMP7HlBucc",1994043604847788258,['1994043604847788258'],en,2025-11-27T14:00:17.000Z,1994043604847788258,17054,6578,215497,748,4167,21040968,Cristiano,
The data doesn’t lie @WHOOP 😜 https://t.co/xvjIvcU2xi,1992995655162511373,['1992995655162511373'],en,2025-11-24T16:36:06.000Z,1992995655162511373,12793,5442,157315,469,8252,37346789,Cristiano,
Best caption wins! 🤔 https://t.co/EodMPG9Mt0,1992686096980062618,['1992686096980062618'],en,2025-11-23T20:06:02.000Z,1992686096980062618,99053,42413,889144,11383,25937,50393975,Cristiano,
Back 🟡🔵 https://t.co/1QjK4Ffia9,1991955353714737640,['1991955353714737640'],en,2025-11-21T19:42:19.000Z,1991955353714737640,31391,13424,596852,1945,6530,72010910,Cristiano,
"ESTAMOS NO MUNDIAL! VAMOS COM TUDO, PORTUGAL! 🇵🇹 https://t.co/3bfPqkrecH",1990093371503747155,['1990093371503747155'],pt,2025-11-16T16:23:28.000Z,1990093371503747155,28015,7420,493840,1898,3715,19935975,Cristiano,
Força equipa! Todos juntos hoje e sempre! Por Portugal e pela nossa bandeira! https://t.co/DKQk7pUGCR,1989997801447583998,['1989997801447583998'],pt,2025-11-16T10:03:42.000Z,1989997801447583998,14038,3940,274082,556,1702,9164365,Cristiano,
"Parabéns meu amor, o papá ama-te muito! 💖 https://t.co/SRExUVFkUe",1988573865333739782,['1988573865333739782'],pt,2025-11-12T11:45:30.000Z,1988573865333739782,15655,5724,468285,1133,3154,13170320,Cristiano,
😎 https://t.co/HI5D00pUS6,1987904492965158947,['1987904492965158947'],qme,2025-11-10T15:25:39.000Z,1987904492965158947,29679,10855,635561,2119,8354,98719300,Cristiano,
Working on our dream! https://t.co/gHvokaRQbI,1987231722858074214,['1987231722858074214'],en,2025-11-08T18:52:18.000Z,1987231722858074214,27559,11158,465450,1514,3905,26994078,Cristiano,
"Unleash your inner champion. The new CR7 Energy captures an unstoppable spirit in every spray.
Are you ready to feel the Energy?

#CR7Fragances #CR7Energy #Ad https://t.co/NgQguJCHDx",1986867020906778648,['1986867020906778648'],en,2025-11-07T18:43:06.000Z,1986867020906778648,10377,4820,120173,281,1827,4761707,Cristiano,
"No filters. No scripts. Just us.

Coming soon with my friend @piersmorgan https://t.co/UE1HSi2UOA",1985350846251491605,['1985350846251491605'],en,2025-11-03T14:18:22.000Z,1985350846251491605,23053,6900,306779,1222,11690,17475567,Cristiano,
ALL THE WAY TO THE END!! https://t.co/KKxHFFwPFs,1984723155051594194,['1984723155051594194'],en,2025-11-01T20:44:09.000Z,1984723155051594194,46422,43835,723297,2695,7937,48116106,Cristiano,
👀 https://t.co/6qaRH6O8M0,1983918919556485251,['1983918919556485251'],qme,2025-10-30T15:28:24.000Z,1983918919556485251,36798,42433,854577,2684,12549,66386047,Cristiano,
"We stand tall, learn, and move forward together. https://t.co/AzMxf7kw02",1983276055503999113,['1983276055503999113'],en,2025-10-28T20:53:53.000Z,1983276055503999113,22286,13551,412567,1987,4355,31316645,Cristiano,
Happy to help the team win and to hit 950 goals! 🙏🏽⚽️ Always hungry for more! 💪🏽 https://t.co/2DxNA0XVTp,1982209866203533753,['1982209866203533753'],en,2025-10-25T22:17:14.000Z,1982209866203533753,46967,46075,695176,2702,5685,34082866,Cristiano,
"Happy birthday, @AlNassrFC! 🟡🔵 The story continues and we're stronger than ever! https://t.co/l92O4PzD2z",1981817584077983813,['1981817584077983813'],en,2025-10-24T20:18:27.000Z,1981817584077983813,29239,9172,446228,1083,3857,23872576,Cristiano,
Great sleep. Great training. Great results. 💪🏻 https://t.co/hFLVS4Ubiz,1981746033773142391,['1981746033773142391'],en,2025-10-24T15:34:08.000Z,1981746033773142391,20595,5883,286288,743,13805,42865047,Cristiano,
💪🏽 https://t.co/Lxn3khafsm,1981448129724449134,['1981448129724449134'],qme,2025-10-23T19:50:22.000Z,1981448129724449134,28519,10478,591249,1152,4619,28678383,Cristiano,
Success is not an accident 🟡🔵 https://t.co/PGQmtOut6e,1979643764630245552,['1979643764630245552'],en,2025-10-18T20:20:28.000Z,1979643764630245552,110834,52977,1386209,9018,22006,92037399,Cristiano,
Working hard 💪🏽 https://t.co/6p1QiYSkHp,1979277216799429050,['1979277216799429050'],en,2025-10-17T20:03:56.000Z,1979277216799429050,34728,11213,788106,3151,8418,41577838,Cristiano,
"Não é segredo que representar a Seleção significa muito para mim e por isso estou muito orgulhoso de ter atingido esta marca única por Portugal.

Obrigado a todos que me ajudaram a chegar aqui. Vemo-nos em novembro para fechar o apuramento para o mundial! https://t.co/HILx0cmGVK",1978374967566692660,['1978374967566692660'],pt,2025-10-15T08:18:43.000Z,1978374967566692660,23706,4757,320373,843,3005,9975736,Cristiano,
"Estamos cada vez mais perto do nosso objetivo! Vamos, Portugal!🇵🇹 https://t.co/C7hafo1ZTl",1978216307913809992,['1978216307913809992'],pt,2025-10-14T21:48:15.000Z,1978216307913809992,19784,3902,370543,550,2121,12481701,Cristiano,
Focados na nossa missão 🇵🇹 https://t.co/guixJNSbiE,1976391936593608947,['1976391936593608947'],pt,2025-10-09T20:58:51.000Z,1976391936593608947,11066,2699,215438,320,1448,9249478,Cristiano,
"Orgulhoso por este reconhecimento especial. 22 anos de Seleção e continuo com a mesma paixão. Obrigado a todos os treinadores e companheiros que me ajudaram a chegar até aqui. Obrigado, @selecaoportugal! https://t.co/dfo5fRQ4E2",1975684024531116052,['1975684024531116052'],pt,2025-10-07T22:05:52.000Z,1975684024531116052,19666,4965,298975,665,2522,13642835,Cristiano,
De volta à @selecaoportugal 👍🏼😎 https://t.co/6Y5dvI1Knb,1975584205896572944,['1975584205896572944'],pt,2025-10-07T15:29:13.000Z,1975584205896572944,20118,5616,441326,1032,3124,12536448,Cristiano,
Congratulations @WHOOP team on this big next step 💪🏼 https://t.co/6gkOx1ICeP,1973086841541734643,['1973086841541734643'],en,2025-09-30T18:05:35.000Z,1973086841541734643,8529,4810,83587,322,3398,16034267,Cristiano,
This is Al Nassr! This is who we are! 🔥 https://t.co/uh5e9vRNbv,1971675969137303570,['1971675969137303570'],en,2025-09-26T20:39:17.000Z,1971675969137303570,40380,10286,515040,1698,5466,39427605,Cristiano,
"Bold, Timeless, Legacy. Crafted to inspire you. 🙌

#CR7FRAGANCES #Ad https://t.co/J5fK0HSS22",1970898802031661223,['1970898802031661223'],en,2025-09-24T17:11:06.000Z,1970898802031661223,25955,8065,362631,2080,7754,35598308,Cristiano,
"Happy Saudi National Day to everyone in Saudi Arabia! 🇸🇦 Wishing you a day filled with pride, unity, and celebration with your loved ones. https://t.co/zI8A5pq5aP",1970469956765786163,['1970469956765786163'],en,2025-09-23T12:47:01.000Z,1970469956765786163,51127,12159,647212,2508,11383,54017380,Cristiano,
3 wins in 3 games. We want more! 💪🔥 https://t.co/ibx6impQVG,1969515101808984208,['1969515101808984208'],en,2025-09-20T21:32:46.000Z,1969515101808984208,36761,10751,620943,1330,5765,35122872,Cristiano,
"Together we fight, together we win. 💪 Thank you all for your support, let's keep it going! https://t.co/wcAXzbIh0f",1967334428105191645,['1967334428105191645'],en,2025-09-14T21:07:33.000Z,1967334428105191645,24844,7404,386535,628,4196,30092948,Cristiano,
Ready. Together. 🟡🔵 https://t.co/SES2OmIrYw,1966949761409544550,['1966949761409544550'],en,2025-09-13T19:39:01.000Z,1966949761409544550,29111,9985,611505,1070,6533,37443063,Cristiano,
"It all begins with KYC. One step, endless possibilities. #Ad https://t.co/iHh8SNnnQc",1966450460321030538,['1966450460321030538'],en,2025-09-12T10:34:59.000Z,1966450460321030538,10469,5200,131414,341,3355,9287097,Cristiano,
"Dois jogos, duas vitórias. Vamos, Portugal! https://t.co/C9bYnjgwJj",1965525147760447977,['1965525147760447977'],pt,2025-09-09T21:18:07.000Z,1965525147760447977,20478,4013,417577,402,2353,11591935,Cristiano,
I made a new friend yesterday 😁 Grateful for the love and support every single day and I hope everyone gets to follow their dreams! https://t.co/0fgCYdz9wA,1964697299264954640,['1964697299264954640'],en,2025-09-07T14:28:33.000Z,1964697299264954640,55664,12556,717649,2846,15268,37742710,Cristiano,
Primeiro passo dado ✅ 🇵🇹 https://t.co/A7vIIzb4L7,1964393360082215312,['1964393360082215312'],pt,2025-09-06T18:20:48.000Z,1964393360082215312,31504,7834,524148,1271,3211,15836706,Cristiano,
🇵🇹 https://t.co/6LwxDfB6zv,1963334182706524446,['1963334182706524446'],qme,2025-09-03T20:12:00.000Z,1963334182706524446,24193,8311,456604,749,4550,47201291,Cristiano,
"I came here to do what I love, but I #StayedForMore. The people, the energy, and the world-class events that surprise me everyday. Check out the Saudi Unreal Calendar here @visitsaudi #Ad https://t.co/3jIqWTzqhl https://t.co/MIhqpUQyqR",1962546297904210286,['1962546297904210286'],en,2025-09-01T16:01:14.000Z,1962546297904210286,15048,5839,147726,502,2714,7269373,Cristiano,
First step ✅ 🔥 https://t.co/ss2jq27cO1,1961526498332217361,['1961526498332217361'],en,2025-08-29T20:28:55.000Z,1961526498332217361,28227,10177,469363,839,3954,27689938,Cristiano,
"Tomorrow, the league begins. We’ve trained. We’re ready. But we can’t do it alone... we need you. 

We’ll be there giving it everything we’ve got. Fighting for the badge, for the team, for every one of you. Will you be there with us all the way?

Let’s make it unforgettable. 💪🔥 https://t.co/H4es27xCF7",1961098955694940405,['1961098955694940405'],en,2025-08-28T16:10:01.000Z,1961098955694940405,28388,11992,333370,2051,3844,23093620,Cristiano,
LET'S GO 🟡🔵 https://t.co/tc07Me7vJo,1957828128899727855,['1957828128899727855'],en,2025-08-19T15:32:55.000Z,1957828128899727855,42180,13708,654095,1770,5001,33074561,Cristiano,
No shortcuts. Only hard work. https://t.co/aKGvdWoBG1,1956694107394338868,['1956694107394338868'],en,2025-08-16T12:26:43.000Z,1956694107394338868,39646,11869,671217,1993,9283,42369105,Cristiano,
👋🏽 🇭🇰 https://t.co/aq5XbI47vm,1956008910734635302,['1956008910734635302'],qme,2025-08-14T15:03:59.000Z,1956008910734635302,29696,10941,595115,1046,6199,39078233,Cristiano,
Recovery ☀️ https://t.co/4cCjOJKHlI,1953846056392806805,['1953846056392806805'],en,2025-08-08T15:49:35.000Z,1953846056392806805,36867,16382,788285,2756,13204,51655575,Cristiano,
"Keep pushing, there’s more to do. 🟡🔵 https://t.co/LxjDMVoQOu",1953566132977512486,['1953566132977512486'],en,2025-08-07T21:17:16.000Z,1953566132977512486,33341,12631,508460,1708,5260,25395607,Cristiano,
👊🏽 https://t.co/gnjXBUe5Bv,1952395803227488365,['1952395803227488365'],qme,2025-08-04T15:46:47.000Z,1952395803227488365,34019,15483,639864,1295,7740,43393618,Cristiano,
The hunger never fades. Still work to do and we’re just getting started 💪⚽ https://t.co/a9brd8dgYU,1950611277346210047,['1950611277346210047'],en,2025-07-30T17:35:43.000Z,1950611277346210047,30960,11977,441204,1039,6597,41949859,Cristiano,
"Not just a fragrance, a signature. #CR7Legacy #Ad https://t.co/1Ovhe66M05",1949794773771911647,['1949794773771911647'],en,2025-07-28T11:31:14.000Z,1949794773771911647,30095,13700,499838,2387,10414,54678862,Cristiano,
It starts now. Eyes on the future. We are all in! 🟡🔵 https://t.co/ObhZKIx86w,1948771946570658028,['1948771946570658028'],en,2025-07-25T15:46:53.000Z,1948771946570658028,28869,11339,459344,984,7212,41256437,Cristiano,
"Greatness is built one step at a time, Happy 8 Years to Binance- here's to going to the moon and back, together. 
#BinanceTurns8 #Ad https://t.co/ZKoZJP1JUc",1944700494120616372,['1944700494120616372'],en,2025-07-14T10:08:23.000Z,1944700494120616372,7368,5020,87514,181,1808,8060587,Cristiano,
"On July 15, a new game mode update featuring my story is coming!
Are you ready to play my quest in South Town?

@FATALFURY_PR #SNK #FATALFURY #CR7 #AD https://t.co/HrSBnv407B",1943577786515431527,"['1943576882676465754', '1943577786515431527']",en,2025-07-11T07:47:08.000Z,1943577786515431527,8749,3833,95175,366,2985,9362822,Cristiano,
"Não faz sentido. Ainda agora estávamos juntos na Seleção, ainda agora tinhas casado. À tua familia, à tua mulher e aos teus filhos, envio os meus sentimentos e desejo-lhes toda a força do mundo. Sei que estarás sempre com eles. Descansem em Paz, Diogo e André. Vamos todos sentir https://t.co/H1qSTvPoQs",1940715187293544946,['1940715187293544946'],pt,2025-07-03T10:12:12.000Z,1940715187293544946,115494,13022,1121644,4639,12058,29328798,Cristiano,
"In every era, a rare few rise above the rest. Now it’s your time.
Esports World Cup starts July 7 — with over 2,000 athletes ready to make history.

@EWC_EN #EsportsWorldCup #EWC25 #Ad https://t.co/HWcal4t8Mh",1940093573539524942,['1940093573539524942'],en,2025-07-01T17:02:07.000Z,1940093573539524942,12645,5135,176990,499,3445,20772679,Cristiano,
"119 anos a orgulhar Portugal 🦁 Parabéns, meu @SportingCP! https://t.co/K6QXphCPsu",1940016960982396969,['1940016960982396969'],pt,2025-07-01T11:57:41.000Z,1940016960982396969,25493,4637,474514,945,4218,19180532,Cristiano,
"A new chapter begins. Same passion, same dream. Let’s make history together. 🟡🔵 https://t.co/JRwwjEcSZR",1938227636976709678,['1938227636976709678'],en,2025-06-26T13:27:33.000Z,1938227636976709678,58849,21178,887491,6379,12575,90145378,Cristiano,
Grazie per tutto! 🙏🏽 https://t.co/lGfKmNNVGc,1937813543434191131,['1937813543434191131'],it,2025-06-25T10:02:06.000Z,1937813543434191131,10929,4841,251783,674,2299,45001340,Cristiano,
🌅 https://t.co/YITrfntC5C,1934299641878622445,['1934299641878622445'],qme,2025-06-15T17:19:06.000Z,1934299641878622445,30546,16271,785332,8844,8577,92550714,Cristiano,
Tal pai tal filho 😂 💪🏼 https://t.co/tSfAwVQyof,1934197129695904159,['1934197129695904159'],pt,2025-06-15T10:31:46.000Z,1934197129695904159,48705,16439,1271687,6549,25653,160671409,Cristiano,
