text,id,edit_history_tweet_ids,created_at,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count
"RT @chaujeanlin: Last year, I interviewed Dr John Mason MBE for @Intrepid_Travel's Good Times about the #solar eclipse that is about to hap…",1773124758671859870,['1773124758671859870'],2024-03-27T23:07:40.000Z,4,0,0,0,0,0
"@HardingMckay Hi Nicholas - thank you for reaching out. We're so sorry to hear you are facing long wait times. If you could please send us a DM with your booking reference, we would be happy to assist you.",1772645089807847823,['1772645089807847823'],2024-03-26T15:21:38.000Z,0,0,0,0,0,35
"""At the end of a day’s trekking, James and I would always be the ones venturing out to explore a little more around whatever village we were in."" 

📍Intrepid traveller Cindy shares the unexpected connection she made on an Everest trekking trip 🫶 
https://t.co/IkUagJO6Sd",1772516009762500679,['1772516009762500679'],2024-03-26T06:48:43.000Z,3,0,11,0,0,1050
"""I've always considered myself a fiercely independent traveller. That changed when I decided to take two of my children on a family tour.""

📍 Intrepid traveller @JamieDavisSmith in @USATODAY on how a group tour changed her approach to travel https://t.co/P5kT1GPVE9",1772103125681496464,['1772103125681496464'],2024-03-25T03:28:03.000Z,2,1,3,0,0,696
"From @Adventurecom: Once famed for their schnitzels and sausages, Austrian capital Vienna is embracing plant-centric cuisine, one mushroom at a time.  https://t.co/F3biQSfuoo",1771295792147599860,['1771295792147599860'],2024-03-22T22:00:00.000Z,1,0,8,0,0,1354
"If you hunger for a challenge, or like the idea of slow travel at a walking pace, this could be your next bucket-list adventure: Turkey’s Lycian Way, a 520 kilometre pathway along the south-west coast 🇹🇷 @smh @bengroundwater https://t.co/qVEmDLEPpN",1771028519382118507,['1771028519382118507'],2024-03-22T04:17:57.000Z,4,0,12,0,1,1061
"RT @CityNewsVAN: With spring break underway, many are looking towards their vacations this summer and some new data suggests cooler climate…",1770821771349921844,['1770821771349921844'],2024-03-21T14:36:25.000Z,3,0,0,0,0,0
RT @LouiseBooth: Digging into @Intrepid_Travel’s Integrated Annual Report which dropped today.  I always learn something new (1129 new staf…,1770302155142099223,['1770302155142099223'],2024-03-20T04:11:39.000Z,1,0,0,0,0,0
"2023 was our biggest year yet – hear about it yourself from our people 👇📽️ But one highlight reel couldn’t possibly sum it all up, so check out more of the ways we made impact (positive and negative) across the globe in our latest impact report: https://t.co/n2xHiWOkKj https://t.co/SPGZDfQMrY",1770210799702999292,['1770210799702999292'],2024-03-19T22:08:38.000Z,3,1,13,1,0,1595
"Hit the road without hitting the (actual) road on an active adventure, like our 10-day walking tour of the Portuguese Camino 🥾 
@USATODAY
https://t.co/paDaVctKNt",1770209005195128901,['1770209005195128901'],2024-03-19T22:01:30.000Z,2,0,2,0,1,574
"Exciting news - Intrepid was named one of @FastCompany's Most Innovative Companies 2024!🏆 

This is our 5th year on the list and highlights our new carbon labelling program. 

Cheers to our fellow honorees for shaping a brighter future!💛#FCMostInnovative
https://t.co/yPNBzzMtAA",1770074359673090127,['1770074359673090127'],2024-03-19T13:06:28.000Z,8,0,12,0,0,1446
"What does being a B Corp certified travel company *actually* mean? For travellers, it comes down to trust. For Intrepid, it means being accountable and challenging the status quo to benefit more people and the planet. @MikeySadowski @nytimes @BCorpANZ https://t.co/Xm4U3dFZkH",1769886481626378566,['1769886481626378566'],2024-03-19T00:39:54.000Z,4,0,10,0,1,867
"@AusAmbVN @BlueDragonVN @VietnamAirlines @KOTOVietnam @vietjetvietnam Vietnam has played a crucial role in our growth and it continues to be the top-selling destination for curious and conscious Intrepid travellers. Here's to many more years of cultural exchange and supporting the rich local tourism economy 🇻🇳 Thanks for your support, @AusAmbVN!",1769513054163894618,['1769513054163894618'],2024-03-17T23:56:02.000Z,0,0,0,0,0,73
"RT @AusAmbVN: Today we celebrate @Intrepid_Travel’s 35 years of tourism success - including operating in Vietnam since 1993!

Impressive va…",1769511139443089587,['1769511139443089587'],2024-03-17T23:48:26.000Z,5,0,0,0,0,0
RT @MaconachieSkye: Such a fun afternoon with @Intrepid_Travel. Great to meet the legendary Darrell Wade and join in the 35th anniversary c…,1769511044085616955,['1769511044085616955'],2024-03-17T23:48:03.000Z,1,0,0,0,0,0
"RT @Adventurecom: We need diverse voices in travel writing (and all writing), so we can see the world through eyes that are different to ou…",1769510773087428839,['1769510773087428839'],2024-03-17T23:46:58.000Z,6,0,0,0,0,0
"From @Adventurecom: Marine biologist-turned- philanthropist John Preston reflects on the natural encounters he had at sea on Greenpeace’s iconic Rainbow Warrior ship, and the experience of sailing with a crew committed to protecting our beautiful planet. https://t.co/UPbghlxKr0",1768759077385949290,['1768759077385949290'],2024-03-15T22:00:00.000Z,3,1,7,0,1,1712
"We don't need any convincing to visit Morocco 😉 But if you're still searching for the right reason, @Telegraph has your answer 👇 https://t.co/0HrbOF7llO",1768493105567891533,['1768493105567891533'],2024-03-15T04:23:08.000Z,3,2,13,0,3,1944
"""This trip has opportunities to learn about Balinese culture with access to local guides and home visits. You'll be climbing a volcano, cycling past paddy fields and soaking in hot springs."" 

Our nine-day Beautiful Bali trip featured in @thetimes 🇮🇩 https://t.co/HcwneDJV0s",1768041220956369330,['1768041220956369330'],2024-03-13T22:27:30.000Z,2,1,6,0,0,745
"RT @Adventurecom: Krka is one of Croatia's most most visited parks, with a daily cap of 10,000 visitors and a swim ban. But not everyone is…",1767344871474655481,['1767344871474655481'],2024-03-12T00:20:27.000Z,4,0,0,0,0,0
Train travel is a great way to reduce your carbon footprint while travelling between destinations 👣 @JamieDavisSmith shares her experience on the railway from Marrakech to Casablanca ahead of her Morocco Family Holiday Comfort trip 🇲🇦 @BusinessInsider https://t.co/Zqm9aCUK6j,1766192166282661974,['1766192166282661974'],2024-03-08T20:00:01.000Z,1,2,2,0,0,479
"""This is a bucket list moment for me. But I may not have been ready for the hike, judging by the fact that I cared more about having matching outfits every day than thermals."" 👀😂
 
📍 Intrepid traveller Khanh in Peru https://t.co/srgV72L4lQ",1765972034310582667,['1765972034310582667'],2024-03-08T05:25:17.000Z,4,3,6,0,0,943
RT @kiramaerichards: Loved exploring Trogir’s history of artisanal craftsmanship in my debut for @Adventurecom after visiting Croatia with…,1765574502745083968,['1765574502745083968'],2024-03-07T03:05:38.000Z,3,0,0,0,0,0
"RT @QueenieShaikh: - Great to finally return to Twitter with my latest work with @Adventurecom! A piece very close to my heart. Thank you,…",1765574486634664432,['1765574486634664432'],2024-03-07T03:05:35.000Z,4,0,0,0,0,0
"RT @chaujeanlin: Last year, I was selected for @Intrepid_Travel's Diversifying Travel Media trip with mentors @lottiecgross @ShafikMeghji @…",1765574331520979028,['1765574331520979028'],2024-03-07T03:04:58.000Z,4,0,0,0,0,0
RT @Adventurecom: Last year @Intrepid_Travel hosted its first Diversifying Travel Media trip taking mentors @lottiecgross @ShafikMeghji @Ge…,1765417532679164017,['1765417532679164017'],2024-03-06T16:41:54.000Z,11,0,0,0,0,0
"It’s one of the world’s most incredible archaeological sites, with a breathtaking location to match, so it’s easy to understand why so many are drawn to the visitor heartland of Peru 🇵🇪 @bostonherald shares tips to plan a trip this year. https://t.co/0eqgyrqgD5",1765135200936460415,['1765135200936460415'],2024-03-05T22:00:01.000Z,4,0,8,0,0,815
"Premium South Korea is one of @thetimes 12 most thrilling tours for 2024 - and for good reason! You'll learn the history of Korean cuisine from a Netflix foodie, meet a haenyeo (female diver) on Jeju Island and share tea with local monks. Read about it 👇 https://t.co/AN6ZjZBw0u",1764913746517139507,['1764913746517139507'],2024-03-05T07:20:02.000Z,2,1,6,0,1,971
RT @skift: Intrepid Travel used its resources to bring tourism back to the High Atlas communities devastated by the September 8 earthquake.…,1764415473591161211,['1764415473591161211'],2024-03-03T22:20:04.000Z,3,0,0,0,0,0
RT @Adventurecom: A new for-women-by-women trip around Turkey aims to promote economic and social opportunities for women and support women…,1764415173178404990,['1764415173178404990'],2024-03-03T22:18:53.000Z,6,0,0,0,0,0
From @Adventurecom: Nomadic herding is a disappearing way of life. @KassondraCloos asks if travel can serve as a conduit of revival - or just remembrance? https://t.co/KrG9O26wXK,1763685652212695243,['1763685652212695243'],2024-03-01T22:00:01.000Z,2,0,8,0,1,999
@Bexjw_ Whoohoo! No buyer's remorse here! 😅 We're excited for you to take this adventure with us! 🥳,1763327737421586871,['1763327737421586871'],2024-02-29T22:17:48.000Z,0,1,1,0,0,74
"Venice might be an iconic destination, but it is struggling with the impacts of 30 million yearly visitors on its local community. Intrepid trip leader Andrea shares her top tips to visit hotspots like this responsibly and respectfully 👇🇮🇹 https://t.co/H3Xo7e5pK6",1763039882728108184,['1763039882728108184'],2024-02-29T03:13:58.000Z,4,1,14,0,0,1130
"“I’m what I would describe as a ‘social introvert’. I love people but need time to recharge. To my surprise, I loved travelling with a group. We all came together for a week of laughter and exploring."" ✨

📍 Intrepid traveller Taylor on our Five Days in Cappadocia trip https://t.co/LHD68mp8i7",1762617994986115196,['1762617994986115196'],2024-02-27T23:17:32.000Z,2,0,11,0,0,1105
"RT @Adventurecom: ""Each morning, I’d compare the landscape to somewhere I’d been before... A few days in, I ran out of comparisons. This wa…",1762617326648873085,['1762617326648873085'],2024-02-27T23:14:53.000Z,2,0,0,0,0,0
"@luisajane23 Hi Luisa - thank you for reaching out. If you can please send us a DM with your booking details, we'd be happy to look into this further for you.",1762152385525252301,['1762152385525252301'],2024-02-26T16:27:22.000Z,0,1,2,0,0,41
"""On a quiet Saturday morning in downtown San Jose, the relaxed capital city of Costa Rica, I’m experiencing a welcome that’s both surprising and familiar.""

@travelwriterNZ experiences a Welcome to Country in Costa Rica (✍️ @nzherald). https://t.co/lf9JfnJDFO",1762022054700957850,['1762022054700957850'],2024-02-26T07:49:29.000Z,2,0,4,0,0,826
"From @Adventurecom: Many travellers skip the Lao capital, but with its statue-bedecked temples, enormous bronze Buddhas, street food, and a booming interest in coffee, now’s the time to linger… and ‘caffeinate’ ☕️ https://t.co/bqQMQL6TcS",1761118733857362258,['1761118733857362258'],2024-02-23T20:00:00.000Z,2,0,4,0,0,761
"""We are just meters from the mountain gorilla, the world’s largest living primate - the flash of silver fur across his broad back glinting in the sunlight."" @TheSun's @lisaminot shares moments from a 9-day journey through the wild in Rwanda and Uganda. 
https://t.co/ntRekZzh2K",1760869695056736311,['1760869695056736311'],2024-02-23T03:30:25.000Z,0,0,4,0,0,643
"@Gurp00 Hi there - thank you for reaching out. Please send us a DM with more information, and we'd be happy to direct you to the appropriate team.  Thank you!",1760752338539544853,['1760752338539544853'],2024-02-22T19:44:05.000Z,0,0,0,0,0,45
"RT @rafat: Some incredible hiking for the @skift team at our 2024 annual retreat in Morocco this week, in the mountains near Mt Toubkal. Li…",1760748724098097304,['1760748724098097304'],2024-02-22T19:29:43.000Z,5,0,0,0,0,0
"The cities of Spain offer world-class travel experiences. From relaxing on urban beaches in Barcelona to wandering through hip galleries in Madrid, immerse into urban life on our eight-day North Spain Discovery (as covered in @thetimes) 🇪🇸 https://t.co/Ubm2TGxw4A",1760082895438528618,['1760082895438528618'],2024-02-20T23:23:57.000Z,2,0,6,0,1,869
"RT @WTTC: ""We can't influence climate outcomes without taking biodiversity into the fore"" - Darrell Wade, Co-Founder &amp; Chair - @Intrepid_Tr…",1759701464593973337,['1759701464593973337'],2024-02-19T22:08:17.000Z,5,0,0,0,0,0
"""Its commitments to regenerative travel, conservation, and cultural preservation are cementing it as one of the most sustainable destinations in the South Pacific.""

✍️ Intrepid traveller and writer @EcoEscapeTravel explores Fiji for @voguemagazine 
https://t.co/E4JbZNCBrC",1759388863905349836,['1759388863905349836'],2024-02-19T01:26:07.000Z,6,0,9,0,0,995
RT @WIT_CIC: 🌟Exciting Announcement!🌟We're thrilled to showcase our Founding Sponsor @Intrepid_Travel for the highly anticipated Internatio…,1759385180404617705,['1759385180404617705'],2024-02-19T01:11:29.000Z,1,0,0,0,0,0
RT @Adventurecom: It wasn’t that 62-year-old Caroline Blakeney didn’t want to see more of the world... 'life' had simply got in the way. An…,1758277267996680540,['1758277267996680540'],2024-02-15T23:49:02.000Z,3,0,0,0,0,0
"RT @ShafikMeghji: In the latest issue of @NatGeoTravelUK, I pick out some alternative safari options, from tiger-spotting in India to rainf…",1758151564441550966,['1758151564441550966'],2024-02-15T15:29:32.000Z,5,0,0,0,0,0
"@biggsintweets Great choice, Andrew! Our family-style trips are something special. Have a great trip. 🙌",1757833056440775009,['1757833056440775009'],2024-02-14T18:23:54.000Z,0,1,1,0,0,56
"“If this trip taught me anything, it’s that there is magic in coming together, cooking a meal and learning about the people and places you’re visiting. It’s a bond you’ll cherish.”
 
📍Intrepid traveller and team member Jonathan on his recent 12-day Sri Lanka Real Food Adventure https://t.co/AYdekTm0nn",1757147565643198796,['1757147565643198796'],2024-02-12T21:00:00.000Z,3,1,10,0,1,928
"From @Adventurecom: When micro-adventurer and author @Al_Humphreys wondered if he could ‘adventure’ for a whole year without flying across the globe, it took him on a surprising journey - all within 20 kilometers of his local area. https://t.co/SdtBEJtoFc",1756060407763202461,['1756060407763202461'],2024-02-09T21:00:01.000Z,1,1,8,0,0,993
"""The concept of slow travel, taking your time, and enjoying what you see out the window has had a comeback.""    

Our Americas President Matt Berna shares why train travel is gaining speed in 2024 with @barronsonline 🚄
https://t.co/UiAT8VebFY",1755467365910028449,['1755467365910028449'],2024-02-08T05:43:29.000Z,0,0,4,0,0,707
"“I’m not much of a beach person, so I picked this trip because I wanted to be active. Another highlight was the Balinese people; everywhere you went, they were so kind, generous, and friendly"" 💚
 
📍Intrepid traveller and team member Laura on her recent 9-day Beautiful Bali trip https://t.co/B1uprOouu2",1755004567669100563,['1755004567669100563'],2024-02-06T23:04:29.000Z,0,2,7,0,1,957
"While exploring wildlife that defies nature, one Intrepid traveller discovered part of her evolution as a woman was to challenge societal norms in favour of embracing individuality and freedom how she saw fit.

📍 Galápagos Islands

https://t.co/w0iP5c8i8N",1754745267734401199,['1754745267734401199'],2024-02-06T05:54:08.000Z,4,2,6,0,0,748
Intrepid's travel pulse data shows 70% of U.S. travelers plan to avoid peak season trips this year 📉 @CNBC delves into whether the off-season is actually less expensive as more travellers jump on the trend. https://t.co/zUkka4D74M,1754265217784271058,['1754265217784271058'],2024-02-04T22:06:35.000Z,0,0,4,0,0,1415
"From @Adventurecom: When documentary photographer Sarah Pannell visited Serbia in late summer with her Bosnia and Herzegovian-born Serbian husband, she discovered how personal and political history can shape the way we view a place.
https://t.co/6i6Kmt7oR5",1753538788318392767,['1753538788318392767'],2024-02-02T22:00:00.000Z,1,0,4,0,1,905
RT @MDFGlobal: Timor-Leste shines bright! Exciting news- Timor-Leste is featured in the latest edition of International Traveller magazine!…,1752455778722783301,['1752455778722783301'],2024-01-30T22:16:31.000Z,1,0,0,0,0,1
"Congratulations to our very own Dr. @susanneetti, who was recognized today as one of @natgeo's 9 Travelers of the Year for championing climate-conscious travel! 🏆✨ #BestOfTheWorld - https://t.co/EUH15fIoaj https://t.co/Ag1quuDsJ4",1752394180830068818,['1752394180830068818'],2024-01-30T18:11:45.000Z,11,3,19,1,0,1374
"@BearsGrl80 Hi there - thank you for bringing this to our attention, and we're very sorry to hear that your booking experience was not as expected. We have sent you a DM so that we can investigate this further. Thank you in advance!",1752369759578894764,['1752369759578894764'],2024-01-30T16:34:42.000Z,0,1,0,0,0,25
"From Kandyan dancing to camping in elephant populated Udawalawe and dinner with the locals, our Sri Lankan family trips are about full immersion, writes @thetimes. https://t.co/kwP0llKO5Y",1752092319585906962,['1752092319585906962'],2024-01-29T22:12:15.000Z,0,2,2,0,1,825
RT @Adventurecom: The Terraba community is one of Costa Rica’s eight Indigenous groups who have lived off the land for over 500 years. Eula…,1751720814582665409,['1751720814582665409'],2024-01-28T21:36:02.000Z,2,0,0,0,0,1
@HelenCasti69754 @iamnottheword You belong with...the walruses and polar bears! 🫶,1751720766687896054,['1751720766687896054'],2024-01-28T21:35:50.000Z,0,1,1,0,0,37
"From @Adventurecom: Healthcare worker, mountain athlete, and nonprofit founder Julia Heemstra nearly lost everything to the dangers of backcountry waters and avalanches. Now, she's transforming her pain into purpose.
https://t.co/x6Jc13hB0k",1750986974171889981,['1750986974171889981'],2024-01-26T21:00:01.000Z,1,2,4,0,0,870
"Facing a tough time in her life, Jen joined an Intrepid trip to Jordan to escape. Instead, she found friends for life in a group of 16 strangers ✨ @guardian shares the warm and fuzzy side to group travel 🫶
https://t.co/LgQfGqJkXx",1750658878927421553,['1750658878927421553'],2024-01-25T23:16:17.000Z,3,0,6,0,0,880
"Fed up with stress and craving social connection, growing numbers of Gen Z are switching the nine-to-five for a quarter life gap year (and hanging with us along the way 👋), writes @thetimes. 
https://t.co/NEu0H1gVj2",1750358486431756602,['1750358486431756602'],2024-01-25T03:22:37.000Z,2,1,4,0,0,852
"RT @patinaaiosim: 🌍💚 Empowering change! Mrs. Zina Bencheikh, Managing Director of Intrepid Travel, and team - Mr. Adolfo Penzato and Sam Ka…",1750277621315997956,['1750277621315997956'],2024-01-24T22:01:18.000Z,2,0,0,0,0,0
"Adventure has no age-limit. Just ask the over 50s leading the way on our walking and trekking, cycling, kayaking and multi-activity trips 👇 @USATODAY 
https://t.co/rqK8RFxC0P",1750020605087539515,['1750020605087539515'],2024-01-24T05:00:00.000Z,0,1,0,0,1,558
"First Nations tourism is about going beyond superficial interactions with Native cultures. In 2024, we're expanding our range to include more Indigenous-led experiences in the US, Australia, Taiwan, Canada, Nicaragua + Costa Rica, as featured in @nytimes.
https://t.co/9nHxNag6zq",1749537419198931184,['1749537419198931184'],2024-01-22T21:00:00.000Z,2,4,8,0,0,768
"RT @USTOA: 🌍Intrepid Travel pledges $650,000 for local communities in 2024, championing responsible tourism. Their focus on community-based…",1749191541351157768,['1749191541351157768'],2024-01-21T22:05:36.000Z,2,0,0,0,0,0
From @Adventurecom: Searches of ‘temple stays’ have been steadily on the rise. Columnist @sarahtrvls explores how the reopening of sacred sites as hubs of cultural heritage can encourage unexpected self-transformation among visitors. https://t.co/BAAFBZLxDu,1748450255753077183,['1748450255753077183'],2024-01-19T21:00:00.000Z,2,0,5,0,1,904
"With sun-drenched summers, a UNESCO-graded heritage and Bedouin camps offering clear views of the constellations, Jordan knows how to host a holiday 🇯🇴 Here’s how to have the ultimate experience on our epic three-day Petra Uncovered ✨ @IndyTravel https://t.co/1Mq5UCfu2k",1748216214243975222,['1748216214243975222'],2024-01-19T05:30:00.000Z,1,0,5,0,0,790
"RT @emiliehagedoorn: CEO @Intrepid_Travel: ‘Our business was anything but responsible. In fact, when it came to the climate, we were more l…",1748136801825612040,['1748136801825612040'],2024-01-19T00:14:27.000Z,2,0,0,0,0,0
RT @susanneetti: I joined @Intrepid_Travel 5 years ago because of the commitment to climate action. Read more about the climate journey whi…,1748136637362762181,['1748136637362762181'],2024-01-19T00:13:47.000Z,1,0,0,0,0,0
"Getting under the skin of Croatia on our 10-day “Hiking the Balkans” trip, @mctraveller treks from the heart of Split to the peak of Marjan Hill... with a famous ice cream waiting at the end 🍨 He shares nine must-do highlights for @WAtoday.  https://t.co/CgbHJp0tQR",1747492847811719457,['1747492847811719457'],2024-01-17T05:35:36.000Z,1,0,5,0,1,853
"RT @susanneetti: @Intrepid_Travel  to pledge $1m for local communities - matching public contributions from 1st Jan2024, up to $1m‼️
https:…",1747491484738416802,['1747491484738416802'],2024-01-17T05:30:11.000Z,1,0,0,0,0,0
"""If you’re craving adventure and an escape from the everyday, you can’t go wrong with a trip to Costa Rica. From wildlife, volcanoes, hot springs, to coffee to die for, I've found my nirvana.""

📍Intrepid traveller Rebecca for @WomensHealthMag https://t.co/ggydRZimU1",1747121499847438677,['1747121499847438677'],2024-01-16T05:00:00.000Z,2,2,8,0,0,918
"@wanderlustmag Discover 'the roof of North Africa' for yourself on our 7-day Mount Toubkal Winter Trek, or better yet, join our upcoming charity trek in March to raise critical funds for earthquake impacted Intrepid Foundation partner, Education for All👇 https://t.co/Ua7ucbMAaN",1746714337233039500,['1746714337233039500'],2024-01-15T02:02:05.000Z,2,0,5,0,0,767
"Dreaming of a winter adventure? Morocco's Mt Toubkal offers challenges to test anyone’s mettle. Treks summit 4,167m, all while exploring stunning nearby highlands (📷@wanderlustmag) https://t.co/4PM4FzwI1N",1746682302158295196,['1746682302158295196'],2024-01-14T23:54:47.000Z,1,1,9,0,0,1287
"When Intrepid traveller Susan left for a gorilla-themed adventure in Uganda’s rainforests, she was hoping for a close encounter with these great apes. She found something even more profound – a genuine connection. https://t.co/aqe7SmL6Oc",1745921091061637504,['1745921091061637504'],2024-01-12T21:30:00.000Z,2,0,8,0,0,1075
"RT @aliceoutthere1: Would you like to take on Mount Toubkal, North Africa's highest peak (4167m)? Then why not do it to support victims of…",1745586123773280569,['1745586123773280569'],2024-01-11T23:18:57.000Z,30,0,0,0,0,0
"RT @FoodFMRadio: A Bit of a Mouthful is proud to partner with @Intrepid_Travel 
Intrepid’s trips connect you with a local leader &amp; a group…",1745284842974273975,['1745284842974273975'],2024-01-11T03:21:47.000Z,2,0,0,0,0,0
"RT @Adventurecom: In some of Kenya's pastoral communities, women and girls face key challenges such as limited education and poor reproduct…",1745284801933025756,['1745284801933025756'],2024-01-11T03:21:37.000Z,2,0,0,0,0,0
Did you know that tourism produces about 8% of global emissions? 💨 Going low (in the off season) and slow (via ground travel) is a great way to reduce your footprint while exploring the world. More ways to travel responsibly this year in @TorontoStar 👇 https://t.co/HueyQwzVQN,1744862705574711481,['1744862705574711481'],2024-01-09T23:24:21.000Z,6,0,5,0,1,920
"RT @HarrisPoll: What do Americans' travel plans for 2024 look like? 

A recent Travel Pulse survey on behalf of @Intrepid_Travel found that…",1744492119392432613,['1744492119392432613'],2024-01-08T22:51:47.000Z,2,0,0,0,0,0
"On our Türkiye Women’s Expedition, you’ll sample börek with a mother and daughter in their Istanbul home, hike the Soganli Valley and visit a social enterprise. @aliciaemiller shares why this trip is perfect for solo travellers in @standardnews 🇹🇷
https://t.co/W5biVd73fy",1744239948512022647,['1744239948512022647'],2024-01-08T06:09:44.000Z,1,0,11,0,0,1001
"Booming as a trekking destination, Pakistan is home to breathtaking landscapes, contrasting colours and some of the most rewarding hikes in the world. Here are five of the best - as voted by us 😉 - to add to your bucket list 👇 https://t.co/yigadxkwqd",1743391928597512260,['1743391928597512260'],2024-01-05T22:00:01.000Z,3,1,11,1,0,1567
"The UK’s most epic road trip, the North Coast 500, has been blighted by local tales of woe - particularly surrounding touring vehicles. With her family in tow, @emmgibbs sets out to discover whether sustainability and van life can coexist on the route. https://t.co/HvWp6CW9gk",1743014438599643549,['1743014438599643549'],2024-01-04T21:00:00.000Z,4,0,5,0,0,1017
"Climate change is shifting the way we travel. Our Americas President Matt Berna shares with @FastCompany ways to plan a 'cool-cation' in the shoulder season this year, and simple steps everyone can take to reduce impact along the way. https://t.co/Wljl4FKyWK",1742833252505682047,['1742833252505682047'],2024-01-04T09:00:02.000Z,3,3,7,0,0,909
"RT @WTTC: WATCH: Leaders from @Intrepid_Travel,  @CruiseSaudi &amp; @In_RasAlKhaimah delved into important questions around the promotion of Tr…",1742310380066726230,['1742310380066726230'],2024-01-02T22:22:19.000Z,16,0,0,0,0,0
"Dreaming of your 2024 travel bucket list? 💭 Check out our annual 'Not Hot' list for some off the beaten track inspo 👇 Whether you're swapping Bangkok for Borneo or Positano for Corsica, there's something for everyone in these emerging destinations. 
https://t.co/CMPxbUukBC",1742053103002636719,['1742053103002636719'],2024-01-02T05:20:00.000Z,3,0,11,1,0,1277
RT @MDFGlobal: Exciting news! Timor-Leste takes the spotlight in the December 2023 issue of Qantas in-flight magazine!  Thanks to the colla…,1741972580901499290,['1741972580901499290'],2024-01-02T00:00:02.000Z,3,0,0,0,0,0
